ligand	receptor	family	axis
F11R	F11R	F11R	F11R-F11R
F11R	ITGAL_ITGB2	F11R	F11R-LFA1
NECTIN2	TIGIT	NECTIN2	NECTIN2-TIGIT
NECTIN2	CD96	NECTIN2	NECTIN2-CD96
CDH1	CDH1	CDH1	CDH1-CDH1
CDH1	ITGAE_ITGB7	CDH1	CDH1-integrin
CDH1	KLRG1	CDH1	CDH1-KLRG1
LGALS9	HAVCR2	LGALS9	LGALS9-TIM3
LGALS9	CD44	LGALS9	LGALS9-CD44
LGALS9	PTPRC	LGALS9	LGALS9-CD45
