accession	contrast	organism	unit	n_case	n_control	method	gene	gene_class	mean_case	mean_control	baseMean	log2fc_case_vs_control	stat	pvalue	padj_genome	padj_panel	low_expression	direction	detect_case	detect_control	rank_biserial	note
GSE279172	WT_high_vs_WT_low	human	bulk_library	3	3	pydeseq2_wald	CLDN1	claudin	3005.0	2670.6666666666665	2779.4560389580997	0.012848122623372763	0.2349535776452437	0.8142447643306054	0.9041864454114756	0.8539640211272204	False	NS				Density contrast. High density is the state where basal IFNL depends on cGAS-STING mtDNA in the paper.
GSE279172	WT_high_vs_WT_low	human	bulk_library	3	3	pydeseq2_wald	CLDN2	claudin	6623.333333333333	7413.333333333333	6880.387544460761	-0.33803059474042363	-2.5269056453755536	0.01150724136314294	0.03606544470687455	0.022491426300688473	False	SIG_SMALL_FC				Density contrast. High density is the state where basal IFNL depends on cGAS-STING mtDNA in the paper.
GSE279172	WT_high_vs_WT_low	human	bulk_library	3	3	pydeseq2_wald	CLDN3	claudin	14198.333333333334	13415.333333333334	13555.280913807854	-0.08181244114719759	-2.121897585538084	0.03384633925627837	0.09121464702088017	0.06064135783416541	False	NS				Density contrast. High density is the state where basal IFNL depends on cGAS-STING mtDNA in the paper.
GSE279172	WT_high_vs_WT_low	human	bulk_library	3	3	pydeseq2_wald	CLDN4	claudin	23300.333333333332	29995.666666666668	26383.316650113	-0.5161108413914176	-14.45305710781971	2.3980141942289873e-47	2.486066277923333e-45	2.062292207036929e-46	False	DOWN				Density contrast. High density is the state where basal IFNL depends on cGAS-STING mtDNA in the paper.
GSE279172	WT_high_vs_WT_low	human	bulk_library	3	3	pydeseq2_wald	CLDN5	claudin	2.3333333333333335	2.3333333333333335	2.228953733624546	-0.24565129695627969	-0.18353404317825586	0.8543790098144344	0.9272853975112494	0.8543790098144344	False	NS				Density contrast. High density is the state where basal IFNL depends on cGAS-STING mtDNA in the paper.
GSE279172	WT_high_vs_WT_low	human	bulk_library	3	3	pydeseq2_wald	CLDN6	claudin	1.0	2.0		-0.7369655941662062					False	NS				Density contrast. High density is the state where basal IFNL depends on cGAS-STING mtDNA in the paper.
GSE279172	WT_high_vs_WT_low	human	bulk_library	3	3	pydeseq2_wald	CLDN7	claudin	8532.333333333334	7406.333333333333	7812.3048648006925	0.0505284570006717	1.2948909205709067	0.19535786104402542	0.3616627812575638	0.27098025886751914	False	NS				Density contrast. High density is the state where basal IFNL depends on cGAS-STING mtDNA in the paper.
GSE279172	WT_high_vs_WT_low	human	bulk_library	3	3	pydeseq2_wald	CLDN8	claudin	0.3333333333333333	0.0		0.736965594166206					True	LOW				Density contrast. High density is the state where basal IFNL depends on cGAS-STING mtDNA in the paper.
GSE279172	WT_high_vs_WT_low	human	bulk_library	3	3	pydeseq2_wald	CLDN9	claudin	21.333333333333332	18.333333333333332	20.342276170615325	0.09533348735937575	0.20197030677725542	0.8399399375524275	0.9199936844928313	0.8543790098144344	False	NS				Density contrast. High density is the state where basal IFNL depends on cGAS-STING mtDNA in the paper.
GSE279172	WT_high_vs_WT_low	human	bulk_library	3	3	pydeseq2_wald	CLDN10	claudin	0.6666666666666666	0.3333333333333333		0.48542682717024166					False	NS				Density contrast. High density is the state where basal IFNL depends on cGAS-STING mtDNA in the paper.
