accession	pmid	role	organism	n_libraries_used	claudin_or_tj_link	de_status	note
GSE279172	40890487	direct	Homo sapiens	18	Paper: basal IFNL2/3 from cGAS-STING sensing of mitochondrial DNA suppresses CLDN2 and builds tight junctions in T84 cells	DE	Five contrasts. High-density WT vs low-density WT; IFNL2/3 KO and IFNLR KO vs WT at each density. n=3.
GSE296527	41525418	same_lab_followup	Homo sapiens	6	Same T84 basal-IFNL system. This series is the antiviral follow-up, not a new tight-junction paper	DE_IFNL1_only	IFNL1 KO vs WT. WT_high counts match GSE279172 high-density WT (shared libraries, not an independent cohort). IFNL2/3 and IFNLR arms were not retested.
GSE315942	41811963	cGAS_perturbation_TJ_tested	Homo sapiens	24	Paper measures cGAS-positive micronuclei in esophageal adenocarcinoma. It does not claim a claudin mechanism. Junction genes were tested here	DE	OE33 and SK-GT-4, Cas9 vs cGAS KO, DMSO vs reversine, n=3. Reversine is the micronucleus/CIN inducer.
GSE316127	41811963	CIN_model_same_paper	Homo sapiens	18	Same EAC cGAS-micronucleus paper. CP-A dnMCAK raises missegregation. Not a cGAS knockout	DE	Three p53-KO clones, dnMCAK vs matched p53 KO. Replicates _1/_2/_4 summed to one pseudobulk per clone. n=3 clones.
GSE316062	41811963	same_paper_snRNA	Homo sapiens	9	Human EAC snRNA-seq with cGAS-positive micronuclei as the CIN metric	not_run	Processed object is a 791 MB Seurat RDS. Bulk RNA-seq from the same paper is GSE315942 and GSE316127.
GSE237615	39107288	micronuclei_cytosolic_dsDNA	Mus musculus	16	53BP1 loss raises micronuclei and cytosolic dsDNA and is cGAS-STING dependent. No claudin claim. Bulk tumor RNA	DE	ID8 n=3 and KPC n=5, 53BP1 KO vs control. Expected counts rounded to integers.
GSE313807	41722050	cytosolic_DNA_and_micronuclei	Mus musculus	16	MSI vs CIN cytosolic DNA and micronuclei in orthotopic MC38. No claudin claim	DE	Micronuclei vs free cyDNA (n=8 vs 8) and MSI vs CIN tumors (n=8 vs 8). AA_* and Plas_* columns are not in the 16-library sample list and were excluded.
GSE100771	28738408	landmark_micronuclei_cGAS	Mus musculus	35	Mackenzie 2017 MEF micronuclei. Claudins are not the paper's endpoint	cell_level_MWU	MN+ n=21 vs MN- n=14 from one irradiated dish. Not biological-replicate DE. Cldn4 symbol absent.
GSE100102	28759028	cytosolic_chromatin_cGAS	Mus musculus	24	Glück 2017 MEFs, cytosolic chromatin fragments, cGAS KO. No claudin claim	DE	cGAS KO vs WT at tp1, tp3, tp4 (n=4). Deposited counts are fractional and were rounded. Mb21d1 drop confirms the KO.
GSE99028	28976970	cytosolic_chromatin_cGAS	Homo sapiens	4	Dou 2017 IMR90, cGAS knockdown in etoposide senescence. Symbol is MB21D1, not CGAS	DE_n2	sh-cGAS vs shNTC under etoposide. n=2. Underpowered. MB21D1 falls; CLDN4 does not.
GSE98183	29342134	CIN_micronuclei_cytosolic_DNA	Homo sapiens	2	Bakhoum 2018 MDA-MB-231. dnMCAK (MKH) is CIN-high. No claudin claim	descriptive_n1	75 bp PE matrix is one library per genotype. No p-value. 101 bp SE is a second protocol, not a biological replicate. Xenograft metastases were not tested.
GSE243230		near_miss	Homo sapiens	48	T84 treated with recombinant IFNL and IL-22. Downstream ligand, not a cytosolic-DNA or micronucleus perturbation	not_run	Adjacent to GSE279172 but outside the micronucleus / cytosolic-DNA / cGAS perturbation set.
GSE64735	25904743	near_miss	Mus musculus	3	IFN-lambda and blood-brain barrier in dendritic cells. Not cGAS, not micronuclei, n=1 per arm	not_run	No replicate test.
		38867360	literature_no_GEO	Homo sapiens		Villagomez 2024 Cancer Res Commun: CLDN4, autophagy, SLC1A5/LAT1, micronuclei in ovarian cancer	no_matrix	PubMed is not linked to a GEO series. No public RNA-seq matrix found for this experiment.
		39625235	literature_no_GEO	Homo sapiens		Claudin-4 stabilizes the ovarian cancer genome (Cancer Res Commun 2025). Cites the micronucleus result	no_matrix	No PubMed-linked GEO series.
		41214101	literature_no_GEO	Homo sapiens		Sci Rep 2025: CLDN4, genome stability, immune evasion, cGAS-STING alterations	no_matrix	Open page cites TCGA/cBioPortal (phs000178), not a new expression GEO series.
		38293054	literature_no_GEO	Homo sapiens		Preprint of the 2024 CLDN4-micronucleus paper	no_matrix	No GEO link.
GSE295033	41338185	search_false_positive	Mus musculus	20	Gut and vagus sensory-cell atlas. Hit a loose GEO text intersection	excluded	Summary is not micronuclei, cGAS, or tight junctions.
