ligand	receptor	pathway	n_samples	n_patients	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
HLA-B	CD8A	MHC_I	27	27	0.08177673816680908	0.10746337087066085	1.3509546223062057	1.2434912514355447	1.0	1.0	0.0005356669425964355	0.0026448555290699005
HLA-B	CD8B	MHC_I	23	23	0.08177673816680908	0.11529986754707668	1.3208832426563553	1.2055833751092786	1.0	1.0	0.0021359920501708984	0.008035398664928618
HLA-A	CD8A	MHC_I	27	27	0.08681595325469971	0.10685769275382713	1.3856404258145227	1.2787827330606956	1.0	1.0	5.488097667694092e-05	0.0005357530381944445
HLA-E	KLRC2	MHC_I	4	4	0.08915829658508301	0.11910805851221085	0.8166403733193874	0.6975323148071766	1.0	1.0	0.125	0.21467391304347827
HLA-E	KLRC2+KLRD1	MHC_I	4	4	0.08915829658508301	0.11910805851221085	0.8166403733193874	0.6975323148071766	1.0	1.0	0.125	0.21467391304347827
HLA-C	CD8A	MHC_I	27	27	0.09061795473098755	0.10839113399938301	1.2366423176394568	1.128251183640074	1.0	1.0	3.0234456062316895e-05	0.0003444126674107143
HLA-E	KLRD1	MHC_I	24	24	0.09209012985229492	0.09546780213713646	0.788033103880783	0.6925653017436465	1.0	1.0	2.384185791015625e-07	9.417533874511719e-06
HLA-A	CD8B	MHC_I	23	23	0.09324949979782104	0.11569313640179842	1.3522150950587315	1.236521958656933	1.0	1.0	0.00025343894958496094	0.0015401290013239935
HLA-C	CD8B	MHC_I	23	23	0.10210758447647095	0.11374715521283772	1.2059873802506405	1.0922402250378027	1.0	1.0	0.00025343894958496094	0.0015401290013239935
HLA-E	KLRC1	MHC_I	9	9	0.11994284391403198	0.10873714420530531	0.6831359499030643	0.574398805697759	1.0	1.0	0.00390625	0.012858072916666666
HLA-E	KLRC1+KLRD1	MHC_I	8	8	0.12272344529628754	0.11919635534286499	0.7079493012279272	0.5887529458850622	1.0	1.0	0.0078125	0.02322730090883043
CEACAM5	CD8A	MHC_I_partial	18	18	0.03306015208363533	0.029876505438652303	0.5477031009892622	0.51782659555061	1.0	0.9444444444444444	0.05385589599609375	0.10636539459228515
CXCL10	CXCR3	T_recruit	4	4	-0.012141925748437643	-0.011468918528407812	0.20369028020650148	0.2151591987349093	0.75	0.5	0.375	0.5021186440677966
CCL4	CCR5	T_recruit	3	3	-0.002961777150630951	-0.019494640330473583	0.2829494848847389	0.3024441252152125	1.0	1.0	0.5	0.5895522388059702
CCL3	CCR5	T_recruit	3	3	-0.002707958221435547	0.006577260792255402	0.28281641751527786	0.27623915672302246	1.0	1.0	1.0	1.0
CXCL12	CXCR4	T_recruit	3	3	0.017383771017193794	0.019294163212180138	1.3046641560892265	1.2853699928770463	1.0	0.3333333333333333	0.25	0.37264150943396224
CX3CL1	CX3CR1	T_recruit	4	4	0.02482720324769616	0.028203872265294194	0.22357222065329552	0.19536834838800132	1.0	0.75	0.125	0.21467391304347827
CXCL16	CXCR6	T_recruit	18	18	0.02575061470270157	0.03200245979759428	0.2982371693683995	0.26623470957080525	1.0	1.0	0.03423309326171875	0.07116879914936267
CXCL14	CXCR4	T_recruit_partial	14	14	-0.0010031498968601227	0.019117415084370544	1.5506756860496742	1.5315582709653037	0.9285714285714286	1.0	0.9031982421875	0.9642251504434122
SFTPD	ADGRE5	other	17	17	-0.04559309780597687	-0.049082693972570056	0.5715584762613563	0.6206411702339264	0.8823529411764706	0.9411764705882353	0.088653564453125	0.17082028272675306
PPIA	BSG	other	29	29	-0.024268031120300293	-0.02968267325697274	1.3639691076402007	1.3936517808971733	1.0	1.0	0.027409173548221588	0.060147908619708486
CCL20	CCR6	other	4	4	-0.013000287115573883	0.03102176822721958	0.3386768754571676	0.30765510722994804	1.0	0.75	1.0	1.0
KLRB1	CLEC2D	other	7	7	-0.008663991466164589	-0.007290983971740518	0.39658969999956234	0.40388068397130283	0.7142857142857143	0.8571428571428571	0.15625	0.2626329787234043
ICAM2	ITGAL+ITGB2	other	7	7	-0.008078061044216156	0.00714360483522926	0.16339201826070035	0.1562484134254711	1.0	0.8571428571428571	0.8125	0.9040492957746479
ICAM3	ITGAL+ITGB2	other	17	17	-0.007325850427150726	-0.01078457253820756	0.19478376626091845	0.205568338799126	0.9411764705882353	1.0	0.243499755859375	0.37264150943396224
CD320	JAML	other	22	22	-0.005893116816878319	-0.005572972395880656	0.26435477057979867	0.2699277429756793	0.9545454545454546	1.0	0.42448854446411133	0.52557373046875
PTGES3	PTGER4	other	25	25	-0.0049829185009002686	-0.00036008834838867186	0.6817760029435158	0.6821360912919044	1.0	1.0	0.8531995415687561	0.9361494969990518
SPP1	ITGA4+ITGB1	other	13	13	-0.004347354173660278	0.0025873235068642176	0.376161951213502	0.37357462770663774	0.9230769230769231	1.0	0.786865234375	0.9009036741394928
PTGES3	PTGER2	other	15	15	-0.004101932048797607	-0.003709505001703898	0.619981299340725	0.6236908043424289	1.0	1.0	0.97796630859375	1.0
IL7	IL2RG+IL7R	other	8	8	-0.002542759757488966	-0.0005313734291121364	0.38263039162848145	0.3831617650575936	0.875	0.75	1.0	1.0
PVR	CD96	other	17	17	-0.00020372122526168823	0.006769266664324438	0.273434932480621	0.2666656658162965	0.9411764705882353	0.8235294117647058	0.4037628173828125	0.5229059438236424
PVR	TIGIT	other	17	17	-0.00020372122526168823	0.006769266664324438	0.3200016388505259	0.3132323721862015	0.9411764705882353	0.8235294117647058	0.4037628173828125	0.5229059438236424
PODXL	SELL	other	9	9	-0.00019536539912223816	0.0019986447878181934	0.20352541903654733	0.20152677424872914	0.8888888888888888	0.7777777777777778	1.0	1.0
PTGES2	PTGER2	other	15	15	-0.0001588761806488037	0.0025025243560473126	0.2416296571493149	0.23912713279326755	1.0	1.0	0.803955078125	0.9040492957746479
TNFSF15	TNFRSF25	other	9	9	0.0018554981797933578	0.007686636721094449	0.19168869923386309	0.18400206251276863	0.8888888888888888	1.0	0.42578125	0.52557373046875
PVR	CD226	other	4	4	0.0025739893317222595	0.007320079952478409	0.1657018130645156	0.15838173311203718	1.0	0.75	0.875	0.946917808219178
TNFSF12	TNFRSF25	other	17	17	0.003614007495343685	0.005308348849854048	0.16315515569466002	0.15784680684480598	0.8235294117647058	0.7647058823529411	0.17425537109375	0.2809423329878827
TNC	ITGA4+ITGB1	other	13	13	0.0036474019289016724	0.018881602929188654	0.28603895094532233	0.26715734801613367	0.9230769230769231	0.9230769230769231	0.414306640625	0.52557373046875
SEMA4D	PTPRC	other	21	21	0.005061836913228035	0.005736294313378278	0.6890754928546292	0.6833391985412509	0.9047619047619048	0.6190476190476191	0.02901458740234375	0.061950064994193414
LPAR1	ADGRE5	other	5	5	0.005086278542876244	0.005272675305604935	0.2290883805602789	0.22381570525467395	1.0	0.8	0.3125	0.4408482142857143
DHCR7	RORA	other	26	26	0.00534353032708168	0.0061813891292191465	0.36011179676279426	0.3539304076335751	0.9230769230769231	0.9230769230769231	0.1899040937423706	0.30004846811294555
PTGES2	PTGER4	other	25	25	0.006201058626174927	0.0034775243699550627	0.31861445754766465	0.3151369331777096	1.0	0.96	0.2634761333465576	0.38545582471070466
DHCR7	NR1H2	other	22	22	0.00691298209130764	0.006447460206056183	0.199671600648964	0.1932241404429078	0.9090909090909091	0.9090909090909091	0.16585874557495117	0.2729758520921071
CD58	CD2	other	23	23	0.006921529769897461	0.0167761602965386	0.8431217391043901	0.8263455788078515	1.0	0.9565217391304348	0.011156558990478516	0.0303920055257863
LPAR3	ADGRE5	other	4	4	0.0069737508893013	0.006843366660177708	0.24030371475964785	0.23346034809947014	1.0	1.0	0.375	0.5021186440677966
LIPA	RORA	other	26	26	0.007271355018019676	0.010599559746109523	0.3600826376619247	0.34948307791581523	0.9615384615384616	1.0	0.0079384446144104	0.02322730090883043
LPAR2	ADGRE5	other	24	24	0.007975654676556587	0.009706904296763241	0.27607656390561414	0.2663696596088509	0.9583333333333334	0.75	0.015044927597045898	0.03740530303030303
