ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
HLA-B,HLA-B,3.832395,0.9965,KIR3DL2,KIR3DL2,0.23510908,0.1375,NK,NK,2.033752,0.0
HLA-C,HLA-C,3.7448766,0.996,KIR2DL3,KIR2DL3,0.24063383,0.143,NK,NK,1.9927552,0.0
HLA-B,HLA-B,3.4206755,0.9885,KIR3DL2,KIR3DL2,0.23510908,0.1375,T,NK,1.8278923,0.0
HLA-C,HLA-C,3.32676,0.9905,KIR2DL3,KIR2DL3,0.24063383,0.143,T,NK,1.7836969,0.0
HLA-E,HLA-E,2.6452043,0.951,KLRC1,KLRC1_KLRD1,0.6139677,0.2785,NK,NK,1.629586,0.0
HLA-E,HLA-E,2.6452043,0.951,KLRC1,KLRC1,0.6139677,0.2785,NK,NK,1.629586,0.0
HLA-E,HLA-E,2.6452043,0.951,KLRC2,KLRC2_KLRD1,0.32072634,0.164,NK,NK,1.4829654,0.0
HLA-E,HLA-E,2.6452043,0.951,KLRC2,KLRC2,0.32072634,0.164,NK,NK,1.4829654,0.0
HLA-E,HLA-E,2.2483318,0.912,KLRC1,KLRC1_KLRD1,0.6139677,0.2785,T,NK,1.4311497,0.0
HLA-E,HLA-E,2.2483318,0.912,KLRC1,KLRC1,0.6139677,0.2785,T,NK,1.4311497,0.0
CLEC2D,CLEC2D,0.7746515,0.451,KLRB1,KLRB1,2.0188818,0.738,T,NK,1.3967667,0.0
APP,APP,0.8427554,0.711,CD74,CD74,1.8089367,0.7785,Malig_CLDN4high,T,1.3258461,0.0
APP,APP,0.8427554,0.711,CD74,CD74,1.7872019,0.758,Malig_CLDN4high,NK,1.3149786,0.0
APP,APP,0.8427554,0.711,CD74,CD74,1.7635076,0.767,Malig_CLDN4high,Malig_CLDN4low,1.3031315,0.0
HLA-E,HLA-E,2.2483318,0.912,KLRC2,KLRC2,0.32072634,0.164,T,NK,1.2845291,0.0
HLA-E,HLA-E,2.2483318,0.912,KLRC2,KLRC2_KLRD1,0.32072634,0.164,T,NK,1.2845291,0.0
APP,APP,0.7137082,0.618,CD74,CD74,1.8089367,0.7785,Malig_CLDN4low,T,1.2613225,0.0
APP,APP,0.7137082,0.618,CD74,CD74,1.7872019,0.758,Malig_CLDN4low,NK,1.250455,0.0
APP,APP,0.7137082,0.618,CD74,CD74,1.7635076,0.767,Malig_CLDN4low,Malig_CLDN4low,1.2386079,0.0
APP,APP,0.8427554,0.711,CD74,CD74,1.5977516,0.763,Malig_CLDN4high,Malig_CLDN4high,1.2202535,0.0
CLEC2D,CLEC2D,0.41094074,0.238,KLRB1,KLRB1,2.0188818,0.738,NK,NK,1.2149112,0.0
APP,APP,0.7137082,0.618,CD74,CD74,1.5977516,0.763,Malig_CLDN4low,Malig_CLDN4high,1.1557299,0.0
MDK,MDK,1.8811998,0.888,SORL1,SORL1,0.3525445,0.2105,Malig_CLDN4high,NK,1.1168722,0.0
CLEC2B,CLEC2B,0.9382596,0.502,KLRF1,KLRF1,1.2395335,0.576,NK,NK,1.0888965,0.0
KLRF1,KLRF1,1.2395335,0.576,CLEC2B,CLEC2B,0.9382596,0.502,NK,NK,1.0888965,0.0
HLA-B,HLA-B,1.9309753,0.883,KIR3DL2,KIR3DL2,0.23510908,0.1375,Malig_CLDN4high,NK,1.0830421,1.0
MDK,MDK,1.8811998,0.888,SORL1,SORL1,0.24095596,0.1575,Malig_CLDN4high,T,1.061078,0.0
MDK,MDK,1.8811998,0.888,SORL1,SORL1,0.22881962,0.3315,Malig_CLDN4high,Malig_CLDN4high,1.0550097,0.0
LTB,LTB,1.6982002,0.679,LTBR,LTBR,0.40266892,0.4885,T,Malig_CLDN4high,1.0504346,0.0
MDK,MDK,1.8811998,0.888,SORL1,SORL1,0.2171145,0.3145,Malig_CLDN4high,Malig_CLDN4low,1.0491571,0.0
MDK,MDK,1.7440194,0.8235,SORL1,SORL1,0.3525445,0.2105,Malig_CLDN4low,NK,1.0482819,0.0
CLEC2D,CLEC2D,0.06157681,0.102,KLRB1,KLRB1,2.0188818,0.738,Malig_CLDN4low,NK,1.0402293,0.0
LTB,LTB,1.6982002,0.679,LTBR,LTBR,0.32241204,0.4125,T,Malig_CLDN4low,1.0103061,0.0
HLA-C,HLA-C,1.7671634,0.8615,KIR2DL3,KIR2DL3,0.24063383,0.143,Malig_CLDN4high,NK,1.0038986,1.0
MDK,MDK,1.7440194,0.8235,SORL1,SORL1,0.24095596,0.1575,Malig_CLDN4low,T,0.99248767,0.0
MDK,MDK,1.7440194,0.8235,SORL1,SORL1,0.22881962,0.3315,Malig_CLDN4low,Malig_CLDN4high,0.9864195,0.0
MDK,MDK,1.7440194,0.8235,SORL1,SORL1,0.2171145,0.3145,Malig_CLDN4low,Malig_CLDN4low,0.9805669,0.0
KLRF1,KLRF1,1.2395335,0.576,CLEC2B,CLEC2B,0.70129544,0.3915,NK,T,0.9704145,0.0
CLEC2B,CLEC2B,0.70129544,0.3915,KLRF1,KLRF1,1.2395335,0.576,T,NK,0.9704145,0.0
HLA-B,HLA-B,1.6828128,0.8185,KIR3DL2,KIR3DL2,0.23510908,0.1375,Malig_CLDN4low,NK,0.95896095,1.0
CD58,CD58,0.1764784,0.113,CD2,CD2,1.621622,0.7525,NK,T,0.8990502,0.0
CD58,CD58,0.16705011,0.109,CD2,CD2,1.621622,0.7525,T,T,0.89433604,0.0
HLA-C,HLA-C,1.4960632,0.778,KIR2DL3,KIR2DL3,0.24063383,0.143,Malig_CLDN4low,NK,0.86834854,1.0
CD58,CD58,0.10022431,0.1695,CD2,CD2,1.621622,0.7525,Malig_CLDN4high,T,0.8609231,0.0
CD58,CD58,0.0793172,0.1465,CD2,CD2,1.621622,0.7525,Malig_CLDN4low,T,0.8504696,0.0
CEACAM6,CEACAM6,1.3704597,0.79,CEACAM5,CEACAM5,0.31616303,0.267,Malig_CLDN4high,Malig_CLDN4low,0.84331137,0.0
CEACAM6,CEACAM6,1.3704597,0.79,CEACAM5,CEACAM5,0.301552,0.2815,Malig_CLDN4high,Malig_CLDN4high,0.8360058,0.0
CD48,CD48,1.4299141,0.705,CD244,CD244,0.20555235,0.13,T,NK,0.8177332,0.0
CLEC2D,CLEC2D,0.7746515,0.451,KLRB1,KLRB1,0.8206921,0.315,T,T,0.7976718,0.0
CEACAM6,CEACAM6,1.2511975,0.674,CEACAM5,CEACAM5,0.31616303,0.267,Malig_CLDN4low,Malig_CLDN4low,0.78368026,0.0
CEACAM6,CEACAM6,1.2511975,0.674,CEACAM5,CEACAM5,0.301552,0.2815,Malig_CLDN4low,Malig_CLDN4high,0.7763747,0.0
CD48,CD48,1.318932,0.661,CD244,CD244,0.20555235,0.13,NK,NK,0.7622422,0.0
LCK,LCK,1.0761781,0.6025,CD8B,CD8A_CD8B,0.44690526,0.223,T,T,0.76154166,0.0
HLA-E,HLA-E,0.87625325,0.721,KLRC1,KLRC1_KLRD1,0.6139677,0.2785,Malig_CLDN4high,NK,0.7451105,1.0
HLA-E,HLA-E,0.87625325,0.721,KLRC1,KLRC1,0.6139677,0.2785,Malig_CLDN4high,NK,0.7451105,1.0
CEACAM6,CEACAM6,1.3704597,0.79,CEACAM1,CEACAM1,0.10159799,0.1765,Malig_CLDN4high,Malig_CLDN4high,0.73602885,0.0
SPP1,SPP1,0.29222435,0.1545,CD44,CD44,1.1663941,0.625,NK,T,0.7293092,0.0
CEACAM6,CEACAM6,1.3704597,0.79,CEACAM1,CEACAM1,0.08604754,0.151,Malig_CLDN4high,Malig_CLDN4low,0.7282536,0.0
KLRF1,KLRF1,1.2395335,0.576,CLEC2B,CLEC2B,0.1646092,0.2005,NK,Malig_CLDN4low,0.70207137,0.0
CLEC2B,CLEC2B,0.1646092,0.2005,KLRF1,KLRF1,1.2395335,0.576,Malig_CLDN4low,NK,0.70207137,0.0
SPP1,SPP1,0.23536958,0.236,CD44,CD44,1.1663941,0.625,Malig_CLDN4low,T,0.70088184,0.0
KLRF1,KLRF1,1.2395335,0.576,CLEC2B,CLEC2B,0.16179931,0.204,NK,Malig_CLDN4high,0.7006664,0.0
CLEC2B,CLEC2B,0.16179931,0.204,KLRF1,KLRF1,1.2395335,0.576,Malig_CLDN4high,NK,0.7006664,0.0
LGALS9,LGALS9,0.2046932,0.281,CD44,CD44,1.1663941,0.625,Malig_CLDN4high,T,0.68554366,0.0
