tf	target	resource	note
ELF3	ANGPT1	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	AR	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	CCL20	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	CCND3	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	CLDN7	CollecTRI	A10 given prior; CLDN4 held out of this set
ELF3	COL2A1	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	EGR1	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	EHF	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	ERBB2	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	FOLH1	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	GADD45GIP1	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	HP	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	IL1B	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	ITGB6	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	KLK3	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	KRT4	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	KRT8	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	LYZ	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	MED23	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	MMP13	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	MMP9	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	NOS2	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	NOTCH3	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	POU5F1	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	PRR9	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	PTGS2	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	SPMAP2	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	SPRR1A	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	SPRR1B	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	SPRR2A	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	SPRR3	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	TGFB1	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	TGFBR2	CollecTRI	A10 given prior; not a lung ChIP peak
ELF3	TIMP3	CollecTRI	A10 given prior; not a lung ChIP peak
