accession,gene,group,n,mean,median,min,max,log2_mean_ratio_vs_vehicle,nonzero_cells,fraction_nonzero
E-MTAB-13704,TACSTD2,ATRi,4,3055.9971701412896,2936.2858792949833,2284.219188880877,4067.197733094316,0.16941375637152037,,
E-MTAB-13704,TACSTD2,ATRi/aPD-L1,5,2928.4500118167234,2842.3229518344588,2557.742553679212,3516.1127721108573,0.10792837163108242,,
E-MTAB-13704,TACSTD2,Cisplatin/aPD-L1 /aCTLA4,4,2607.36155909301,2692.774170379077,2185.874051608448,2858.023844005438,-0.05955759716556542,,
E-MTAB-13704,TACSTD2,VEGFRi/aPD-L1,4,3532.422893153147,3459.7186792962393,3297.98446776286,3912.2697462572505,0.378364966300989,,
E-MTAB-13704,TACSTD2,aPD-L1,5,2523.001834580574,2474.2657049523636,2182.107656736136,3163.407693253702,-0.10698850140350805,,
E-MTAB-13704,TACSTD2,vehicle,5,2717.2939238433114,2705.38779771557,2444.6180040283352,2999.70714829758,0.0,,
E-MTAB-13704,CLDN4,ATRi,4,1353.50716737824,1217.5907410629438,989.6757472905921,1989.17144009648,-0.6288003919971321,,
E-MTAB-13704,CLDN4,ATRi/aPD-L1,5,1769.8291163061795,1708.7760930210668,1044.0838578865228,2649.789976781999,-0.24214341977458106,,
E-MTAB-13704,CLDN4,Cisplatin/aPD-L1 /aCTLA4,4,1385.304852994107,1375.6389265319563,1159.3269848175814,1630.6145740949335,-0.595323873837304,,
E-MTAB-13704,CLDN4,VEGFRi/aPD-L1,4,1481.356470287862,1409.9991748521247,1176.502776845776,1928.9247546014224,-0.49867599752788044,,
E-MTAB-13704,CLDN4,aPD-L1,5,1957.62572849402,1821.3403794501855,1510.064083875212,2906.3104163377216,-0.09672667855240442,,
E-MTAB-13704,CLDN4,vehicle,5,2093.4456096881895,2164.757240751983,1396.9392271045042,2794.968131476307,0.0,,
E-MTAB-15883,TACSTD2,CTX,5299,0.0019554451972070203,,,,,18,0.003396867333459143
E-MTAB-15883,TACSTD2,ICI,4113,0.0004862630683199611,,,,,3,0.0007293946024799417
E-MTAB-15883,TACSTD2,ICI+CTX,5782,0.002017756139744033,,,,,10,0.0017295053614666206
E-MTAB-15883,TACSTD2,NC,5847,0.0012827090815802976,,,,,13,0.002223362408072516
E-MTAB-15883,CLDN4,CTX,5299,0.0012221532364597096,,,,,9,0.0016984336667295716
E-MTAB-15883,CLDN4,ICI,4113,0.0018842693897398492,,,,,9,0.002188183807439825
E-MTAB-15883,CLDN4,ICI+CTX,5782,0.002546216188170183,,,,,21,0.0036319612590799033
E-MTAB-15883,CLDN4,NC,5847,0.002457100393364118,,,,,18,0.0030785017957927143
