gsm	patient	tissue	orig.ident	title
GSM6210624	P1006	Lung	EBUS-06-3P	P1006 EBUS_06
GSM6210625	P1006	Effusion	EFFUSION-06-3P	P1006 EFFUSION_06
GSM6210626	P1027	LN	EBUS-27-5P	P1027 EBUS_27
GSM6210627	P1037	LN	EBUS-37-3P	P1037 EBUS_37
GSM6210628	P1090	LN	EBUS-90-5P	P1090 EBUS_90
GSM6210629	P1017	LN	EBUS-17-5P	P1017 EBUS_17
GSM6210630	P1017	Liver	LM-17-5P	P1017 LM_17
GSM6210631	P4001	Lung	PCNB-01-5P	P4001 PCNB_01
GSM6210632	P1030	LN	EBUS-30-5P	P1030 EBUS_30
GSM6210633	P1062	LN	EBUS-62-5P	P1062 EBUS_62
GSM6210634	P1076	LN	EBUS-76-3P	P1076 EBUS_76
GSM6210635	P1076	LN	NECK-05-3P	P1076 NECK_05
GSM6210636	P1089	LN	EBUS-89-3P	P1089 EBUS_89
GSM6210637	P1119	LN	EBUS-119-3P	P1119 EBUS_119
GSM6210638	P1016	LN	EBUS-16-5P	P1016 EBUS_16
GSM6210639	P1016	Liver	LM-16-5P	P1016 LM_16
GSM6210640	P1115	Liver	LM-115-3P	P1115 LM_115
GSM6210641	P1056	LN	EBUS-56-3P	P1056 EBUS_56
GSM6210642	P1056	Liver	LM-56-3P	P1056 LM_56
GSM6210643	P1015	LN	EBUS-15-3P	P1015 EBUS_15
GSM6210644	P1025	LN	EBUS-25-3P	P1025 EBUS_25
GSM6210645	P1084	LN	EBUS-84-5P	P1084 EBUS_84
GSM6210646	P1018	Bronchus	EBUS-18-5P	P1018 EBUS_18
GSM6210647	P1063	Bronchus	BRONCHO-63-5P	P1063 BRONCHO_63
GSM6210648	P1063	LN	EBUS-63-5P	P1063 EBUS_63
GSM6210649	P1079	LN	EBUS-79-5P	P1079 EBUS_79
GSM6210650	P1072	LN	EBUS-72-5P	P1072 EBUS_72
GSM6210651	P0031	Lung	LUNG-T31-3P	P0031 LUNG_T31
GSM6210652	P0031	Normal Lung	LUNG-N31-3P	P0031 LUNG_N31
GSM6210653	P2016	Normal LN	LN-16-5P	P2016 LN_16
GSM6210654	P2001	Normal LN	LN-01-3P	P2001 LN_01
GSM6210655	P2009	Normal LN	LN-09-5P	P2009 LN_09
GSM6210656	P3032	Normal Brain	NS-32-5P	P3032 NS_32
