sample,patient,n_high,n_low,radius_um,high_mean,low_mean,ratio
Lung5_Rep1,P5,10142,23959,20,0.2929402485,0.6822071038,0.4294007594
Lung5_Rep1,P5,10142,23959,40,1.54979294,2.802162027,0.553070424
Lung5_Rep1,P5,10142,23959,60,3.879708144,6.201552652,0.6256027098
Lung5_Rep1,P5,10142,23959,80,7.226878328,10.7887224,0.669854878
Lung5_Rep2,P5,10209,23488,20,0.4432363601,0.9276226158,0.4778197001
Lung5_Rep2,P5,10209,23488,40,2.276422764,3.783251022,0.601710738
Lung5_Rep2,P5,10209,23488,60,5.635615633,8.392498297,0.6715063184
Lung5_Rep2,P5,10209,23488,80,10.58056617,14.63619721,0.7229040452
Lung5_Rep3,P5,9811,25573,20,0.2561410662,0.6228444062,0.4112440661
Lung5_Rep3,P5,9811,25573,40,1.33380899,2.556641771,0.5217035117
Lung5_Rep3,P5,9811,25573,60,3.335949445,5.647988112,0.5906438502
Lung5_Rep3,P5,9811,25573,80,6.244521456,9.803503695,0.636968338
Lung6,P6,17592,56257,20,0.04854479309,0.06996462662,0.6938476689
Lung6,P6,17592,56257,40,0.2790472942,0.3343406154,0.8346197901
Lung6,P6,17592,56257,60,0.7248180991,0.8129832732,0.8915535203
Lung6,P6,17592,56257,80,1.385288768,1.510958636,0.9168277241
Lung9_Rep1,P9,12735,19996,20,0.3177071064,0.7614522905,0.417238362
Lung9_Rep1,P9,12735,19996,40,1.491558697,3.165083017,0.47125421
Lung9_Rep1,P9,12735,19996,60,3.650804868,7.076365273,0.5159152655
Lung9_Rep1,P9,12735,19996,80,6.895641932,12.35337067,0.5581992246
Lung9_Rep2,P9,23343,39248,20,0.2459409673,0.4465195679,0.550795497
Lung9_Rep2,P9,23343,39248,40,1.047251853,1.750101916,0.598394781
Lung9_Rep2,P9,23343,39248,60,2.407745363,3.782179984,0.6366025343
Lung9_Rep2,P9,23343,39248,80,4.342672321,6.478470241,0.6703237277
Lung12,P12,7575,21278,20,0.3551155116,0.7185355767,0.4942211953
Lung12,P12,7575,21278,40,1.774257426,2.956809851,0.6000580069
Lung12,P12,7575,21278,60,4.37980198,6.504887677,0.673309394
Lung12,P12,7575,21278,80,8.19960396,11.242363,0.7293487995
Lung13,P13,8827,13346,20,0.2569389374,0.5914880863,0.4343941041
Lung13,P13,8827,13346,40,1.689362184,2.574479245,0.6561956899
Lung13,P13,8827,13346,60,4.782032401,5.979319646,0.7997619601
Lung13,P13,8827,13346,80,9.750538122,10.85696089,0.898090932
