sample,patient,radius_um,gene,n_near_high,n_near_low,mean_cpm_high,mean_cpm_low,ratio_cpm
LUAD-5 R1,Lung5,50,GZMB,330,498,17.725990640210895,13.872847340392752,1.2777471131394327
LUAD-5 R1,Lung5,50,PRF1,330,498,21.33727322906962,14.918729208092566,1.4302339650682416
LUAD-5 R1,Lung5,50,NKG7,330,498,28.196894493261855,23.26289370398476,1.2120974652621113
LUAD-5 R1,Lung5,50,IFNG,330,498,3.873648513325126,3.5899739355513574,1.0790185619356596
LUAD-5 R1,Lung5,100,GZMB,698,1122,15.636234564890998,11.860973641987112,1.3182926660876892
LUAD-5 R1,Lung5,100,PRF1,698,1122,18.90817224976278,14.341348287656064,1.31843756043757
LUAD-5 R1,Lung5,100,NKG7,698,1122,24.343603848764598,21.572418001100402,1.1284596769598494
LUAD-5 R1,Lung5,100,IFNG,698,1122,4.074807946598061,5.226076955324183,0.7797068396489567
LUAD-5 R2,Lung5,50,GZMB,353,733,17.201808124147643,15.93176460169182,1.0797176931876684
LUAD-5 R2,Lung5,50,PRF1,353,733,11.864567306927544,10.734175381701416,1.1053077563045142
LUAD-5 R2,Lung5,50,NKG7,353,733,28.725487346940543,26.16455078526922,1.0978781016608603
LUAD-5 R2,Lung5,50,IFNG,353,733,8.540120915954738,6.802609272647134,1.2554184098584098
LUAD-5 R2,Lung5,100,GZMB,757,1522,15.275994983892494,13.746775910122317,1.1112420165839867
LUAD-5 R2,Lung5,100,PRF1,757,1522,11.627575361987942,13.01895898818441,0.893126353077904
LUAD-5 R2,Lung5,100,NKG7,757,1522,24.117573732016997,24.204584980167287,0.9964051749607942
LUAD-5 R2,Lung5,100,IFNG,757,1522,7.155730883014362,6.42275793894957,1.1141212156883291
LUAD-5 R3,Lung5,50,GZMB,350,589,14.227891570785593,14.92155321771362,0.9535127719743967
LUAD-5 R3,Lung5,50,PRF1,350,589,19.394120959074947,14.904961336643643,1.30118559324235
LUAD-5 R3,Lung5,50,NKG7,350,589,25.95119315245038,26.532303913189708,0.9780979909381164
LUAD-5 R3,Lung5,50,IFNG,350,589,8.107220747114393,5.336088165736681,1.5193191145474898
LUAD-5 R3,Lung5,100,GZMB,683,1356,16.237379132901516,13.589037644793274,1.1948880823891874
