sample,patient,radius_um,n_cldn4_high,n_cldn4_low,high_mean,low_mean,ratio
LUAD-5 R1,Lung5,50,9298,9302,0.2167132717,0.2229628037,0.9719705174
LUAD-5 R1,Lung5,100,9298,9302,1.411916541,1.326918942,1.064056361
LUAD-5 R2,Lung5,50,9545,9565,0.2206390781,0.256769472,0.8592885918
LUAD-5 R2,Lung5,100,9545,9565,1.453012048,1.423209618,1.020940295
LUAD-5 R3,Lung5,50,8270,8285,0.2281741233,0.2465902233,0.9253169906
LUAD-5 R3,Lung5,100,8270,8285,1.392623942,1.268316234,1.098010027
LUSC-6,Lung6,50,16402,50579,0.1531520546,0.1413827873,1.08324399
LUSC-6,Lung6,100,16402,50579,0.8725155469,0.8161292236,1.069089945
LUAD-9 R1,Lung9,50,19670,19752,0.430045755,0.6640846497,0.6475767136
LUAD-9 R1,Lung9,100,19670,19752,2.651042196,3.416211017,0.7760182797
LUAD-9 R2,Lung9,50,48360,48462,0.2992555831,0.5617597293,0.5327109929
LUAD-9 R2,Lung9,100,48360,48462,1.607009926,2.416945235,0.6648929823
LUAD-12,Lung12,50,7288,11224,0.2628979144,0.5687811832,0.4622127492
LUAD-12,Lung12,100,7288,11224,1.560373216,2.451977904,0.6363732778
LUAD-13,Lung13,50,13148,13163,1.551718893,1.71116007,0.9068227572
LUAD-13,Lung13,100,13148,13163,7.391694554,7.749145332,0.9538722321
