gene,cut,metric,radius_um,sample,patient,n_high,n_low,high_mean,low_mean,delta,ratio
TACSTD2,median,cd8nk_n,10,LUAD-5 R1,Lung5,8918,8919,0.0005606638259699485,0.0028030048211682922,-0.0022423409951983437,0.2000224265530388
TACSTD2,median,cd8nk_n,20,LUAD-5 R1,Lung5,8918,8919,0.011773940345368918,0.018836192398250923,-0.007062252052882006,0.6250700829782463
TACSTD2,median,cd8nk_n,50,LUAD-5 R1,Lung5,8918,8919,0.18412200044853105,0.21358896737302388,-0.029466966924492827,0.8620389091865871
TACSTD2,median,cd8nk_n,100,LUAD-5 R1,Lung5,8918,8919,1.2758466023772146,1.3212243525058862,-0.04537775012867162,0.9656547731332635
TACSTD2,median,cd8nk_n,10,LUAD-5 R2,Lung5,8957,8957,0.0007815116668527409,0.0022328904767221166,-0.0014513788098693757,0.35000000000000003
TACSTD2,median,cd8nk_n,20,LUAD-5 R2,Lung5,8957,8957,0.010271296192921737,0.017528190242268617,-0.007256894049346881,0.5859872611464968
TACSTD2,median,cd8nk_n,50,LUAD-5 R2,Lung5,8957,8957,0.19057720218823268,0.20911019314502624,-0.01853299095679356,0.9113721302722905
TACSTD2,median,cd8nk_n,100,LUAD-5 R2,Lung5,8957,8957,1.3397342860332702,1.276320196494362,0.06341408953890815,1.0496850944716585
TACSTD2,median,cd8nk_n,10,LUAD-5 R3,Lung5,7942,7951,0.0007554772097708386,0.002138095837001635,-0.0013826186272307966,0.3533411349934081
TACSTD2,median,cd8nk_n,20,LUAD-5 R3,Lung5,7942,7951,0.01662049861495845,0.016978996352660043,-0.00035849773770159354,0.978885811018775
TACSTD2,median,cd8nk_n,50,LUAD-5 R3,Lung5,7942,7951,0.2039788466381264,0.21292919129669224,-0.00895034465856584,0.9579656288362334
TACSTD2,median,cd8nk_n,100,LUAD-5 R3,Lung5,7942,7951,1.254847645429363,1.2051314300088039,0.04971621542055904,1.0412537704872538
TACSTD2,median,cd8nk_n,10,LUSC-6,Lung6,24655,41541,0.0008517542080713851,0.001420283575262993,-0.000568529367191608,0.5997071450422612
TACSTD2,median,cd8nk_n,20,LUSC-6,Lung6,24655,41541,0.010464408842019874,0.012060374088250163,-0.0015959652462302892,0.867668678056582
TACSTD2,median,cd8nk_n,50,LUSC-6,Lung6,24655,41541,0.13323869397688096,0.13682867528465853,-0.0035899813077775733,0.973762946251515
TACSTD2,median,cd8nk_n,100,LUSC-6,Lung6,24655,41541,0.7778543905901439,0.8102838159890229,-0.03242942539887894,0.959977695766642
TACSTD2,median,cd8nk_n,10,LUAD-9 R1,Lung9,10433,28431,0.0071887280743793735,0.009813232035454257,-0.002624503961074884,0.7325545802246594
TACSTD2,median,cd8nk_n,20,LUAD-9 R1,Lung9,10433,28431,0.04917090002875491,0.057929724596391265,-0.008758824567636353,0.8488025857422774
TACSTD2,median,cd8nk_n,50,LUAD-9 R1,Lung9,10433,28431,0.5269816927058373,0.5111322148359185,0.01584947786991875,1.0310085676658176
TACSTD2,median,cd8nk_n,100,LUAD-9 R1,Lung9,10433,28431,3.120099683695965,2.8730610952833175,0.24703858841264736,1.0859844535914007
TACSTD2,median,cd8nk_n,10,LUAD-9 R2,Lung9,25449,69427,0.004008016032064128,0.011335647514655682,-0.007327631482591554,0.3535762758044679
TACSTD2,median,cd8nk_n,20,LUAD-9 R2,Lung9,25449,69427,0.027348815277614052,0.06386564304953404,-0.03651682777191999,0.4282242215333583
TACSTD2,median,cd8nk_n,50,LUAD-9 R2,Lung9,25449,69427,0.2600888050611026,0.46025321560776067,-0.20016441054665807,0.5650993762589087
TACSTD2,median,cd8nk_n,100,LUAD-9 R2,Lung9,25449,69427,1.4876812448426264,2.1016031227044234,-0.613921877861797,0.7078792512109618
TACSTD2,median,cd8nk_n,10,LUAD-12,Lung12,5919,12348,0.0023652644027707384,0.013605442176870748,-0.01124017777410001,0.17384693360364928
TACSTD2,median,cd8nk_n,20,LUAD-12,Lung12,5919,12348,0.02027369488089204,0.07847424684159378,-0.05820055196070174,0.2583483843026367
TACSTD2,median,cd8nk_n,50,LUAD-12,Lung12,5919,12348,0.25477276566987667,0.5374959507612569,-0.2827231850913802,0.4739994139658938
TACSTD2,median,cd8nk_n,100,LUAD-12,Lung12,5919,12348,1.608379793884102,2.327745383867833,-0.7193655899837308,0.6909603623449498
TACSTD2,median,cd8nk_n,10,LUAD-13,Lung13,9053,16977,0.018226002430133656,0.03292690110149025,-0.014700898671356592,0.5535292365945959
TACSTD2,median,cd8nk_n,20,LUAD-13,Lung13,9053,16977,0.16933613166905997,0.20474759969370324,-0.03541146802464326,0.8270481896851644
TACSTD2,median,cd8nk_n,50,LUAD-13,Lung13,9053,16977,1.5971501159836519,1.6424574424221006,-0.0453073264384487,0.9724149160469967
TACSTD2,median,cd8nk_n,100,LUAD-13,Lung13,9053,16977,7.582900695901911,7.56311480237969,0.019785893522220377,1.0026161038195527
CLDN4,median,cd8nk_n,10,LUAD-5 R1,Lung5,8910,8927,0.0008978675645342312,0.0024644337403382996,-0.0015665661758040685,0.3643301703907765
CLDN4,median,cd8nk_n,20,LUAD-5 R1,Lung5,8910,8927,0.0143658810325477,0.016242858743138792,-0.001876977710591093,0.8844428963969194
CLDN4,median,cd8nk_n,50,LUAD-5 R1,Lung5,8910,8927,0.21200897867564533,0.18572868824913186,0.026280290426513475,1.1414982826522833
CLDN4,median,cd8nk_n,100,LUAD-5 R1,Lung5,8910,8927,1.3976430976430976,1.1996191329674022,0.19802396467569539,1.1650723627472157
CLDN4,median,cd8nk_n,10,LUAD-5 R2,Lung5,8957,8957,0.0008931561906888468,0.002121245952886011,-0.0012280897621971642,0.4210526315789474
CLDN4,median,cd8nk_n,20,LUAD-5 R2,Lung5,8957,8957,0.0152952997655465,0.012504186669643855,0.0027911130959026448,1.2232142857142856
CLDN4,median,cd8nk_n,50,LUAD-5 R2,Lung5,8957,8957,0.21089650552640393,0.18879088980685496,0.02210561571954897,1.117090479006505
CLDN4,median,cd8nk_n,100,LUAD-5 R2,Lung5,8957,8957,1.4260355029585798,1.1900189795690521,0.23601652338952772,1.1983300497232385
