dataset,gene,comparison,unit,n_pos,n_neg,median_pos,median_neg,U,p,auc,cliffs_delta
GSE205335_malig_all_with_RECIST,TACSTD2,RECIST_PR_vs_SDPD,malig_pseudobulk_cp10k_log1p,6,10,1.4975469114055155,1.908090242469981,25.0,0.6353646353646354,0.4166666666666667,-0.16666666666666666
GSE205335_malig_all_with_RECIST,CLDN4,RECIST_PR_vs_SDPD,malig_pseudobulk_cp10k_log1p,6,10,1.8409744982227896,1.9274095123871389,27.0,0.7924575424575424,0.45,-0.1
GSE205335_malig_NSCLC_ADC_SQ,TACSTD2,RECIST_PR_vs_SDPD,malig_pseudobulk_cp10k_log1p,4,8,2.3942875553240293,1.908090242469981,18.0,0.8080808080808081,0.5625,0.125
GSE205335_malig_NSCLC_ADC_SQ,CLDN4,RECIST_PR_vs_SDPD,malig_pseudobulk_cp10k_log1p,4,8,1.7829907180081557,1.9854108082602675,14.0,0.8080808080808081,0.4375,-0.125
