dataset,gene,comparison,unit,n_pos,n_neg,median_pos,median_neg,U,p,auc,cliffs_delta
GSE207422_scRNA_malig_post,TACSTD2,MPR_vs_nonMPR,mean_log1p_UMI_EPCAM+_PTPRC-,4,8,1.415457156314075,1.529424495432516,11.0,0.46060606060606063,0.34375,-0.3125
GSE207422_scRNA_malig_post,CLDN4,MPR_vs_nonMPR,mean_log1p_UMI_EPCAM+_PTPRC-,4,8,1.5730724752960252,1.3350201977264828,21.0,0.46060606060606063,0.65625,0.3125
