dataset,label,timing,gene,n_MPR,n_nonMPR,auc,auc_lo,auc_hi,cliffs_delta,p,direction
GSE207422_bulk,GSE207422 bulk (baseline biopsy),baseline,TACSTD2,9,15,0.37777777777777777,0.14814814814814814,0.6074074074074074,-0.24444444444444444,0.3400554635028641,lower_in_MPR
GSE207422_bulk,GSE207422 bulk (baseline biopsy),baseline,CLDN4,9,15,0.35555555555555557,0.13333333333333333,0.5777777777777777,-0.28888888888888886,0.2572389851810263,lower_in_MPR
GSE207422_scRNA_malig_post,GSE207422 scRNA malig (post-tx EPCAM+/PTPRC-),post-treatment,TACSTD2,4,8,0.34375,0.0625,0.6875,-0.3125,0.46060606060606063,lower_in_MPR
GSE207422_scRNA_malig_post,GSE207422 scRNA malig (post-tx EPCAM+/PTPRC-),post-treatment,CLDN4,4,8,0.65625,0.3125,0.9375,0.3125,0.46060606060606063,higher_in_MPR
GSE241934_scRNA_epi,GSE241934 scRNA epi (resected tumor),post-treatment,TACSTD2,10,25,0.652,0.432,0.84,0.304,0.17090352023079747,higher_in_MPR
GSE241934_scRNA_epi,GSE241934 scRNA epi (resected tumor),post-treatment,CLDN4,10,25,0.496,0.28,0.712,-0.008,0.9854334968467763,lower_in_MPR
GSE205335_malig_NSCLC,"GSE205335 malig leftover (advanced ICI, RECIST, NSCLC)",advanced-ICI-RECIST,TACSTD2,4,8,0.5625,0.1875,0.9375,0.125,0.8080808080808081,higher_in_MPR
GSE205335_malig_NSCLC,"GSE205335 malig leftover (advanced ICI, RECIST, NSCLC)",advanced-ICI-RECIST,CLDN4,4,8,0.4375,0.0625,0.8132812499999957,-0.125,0.8080808080808081,lower_in_MPR
