dataset,gene,comparison,n_pos,n_neg,median_pos,median_neg,U,p,auc,cliffs_delta
GSE207422_bulk,TACSTD2,Squamous_vs_Adeno,12,8.0,6.91984002115713,5.677598335457295,64.0,0.23797729618163055,0.6666666666666666,0.3333333333333333
GSE207422_bulk,CLDN4,Squamous_vs_Adeno,12,8.0,6.1607846624503,5.99199489151675,53.0,0.7344923394458999,0.5520833333333334,0.10416666666666667
GSE207422_bulk,EPCAM,Squamous_vs_Adeno,12,8.0,6.1660263065761995,6.669448725875315,38.0,0.4726680955783123,0.3958333333333333,-0.20833333333333334
GSE207422_bulk,TACSTD2,MPR_vs_nonMPR_within_Adeno,3,5.0,4.9991896090022,6.78473179402388,3.0,0.25,0.2,-0.6
GSE207422_bulk,CLDN4,MPR_vs_nonMPR_within_Adeno,3,5.0,5.14672803923879,6.49288548811204,3.0,0.25,0.2,-0.6
GSE207422_bulk,TACSTD2,MPR_vs_nonMPR_within_Squamous,4,8.0,7.46882952545388,6.44818919546731,16.0,1.0,0.5,0.0
GSE207422_bulk,CLDN4,MPR_vs_nonMPR_within_Squamous,4,8.0,5.96028997035833,6.362961294897965,12.0,0.5696969696969697,0.375,-0.25
GSE207422_bulk,TACSTD2,pCR_vs_nonpCR,5,19.0,4.8311254559415,6.15032828661551,36.0,0.4463579898362507,0.37894736842105264,-0.24210526315789474
GSE207422_bulk,CLDN4,pCR_vs_nonpCR,5,19.0,5.8539397241997,6.04956159336923,38.0,0.5341144362883493,0.4,-0.2
GSE207422_bulk,TACSTD2,Spearman_vs_EPCAM,24,,,,,0.0001364054723998624,,0.7008695652173912
GSE207422_bulk,TACSTD2,MPR_vs_nonMPR_EPCAM_residualized,9,15.0,-0.23150091411192264,-0.510955510665287,75.0,0.6763863260009093,0.5555555555555556,0.1111111111111111
GSE207422_bulk,CLDN4,Spearman_vs_EPCAM,24,,,,,5.729819268928643e-06,,0.7843478260869564
GSE207422_bulk,CLDN4,MPR_vs_nonMPR_EPCAM_residualized,9,15.0,0.427935767436761,-0.5830900214558197,97.0,0.08376867216566629,0.7185185185185186,0.43703703703703706
GSE207422_bulk,MPR_rate,Fisher_Adeno_vs_Squamous_MPR,8,12.0,0.375,0.3333333333333333,0.8333333333333334,1.0,,
