dataset,gene,comparison,unit,n_pos,n_neg,median_pos,median_neg,U,p,auc,cliffs_delta
GSE241934_scRNA_epi,TACSTD2,MPR_vs_nonMPR,epi_pseudobulk_cp10k_log1p,10,25,2.2673212184840064,2.0700242395644834,163.0,0.17090352023079747,0.652,0.304
GSE241934_scRNA_epi,CLDN4,MPR_vs_nonMPR,epi_pseudobulk_cp10k_log1p,10,25,2.1940109150235783,2.1881754710864447,124.0,0.9854334968467763,0.496,-0.008
