sample	n_cells_high_nhood	n_cells_low_nhood	frac_tnk_high_nhood	frac_tnk_low_nhood	cldn4_arm	malignant_cldn4	sample_frac_tnk	n_malignant	n_cells
P1	2000	1060	0.0085	0.01509433962264151	low	1.2062486410140991	0.02764716945646041	3286	5317
P2	134	45	0.0	0.0	high	1.9771252870559692	0.0032679738562091504	120	306
P3	2560	3926	0.0	0.0005094243504839531	low	0.9790173768997192	0.002169751116783663	6808	7835
P4	55	189	0.01818181818181818	0.015873015873015872	low	0.37932005524635315	0.06669591926283458	99	4558
P5	129	63	0.0	0.015873015873015872	low	0.7294541001319885	0.014669926650366748	23	2454
P6	1275	367	0.01019607843137255	0.05449591280653951	high	1.9742186069488525	0.028214171208720745	1439	3119
P7	102	184	0.45098039215686275	0.23369565217391305	low	0.5325690507888794	0.34651847008826414	128	3059
P8	191	1	0.0	0.0	high	2.2132463455200195	0.04918032786885246	129	1342
P9	627	116	0.0	0.0	high	1.6414695978164673	0.017613636363636363	358	3520
P10	1249	1089	0.008006405124099279	0.0027548209366391185	low	1.10429048538208	0.01871657754010695	2459	3740
P11	7	162	0.0	0.0	low	0.03538918122649193	0.08013937282229965	104	574
P12	4	1	0.0	0.0	unscored		0.051627384960718295	1	891
P13	120	14	0.0	0.0	high	1.7487804889678955	0.09594882729211088	122	938
P14	165	541	0.006060606060606061	0.005545286506469501	low	0.43161943554878235	0.017146017699115043	572	1808
P15	1318	1090	0.002276176024279211	0.0027522935779816515	high	1.2946597337722778	0.004714364947310039	2017	3606
P16	523	134	0.0	0.0	high	1.7255853414535522	0.0	872	1148
P17	2723	5468	0.0	0.0	low	0.7044427394866943	0.0	5972	8700
P18	823	495	0.0	0.014141414141414142	low	1.2173537015914917	0.026554013277006638	1559	3314
P19	103	6	0.0	0.0	high	1.812164545059204	0.10596026490066225	72	453
P20	147	42	0.0	0.0	high	2.183753252029419	0.0	231	429
P21	595	395	0.0	0.002531645569620253	high	1.4101277589797974	0.006097560975609756	1080	1968
P22	109	26	0.009174311926605505	0.5384615384615384	high	1.781869649887085	0.358695652173913	46	644
P23	462	707	0.004329004329004329	0.002828854314002829	low	0.658175528049469	0.013405948889819858	1388	2387
P24	65	46	0.0	0.0	low	1.007836103439331	0.16580310880829016	79	386
P25	1385	1305	0.0	0.0	low	1.156801700592041	0.0004964010920824026	3108	4029
P26	54	45	0.018518518518518517	0.17777777777777778	high	1.6699109077453613	0.14385964912280702	63	570
P27	47	63	0.0	0.031746031746031744	high	1.4928152561187744	0.12305516265912306	33	707
P28	493	41	0.0	0.0	high	1.6435954570770264	0.0269700800674252	356	2373
P29	346	413	0.0	0.0	low	0.8770560026168823	0.0010319917440660474	320	969
P30	270	157	0.0	0.006369426751592357	low	0.9143273830413818	0.005390835579514825	541	742
P31	97	39	0.0	0.0	high	1.4403133392333984	0.0103359173126615	329	387
P32	198	27	0.0	0.0	high	2.774290084838867	0.13277310924369748	132	595
P33	91	31	0.0	0.0	high	2.2222509384155273	0.0	86	350
P34	254	82	0.0	0.0	low	1.0129364728927612	0.01440329218106996	403	972
P35	174	111	0.0	0.0	unscored		0.013901760889712697	1	1079
P36	35	124	0.0	0.0	low	0.8154506087303162	0.006	153	500
P37	111	166	0.0	0.0	low	0.0855594202876091	0.01729686242960579	12	2486
P38	97	104	0.0	0.04807692307692308	high	1.232067584991455	0.11045655375552282	46	1358
P39	134	17	0.022388059701492536	0.17647058823529413	unscored		0.11972573839662447	1	1896
P40	70	3	0.02857142857142857	0.0	high	1.6507854461669922	0.3229437229437229	73	1155
P41	3526	1674	0.0	0.0	high	1.3796054124832153	0.00048216007714561236	5157	6222
P42	50	235	0.6	0.09787234042553192	low	0.10314798355102539	0.45354645354645357	146	1001
