sample	n_cells	n_malignant	malignant_cldn4	cldn4_arm	frac_tnk
P1	5317	3286	1.2062486410140991	low	0.02764716945646041
P2	306	120	1.9771252870559692	high	0.0032679738562091504
P3	7835	6808	0.9790173768997192	low	0.002169751116783663
P4	4558	99	0.37932005524635315	low	0.06669591926283458
P5	2454	23	0.7294541001319885	low	0.014669926650366748
P6	3119	1439	1.9742186069488525	high	0.028214171208720745
P7	3059	128	0.5325690507888794	low	0.34651847008826414
P8	1342	129	2.2132463455200195	high	0.04918032786885246
P9	3520	358	1.6414695978164673	high	0.017613636363636363
P10	3740	2459	1.10429048538208	low	0.01871657754010695
P11	574	104	0.03538918122649193	low	0.08013937282229965
P12	891	1		unscored	0.051627384960718295
P13	938	122	1.7487804889678955	high	0.09594882729211088
P14	1808	572	0.43161943554878235	low	0.017146017699115043
P15	3606	2017	1.2946597337722778	high	0.004714364947310039
P16	1148	872	1.7255853414535522	high	0.0
P17	8700	5972	0.7044427394866943	low	0.0
P18	3314	1559	1.2173537015914917	low	0.026554013277006638
P19	453	72	1.812164545059204	high	0.10596026490066225
P20	429	231	2.183753252029419	high	0.0
P21	1968	1080	1.4101277589797974	high	0.006097560975609756
P22	644	46	1.781869649887085	high	0.358695652173913
P23	2387	1388	0.658175528049469	low	0.013405948889819858
P24	386	79	1.007836103439331	low	0.16580310880829016
P25	4029	3108	1.156801700592041	low	0.0004964010920824026
P26	570	63	1.6699109077453613	high	0.14385964912280702
P27	707	33	1.4928152561187744	high	0.12305516265912306
P28	2373	356	1.6435954570770264	high	0.0269700800674252
P29	969	320	0.8770560026168823	low	0.0010319917440660474
P30	742	541	0.9143273830413818	low	0.005390835579514825
P31	387	329	1.4403133392333984	high	0.0103359173126615
P32	595	132	2.774290084838867	high	0.13277310924369748
P33	350	86	2.2222509384155273	high	0.0
P34	972	403	1.0129364728927612	low	0.01440329218106996
P35	1079	1		unscored	0.013901760889712697
P36	500	153	0.8154506087303162	low	0.006
P37	2486	12	0.0855594202876091	low	0.01729686242960579
P38	1358	46	1.232067584991455	high	0.11045655375552282
P39	1896	1		unscored	0.11972573839662447
P40	1155	73	1.6507854461669922	high	0.3229437229437229
P41	6222	5157	1.3796054124832153	high	0.00048216007714561236
P42	1001	146	0.10314798355102539	low	0.45354645354645357
