feature	method	alpha	size	covariate	immune	eligible	n_negative	n_strata	meta_rho	meta_p	meta_i2	meta_model	meta_n	meta_k	meta_ci_low	meta_ci_high	geo_rho	geo_p	geo_i2	geo_model	geo_n	abs_meta	abs_geo
signature	z-mean		5	none	immune8	True	5	5	-0.2820016508290057	0.004211238226220574	0.7091710860570538	DL random	420	4	-0.452915922433111	-0.09109476746892003	-0.23826443115093054	0.05387510074845582	0.6457262307612269	DL random	251	0.2820016508290057	0.23826443115093054
signature	z-mean		6	none	immune8	True	5	5	-0.30829411226019765	0.0039187308372293506	0.7560779076315427	DL random	420	4	-0.489325020569008	-0.10179225940642206	-0.23934584604074416	0.032708637787290974	0.5738328308533752	DL random	251	0.30829411226019765	0.23934584604074416
signature	z-mean		7	none	immune8	True	5	5	-0.3395476123819481	0.000461856888959891	0.7073462685363915	DL random	420	4	-0.5016228679708076	-0.15444402015052114	-0.2711982683762668	0.006486077233661022	0.478192280683896	DL random	251	0.3395476123819481	0.2711982683762668
signature	z-mean		8	none	immune8	True	5	5	-0.3714506973678423	0.00032541901136841605	0.747170659515532	DL random	420	4	-0.5390642623774894	-0.17553721915570658	-0.32060124566929415	0.007627723884106224	0.6377024968547192	DL random	251	0.3714506973678423	0.32060124566929415
signature	z-mean		9	none	immune8	True	5	5	-0.3918367072304343	8.290554679086533e-05	0.730519600334914	DL random	420	4	-0.551208214797514	-0.20487983430672163	-0.36565197718363973	0.006171924945866228	0.7113798243945808	DL random	251	0.3918367072304343	0.36565197718363973
signature	z-mean		10	none	immune8	True	5	5	-0.39425748703608055	3.824841469424866e-05	0.7088542583652274	DL random	420	4	-0.5477989230447502	-0.21502228171003965	-0.34700977007490247	0.0020264693782974788	0.5940673887414467	DL random	251	0.39425748703608055	0.34700977007490247
signature	z-mean		11	none	immune8	True	5	5	-0.38970584868995684	0.00010415037248872224	0.7348580422255291	DL random	420	4	-0.5506116072406373	-0.2008784124286502	-0.32218355737775883	0.0016497994457105908	0.5123510487395181	DL random	251	0.38970584868995684	0.32218355737775883
signature	z-mean		12	none	immune8	True	5	5	-0.3992812562418192	0.00028108123237418915	0.7808042583127521	DL random	420	4	-0.5723025332424583	-0.19222545959048573	-0.3449227960667824	0.005555123103495917	0.6649348243948697	DL random	251	0.3992812562418192	0.3449227960667824
signature	z-mean		13	none	immune8	True	5	5	-0.3958567276086187	8.235318164199236e-05	0.7364702107638262	DL random	420	4	-0.5560919583381935	-0.20724844833462494	-0.3198173261994459	0.0007324899367087048	0.4404894563072523	DL random	251	0.3958567276086187	0.3198173261994459
signature	z-mean		14	none	immune8	True	5	5	-0.40127956812418447	9.090980327543233e-05	0.7476452268289779	DL random	420	4	-0.5636048309549635	-0.20911508984465577	-0.3174893613247077	0.0004134526957161175	0.38914527528015513	DL random	251	0.40127956812418447	0.3174893613247077
signature	z-mean		15	none	immune8	True	5	5	-0.39935303827161117	0.00012804951368443335	0.7558038425254914	DL random	420	4	-0.5644042501716023	-0.20359971270562446	-0.30169800914128675	0.00013474323052015274	0.2511042481716447	DL random	251	0.39935303827161117	0.30169800914128675
signature	z-mean		16	none	immune8	True	5	5	-0.4015559615555669	8.270963311770569e-05	0.7450556733594506	DL random	420	4	-0.5631014837875454	-0.21044997092939396	-0.3044157542185602	7.417393290243976e-05	0.22138433958768824	DL random	251	0.4015559615555669	0.3044157542185602
signature	z-mean		17	none	immune8	True	5	5	-0.3877910525742714	0.0001469240824444155	0.7435972748533654	DL random	420	4	-0.5514509860635345	-0.19538609687060995	-0.28950851731343363	0.00016346379947516495	0.2175934576859217	DL random	251	0.3877910525742714	0.28950851731343363
signature	z-mean		18	none	immune8	True	5	5	-0.4003490289261636	0.00012036937380083147	0.7552266512696921	DL random	420	4	-0.5650409670145834	-0.20497599223793017	-0.32639535402656417	0.0011377040637632861	0.4951207113252881	DL random	251	0.4003490289261636	0.32639535402656417
signature	z-mean		19	none	immune8	True	5	5	-0.39025628185688344	0.00017704116397215802	0.753515543437417	DL random	420	4	-0.5563334342152001	-0.19419923960574229	-0.3137991544176968	0.0013760678763130132	0.4720116825532385	DL random	251	0.39025628185688344	0.3137991544176968
signature	z-mean		20	none	immune8	True	5	5	-0.38560126989647653	0.00014276903872505788	0.7393020226947978	DL random	420	4	-0.5484538911326069	-0.19456551493290597	-0.3160394365385562	0.0017395895717794265	0.49845532586480507	DL random	251	0.38560126989647653	0.3160394365385562
signature	z-mean		21	none	immune8	True	5	5	-0.3982221959291833	6.791239881558219e-05	0.733818063692893	DL random	420	4	-0.5573209869402378	-0.21091607710795326	-0.324899656521008	0.0006869251467781949	0.4516495663422905	DL random	251	0.3982221959291833	0.324899656521008
signature	z-mean		22	none	immune8	True	5	5	-0.39396989747886446	6.26872918160811e-05	0.7246176644570744	DL random	420	4	-0.5514356446317977	-0.20939585815499254	-0.3085381929985271	0.00022548143849970302	0.31298593868482927	DL random	251	0.39396989747886446	0.3085381929985271
signature	z-mean		23	none	immune8	True	5	5	-0.3864729133075234	0.0002686774689355499	0.7622910681095993	DL random	420	4	-0.5559265467275158	-0.18617864306712267	-0.2953662078682462	0.0007467812363739703	0.3578604445919356	DL random	251	0.3864729133075234	0.2953662078682462
signature	z-mean		24	none	immune8	True	5	5	-0.4046800132325181	0.00016298824771220752	0.7706032025301324	DL random	420	4	-0.5732571301065698	-0.20323526057105318	-0.318255883170765	0.0005809548388174959	0.4175040979961622	DL random	251	0.4046800132325181	0.318255883170765
signature	z-mean		25	none	immune8	True	5	5	-0.4110965370325568	7.007680851857754e-05	0.7534636768690555	DL random	420	4	-0.5732248671681169	-0.21799232869055513	-0.3276669598609973	0.00029682262102599243	0.39881058812685793	DL random	251	0.4110965370325568	0.3276669598609973
signature	z-mean		26	none	immune8	True	5	5	-0.4072619381510261	3.08046172405074e-05	0.7228983748667828	DL random	420	4	-0.5619293382324442	-0.2250794075228381	-0.32027634194872306	7.760611910444509e-05	0.2825221753853678	DL random	251	0.4072619381510261	0.32027634194872306
signature	z-mean		27	none	immune8	True	5	5	-0.4191027973287599	3.7939720382054512e-06	0.680359636823869	DL random	420	4	-0.5621499466591334	-0.2517078974593088	-0.3348825292069232	7.096850486144531e-06	0.19701037182950232	DL random	251	0.4191027973287599	0.3348825292069232
signature	z-mean		28	none	immune8	True	5	5	-0.42110736118417613	1.972080699925564e-06	0.6653107704356899	DL random	420	4	-0.5608530620270121	-0.25803097806426345	-0.34222388552445643	8.819434221709846e-06	0.23353198345642803	DL random	251	0.42110736118417613	0.34222388552445643
signature	z-mean		29	none	immune8	True	5	5	-0.4237247707192027	1.8209024585021663e-06	0.6677564435398063	DL random	420	4	-0.563500437644622	-0.26036403740667174	-0.3410067047055103	3.571608270765218e-06	0.1841607256406017	DL random	251	0.4237247707192027	0.3410067047055103
signature	z-mean		30	none	immune8	True	5	5	-0.4304302726800605	1.663023403837006e-06	0.6769859194771808	DL random	420	4	-0.5708600730629197	-0.26553281088652375	-0.3558669147197575	1.3619191641660241e-05	0.3018513669165406	DL random	251	0.4304302726800605	0.3558669147197575
signature	z-mean		31	none	immune8	True	5	5	-0.4298111487992453	5.248805417679626e-07	0.6448732641033649	DL random	420	4	-0.5643820532603094	-0.27298813180598097	-0.3512834857759114	1.5152442708551185e-06	0.1792237861296965	DL random	251	0.4298111487992453	0.3512834857759114
signature	z-mean		32	none	immune8	True	5	5	-0.431078891619547	1.7743049971039571e-06	0.6798374388007974	DL random	420	4	-0.571961995980585	-0.2654925042568979	-0.3403217786105809	3.155249483979903e-07	0.07702780565490136	DL random	251	0.431078891619547	0.3403217786105809
signature	z-mean		33	none	immune8	True	5	5	-0.4355187490834029	9.01350603942504e-07	0.6694900855419923	DL random	420	4	-0.5736197989406905	-0.27334296850336737	-0.345514889594734	1.0875367162418543e-07	0.05473229601040982	DL random	251	0.4355187490834029	0.345514889594734
signature	z-mean		34	none	immune8	True	5	5	-0.4269857494617976	4.686836327304928e-07	0.6364799787914939	DL random	420	4	-0.5605669906679334	-0.2717472643168755	-0.338565304082401	4.177829847631463e-08	0.0	fixed	251	0.4269857494617976	0.338565304082401
signature	z-mean		35	none	immune8	True	5	5	-0.41846977557751397	7.238302153628472e-07	0.6320239100386319	DL random	420	4	-0.5526523895064911	-0.2631399666706078	-0.33080131454355166	8.935040224030687e-08	0.0	fixed	251	0.41846977557751397	0.33080131454355166
signature	z-mean		36	none	immune8	True	5	5	-0.4213558217665155	3.956074982272331e-07	0.620806410833766	DL random	420	4	-0.5532196002485386	-0.26889261539691645	-0.33434307439622035	6.334301242915449e-08	0.0	fixed	251	0.4213558217665155	0.33434307439622035
signature	z-mean		37	none	immune8	True	5	5	-0.4264498182496936	8.774224863611362e-08	0.5902966318050147	DL random	420	4	-0.5528144828324622	-0.2809131203287948	-0.34339647878311547	2.573716809908129e-08	0.0	fixed	251	0.4264498182496936	0.34339647878311547
signature	z-mean		38	none	immune8	True	5	5	-0.42111181973900175	1.215700135462035e-07	0.5877345800908006	DL random	420	4	-0.5479027738264355	-0.27540768157459666	-0.3382437371912327	4.313388555054266e-08	0.0	fixed	251	0.42111181973900175	0.3382437371912327
signature	z-mean		39	none	immune8	True	5	5	-0.4306642878811018	9.016063864728968e-08	0.599825899792429	DL random	420	4	-0.5578006007833239	-0.2837807838414243	-0.34788345595322856	1.6281671005129745e-08	0.0	fixed	251	0.4306642878811018	0.34788345595322856
signature	z-mean		40	none	immune8	True	5	5	-0.4348560526128146	3.153383396781504e-08	0.5814611654536436	DL random	420	4	-0.5586746632233943	-0.29207649327618723	-0.35447541847589437	8.192281671505853e-09	0.0	fixed	251	0.4348560526128146	0.35447541847589437
signature	z-mean		41	none	immune8	True	5	5	-0.4297271703008422	4.278973783771466e-08	0.5783460661550439	DL random	420	4	-0.5538791089672014	-0.2868809283928683	-0.3491380660433867	1.4305153173103546e-08	0.0	fixed	251	0.4297271703008422	0.3491380660433867
signature	z-mean		42	none	immune8	True	5	5	-0.4361884989147456	1.6701318410845452e-07	0.626880918807209	DL random	420	4	-0.5666842229732816	-0.2843450743099065	-0.3503211414384453	1.2654586987314246e-08	0.0	fixed	251	0.4361884989147456	0.3503211414384453
