which	cohort	n	rho	p	ci_low	ci_high
signature	OncoSG	169	-0.6264330940608429	1.7725435502000365e-19	-0.7109192318103904	-0.5241230038380146
signature	GSE273377 discovery	103	-0.5632427899351882	1.0584818175294025e-09	-0.683990314530853	-0.41245502012711427
signature	GSE273377 validation	60	-0.475587550009758	0.00018493824407840752	-0.6549873799468914	-0.24543485129910445
signature	GSE282774	58	-0.5994754144299883	1.3241668861540115e-06	-0.7461116418018762	-0.3973766801417438
signature	GSE233774 tumor	30	-0.5778361688264364	0.0015967764760371288	-0.7853896983555796	-0.25348360724070074
tacstd2	OncoSG	169	-0.3854551998940973	2.9239331573542555e-07	-0.5079531897232994	-0.24767549564658436
tacstd2	GSE273377 discovery	103	-0.011128308669111691	0.9124986981832384	-0.20709376051086448	0.18569570294818263
tacstd2	GSE273377 validation	60	-0.35064705234336324	0.007491590413423424	-0.5600449266896252	-0.09913730167967896
tacstd2	GSE282774	58	-0.18428452855906344	0.17802294718389183	-0.42862610544790275	0.08517696544327806
tacstd2	GSE233774 tumor	30	-0.39780349800016546	0.0398863339120753	-0.6756750661867774	-0.02095773087213985
signature_plus_tacstd2	OncoSG	169	-0.6250003364281613	2.2620405122523723e-19	-0.7097526817678442	-0.5224130747636889
signature_plus_tacstd2	GSE273377 discovery	103	-0.4307998146417622	7.6726902671608e-06	-0.5782852349658136	-0.25604765268632435
signature_plus_tacstd2	GSE273377 validation	60	-0.5684572285887192	3.971876889575768e-06	-0.7220706484260884	-0.3614243072897679
signature_plus_tacstd2	GSE282774	58	-0.44949247708781187	0.0005760038265849396	-0.6386332267508862	-0.20913438297991246
signature_plus_tacstd2	GSE233774 tumor	30	-0.5530967024057617	0.0027688132812025788	-0.7710482908375368	-0.2191432433071173
overall	OncoSG	169	-0.6264330940608429	1.7725435502000365e-19	-0.7109192318103904	-0.5241230038380146
overall	GSE273377 discovery	103	-0.5632427899351882	1.0584818175294025e-09	-0.683990314530853	-0.41245502012711427
overall	GSE273377 validation	60	-0.475587550009758	0.00018493824407840752	-0.6549873799468914	-0.24543485129910445
overall	GSE282774	58	-0.5994754144299883	1.3241668861540115e-06	-0.7461116418018762	-0.3973766801417438
overall	GSE233774 tumor	30	-0.5778361688264364	0.0015967764760371288	-0.7853896983555796	-0.25348360724070074
