cohort	method	size	endpoint	observed	expected	abs_diff	ok
OncoSG	z-mean	221	CD8A	-0.5779846849982597	-0.5779846849982597	0.0	True
OncoSG	z-mean	221	immune8	-0.6145964894833673	-0.615	0.0004035105166326769	True
OncoSG	ssGSEA α=0.75	163	immune8	-0.599612152553329	-0.6	0.0003878474466709747	True
GSE273377 discovery	ssGSEA α=0.75	163	immune8	-0.5574397047840796	-0.557	0.00043970478407950875	True
GSE273377 validation	ssGSEA α=0.75	163	immune8	-0.48180050013892756	-0.482	0.00019949986107242745	True
GSE282774	ssGSEA α=0.75	163	immune8	-0.6038020240548772	-0.604	0.00019797594512283023	True
GSE233774 tumor	ssGSEA α=0.75	163	immune8	-0.6013348164627365	-0.601	0.0003348164627364758	True
