predictor	expression	filter	adjustment	n	rho	abs_rho	p	ci95_lo	ci95_hi	eligible	q_grid
mut_all	protein	brca_nonsyn_absent	none	74	-0.267929	0.267929	0.0210025	-0.467792	-0.0419969	True	0.067733
tmb	protein	tmb_le_10	none	81	-0.267302	0.267302	0.0158479	-0.458873	-0.0519828	True	0.0571173
tmb	protein	brca_nonsyn_absent	none	74	-0.266136	0.266136	0.0219103	-0.466283	-0.0400704	True	0.069702
mut_nonsyn	protein	brca_nonsyn_absent	none	74	-0.264124	0.264124	0.0229694	-0.464588	-0.0379093	True	0.0705488
tmb	protein	all_paired	purity_krt18_krt19	48	-0.260961	0.260961	0.08337	-0.507472	0.0250354	True	0.152549
tmb	protein	msi_lt_3.5	purity_krt18_krt19	48	-0.260961	0.260961	0.08337	-0.507472	0.0250354	True	0.152549
tmb	protein	tmb_le_10	purity_krt18_krt19	48	-0.260961	0.260961	0.08337	-0.507472	0.0250354	True	0.152549
mut_all	protein	all_paired	purity_krt18_krt19	48	-0.25939	0.25939	0.0853116	-0.50622	0.0267188	True	0.15285
mut_all	protein	msi_lt_3.5	purity_krt18_krt19	48	-0.25939	0.25939	0.0853116	-0.50622	0.0267188	True	0.15285
mut_all	protein	count_le_500	purity_krt18_krt19	48	-0.25939	0.25939	0.0853116	-0.50622	0.0267188	True	0.15285
mut_all	protein	all_paired	krt18_krt19	50	-0.255081	0.255081	0.0801629	-0.498069	0.0250503	True	0.152549
mut_all	protein	msi_lt_3.5	krt18_krt19	50	-0.255081	0.255081	0.0801629	-0.498069	0.0250503	True	0.152549
mut_all	protein	count_le_500	krt18_krt19	50	-0.255081	0.255081	0.0801629	-0.498069	0.0250503	True	0.152549
mut_nonsyn	protein	all_paired	purity_krt18_krt19	48	-0.253353	0.253353	0.0931054	-0.501398	0.0331749	True	0.15559
mut_nonsyn	protein	msi_lt_3.5	purity_krt18_krt19	48	-0.253353	0.253353	0.0931054	-0.501398	0.0331749	True	0.15559
mut_nonsyn	protein	count_le_500	purity_krt18_krt19	48	-0.253353	0.253353	0.0931054	-0.501398	0.0331749	True	0.15559
tmb	protein	all_paired	krt18_krt19	50	-0.253164	0.253164	0.0825384	-0.496527	0.0270983	True	0.152549
