contrast_id	series	species	model	drug	n_treat	n_ctrl	scale	panel_limited	whole_transcriptome	n_genes_ranked	rank_stat	gene_set	n_set_in_list	nes	nominal_p	fdr_q	lead_gene	eligible	in_max_grid
GSE237361_UWB_olaparib_96h	GSE237361	human	UWB1.289 BRCA1-mutant cell, 3.5 uM, 96 h	olaparib	4	4	counts	False	True	13986	log2fc	Interferon Alpha Response	90	2.90433	0	0	CXCL10	True	True
GSE237361_UWB_olaparib_96h	GSE237361	human	UWB1.289 BRCA1-mutant cell, 3.5 uM, 96 h	olaparib	4	4	counts	False	True	13986	log2fc	Interferon Gamma Response	156	2.87007	0	0	CXCL10	False	True
GSE237361_UWB_olaparib_96h	GSE237361	human	UWB1.289 BRCA1-mutant cell, 3.5 uM, 96 h	olaparib	4	4	counts	False	True	13986	welch_t	Interferon Alpha Response	90	3.04603	0	0	CXCL10	True	True
GSE237361_UWB_olaparib_96h	GSE237361	human	UWB1.289 BRCA1-mutant cell, 3.5 uM, 96 h	olaparib	4	4	counts	False	True	13986	welch_t	Interferon Gamma Response	156	3.15969	0	0	CXCL10	False	True
GSE237361_UWB_olaparib_96h	GSE237361	human	UWB1.289 BRCA1-mutant cell, 3.5 uM, 96 h	olaparib	4	4	counts	False	True	13986	s2n	Interferon Alpha Response	90	3.03439	0	0	IFIT2	True	True
GSE237361_UWB_olaparib_96h	GSE237361	human	UWB1.289 BRCA1-mutant cell, 3.5 uM, 96 h	olaparib	4	4	counts	False	True	13986	s2n	Interferon Gamma Response	156	3.10883	0	0	IFIT2	False	True
GSE237361_OVCAR3_olaparib_96h	GSE237361	human	OVCAR3 BRCA1-WT cell, 7.5 uM, 96 h	olaparib	4	4	counts	False	True	14332	log2fc	Interferon Alpha Response	85	2.30448	0	0	IL4R	True	True
GSE237361_OVCAR3_olaparib_96h	GSE237361	human	OVCAR3 BRCA1-WT cell, 7.5 uM, 96 h	olaparib	4	4	counts	False	True	14332	log2fc	Interferon Gamma Response	154	2.32585	0	0	TNFAIP3	False	True
GSE237361_OVCAR3_olaparib_96h	GSE237361	human	OVCAR3 BRCA1-WT cell, 7.5 uM, 96 h	olaparib	4	4	counts	False	True	14332	welch_t	Interferon Alpha Response	85	2.29936	0	0	CD74	True	True
GSE237361_OVCAR3_olaparib_96h	GSE237361	human	OVCAR3 BRCA1-WT cell, 7.5 uM, 96 h	olaparib	4	4	counts	False	True	14332	welch_t	Interferon Gamma Response	154	2.37254	0	0	NFKBIA	False	True
GSE237361_OVCAR3_olaparib_96h	GSE237361	human	OVCAR3 BRCA1-WT cell, 7.5 uM, 96 h	olaparib	4	4	counts	False	True	14332	s2n	Interferon Alpha Response	85	2.26873	0	0	CD74	True	True
GSE237361_OVCAR3_olaparib_96h	GSE237361	human	OVCAR3 BRCA1-WT cell, 7.5 uM, 96 h	olaparib	4	4	counts	False	True	14332	s2n	Interferon Gamma Response	154	2.36524	0	0	NFKBIA	False	True
