gene	class	n_sections	median_detect_pct	median_mean_count
TACSTD2	adjacent_nontumor	16	19.305684282468732	0.284868315372635
TACSTD2	healthy_donor	4	39.53197257732895	0.7399600056796667
TACSTD2	tumor	20	48.17084942084942	2.559323646491457
CLDN4	adjacent_nontumor	16	14.752943411243212	0.23581001016180875
CLDN4	healthy_donor	4	17.279372584403774	0.22348661120268273
CLDN4	tumor	20	47.929390318163016	1.616248951066274
