cohort	gene	n_tumor	n_observed	n_NA	pct_NA	min	median	max
LSCC	TACSTD2	108	108	0	0.0	24.7263245301587	26.86571246167705	28.783787445002
LSCC	CLDN4	108	78	30	27.77777777777778	21.5292435671238	23.34019422656705	24.7252071327146
LUAD	TACSTD2	110	110	0	0.0	25.2510764671596	26.533548728417998	28.1376722108752
LUAD	CLDN4	110	79	31	28.181818181818183	21.4349671016967	23.0710721901358	24.9609243822922
