section	x	y	n_spots	spearman_rho	p	fdr_bh
P10_T1	TACSTD2	CD8A	2200	0.0788430139520332	0.00021413712283099373	0.0007214773830767328
P10_T1	TACSTD2	CD4	2200	0.14846311351296607	2.5891042828891785e-12	2.5773356270578644e-11
P10_T1	TACSTD2	CD3E	2200	0.04806319426330927	0.024171939881099908	0.050656984057041915
P10_T1	TACSTD2	PTPRC	2200	0.1049172226940801	8.144463015813174e-07	4.404042964106383e-06
P10_T1	TACSTD2	CD68	2200	0.2548772444138306	5.792927025361072e-34	1.4925306100636175e-32
P10_T1	TACSTD2	CD274	2200	0.13253374961298156	4.364613272270723e-10	3.540186320841809e-09
P10_T1	TACSTD2	GZMB	2200	0.10131909888106294	1.9183184016238072e-06	9.770040231525903e-06
P10_T1	TACSTD2	PRF1	2200	0.4481464822177185	3.7668501029371963e-109	4.12470086271623e-107
P10_T1	TACSTD2	MS4A1	2200	0.010694099642857592	0.6161410089238843	0.7064392467509524
P10_T1	TACSTD2	FOXP3	2200	0.04152178175588633	0.05150152192221745	0.0928299037116512
P10_T1	TACSTD2	NCAM1	2200	0.0035480920495607406	0.8679002403606909	0.8986768446288006
P10_T1	CLDN4	CD8A	2200	0.08790546211040945	3.646886011686017e-05	0.00014390415073139417
P10_T1	CLDN4	CD4	2200	0.1685066628614495	1.7750982897828843e-15	1.9437326273122583e-14
P10_T1	CLDN4	CD3E	2200	0.0467092558961036	0.02846562235390573	0.05719239720647115
P10_T1	CLDN4	PTPRC	2200	0.07714008433564172	0.0002928641429670232	0.0009501814416263419
P10_T1	CLDN4	CD68	2200	0.2508789256195996	6.32082994843899e-33	1.4571176407454093e-31
P10_T1	CLDN4	CD274	2200	0.13212156006974196	4.945731354408955e-10	3.938600605874768e-09
P10_T1	CLDN4	GZMB	2200	0.0945601714068574	8.883610990693885e-06	4.0113624885813626e-05
P10_T1	CLDN4	PRF1	2200	0.46348484110146576	1.3689909268648703e-117	5.996180259668132e-115
P10_T1	CLDN4	MS4A1	2200	0.012504891472888295	0.5577270275464932	0.6496926544291597
P10_T1	CLDN4	FOXP3	2200	0.04886839794500268	0.02189422790090728	0.04632691700771686
P10_T1	CLDN4	NCAM1	2200	0.01224942403788536	0.565802749264293	0.6573517352195234
P10_T2	TACSTD2	CD8A	1986	0.05507695881900262	0.014096358303516814	0.03118285321687053
P10_T2	TACSTD2	CD4	1986	0.14343832726988956	1.3496196540058716e-10	1.2063947111317792e-09
P10_T2	TACSTD2	CD3E	1986	0.04487922459933248	0.04552496561880005	0.0830830622543101
P10_T2	TACSTD2	PTPRC	1986	0.09860121780491682	1.0721611414477481e-05	4.74350080761731e-05
P10_T2	TACSTD2	CD68	1986	0.22963132096239175	3.5480190191649327e-25	6.756662306061916e-24
P10_T2	TACSTD2	CD274	1986	0.0772626750125542	0.0005686104130283898	0.0017538828232847518
P10_T2	TACSTD2	GZMB	1986	0.07855152261876952	0.00045862659402195414	0.0014348460584401137
P10_T2	TACSTD2	PRF1	1986	0.45820887359308693	1.1525067501100102e-103	7.211399379259778e-102
P10_T2	TACSTD2	MS4A1	1986	-0.010706083826032869	0.6334866034398936	0.7151214750171995
P10_T2	TACSTD2	FOXP3	1986	0.10800148579724987	1.406193955511619e-06	7.246034735459873e-06
P10_T2	TACSTD2	NCAM1	1986	0.014180042660240262	0.5276736092471235	0.6212931205651615
P10_T2	CLDN4	CD8A	1986	0.03044451085648909	0.1750335091534492	0.2680583112210166
