cohort	x	y	n	spearman_rho	p	fdr_bh
LSCC	TACSTD2	ESTIMATE_ImmuneScore	108	-0.07111758933760134	0.46453335458088507	0.6193778061078468
LSCC	TACSTD2	ESTIMATE_StromalScore	108	-0.25072641877923535	0.008864092451895463	0.040521565494379255
LSCC	TACSTD2	xCell_immune_score	108	-0.1334324120914192	0.16860521848316948	0.31737452890949547
LSCC	TACSTD2	xCell_T_cell_CD8+	108	-0.07950341046898066	0.4134112267807988	0.601325420772071
LSCC	TACSTD2	xCell_T_cell_CD4+_(non-regulatory)	108	-0.19010699798104594	0.04876145217222749	0.12240950263656952
LSCC	TACSTD2	xCell_T_cell_regulatory_(Tregs)	108	-0.11234204071763466	0.24703700803348583	0.38688056061736603
LSCC	TACSTD2	xCell_Macrophage_M1	108	-0.138300608762754	0.15346258496093282	0.30692516992186564
LSCC	TACSTD2	xCell_Macrophage_M2	108	-0.2285213401558993	0.01736924737216637	0.061757323989924874
LSCC	TACSTD2	xCell_NK_cell	108	0.1446291859159439	0.13533123389940352	0.2887066323187275
LSCC	TACSTD2	CIBERSORT_T_cell_CD8+	108	-0.05462205889023202	0.5744817799829671	0.6808672947946277
LSCC	TACSTD2	CIBERSORT_T_cell_CD4+_memory_activated	108	-0.040416666533109775	0.6779189098323503	0.7231135038211736
LSCC	TACSTD2	CIBERSORT_T_cell_regulatory_(Tregs)	108	0.12309383752548873	0.20437826009718885	0.3531197453559464
LSCC	TACSTD2	CIBERSORT_Macrophage_M1	108	-0.07517618674506336	0.4393696283696448	0.6112968742534189
LSCC	TACSTD2	CIBERSORT_Macrophage_M2	108	-0.2816218430554364	0.003150583408278842	0.01680311151082049
LSCC	TACSTD2	CIBERSORT_NK_cell_activated	108	-0.04454931950701955	0.6470887260706165	0.7140289391124044
LSCC	TACSTD2	CIBERSORT_B_cell_plasma	108	0.03473472615202874	0.7211807193198616	0.7444446134914701
LSCC	CLDN4	ESTIMATE_ImmuneScore	78	-0.43185927996054574	7.882580232023335e-05	0.0025224256742474673
LSCC	CLDN4	ESTIMATE_StromalScore	78	-0.41137343668989235	0.00018286512705420498	0.0029258420328672798
LSCC	CLDN4	xCell_immune_score	78	-0.3995877540181338	0.0002897362838075348	0.0030905203606137045
LSCC	CLDN4	xCell_T_cell_CD8+	78	-0.38694856874235994	0.0004658835719110316	0.003727068575288253
LSCC	CLDN4	xCell_T_cell_CD4+_(non-regulatory)	78	-0.14362382669067308	0.2096648488050932	0.3531197453559464
LSCC	CLDN4	xCell_T_cell_regulatory_(Tregs)	78	-0.06457277145135443	0.5743404915539682	0.6808672947946277
LSCC	CLDN4	xCell_Macrophage_M1	78	-0.22297955209347614	0.04972886044610637	0.12240950263656952
LSCC	CLDN4	xCell_Macrophage_M2	78	-0.25611807613550935	0.023614246139506197	0.07556558764641982
LSCC	CLDN4	xCell_NK_cell	78	-0.268749937431244	0.017351986061813936	0.061757323989924874
LSCC	CLDN4	CIBERSORT_T_cell_CD8+	78	-0.2347905259297664	0.0385315095625223	0.11209166418188304
LSCC	CLDN4	CIBERSORT_T_cell_CD4+_memory_activated	78	-0.2100437142974955	0.06492789263540671	0.14840661173807249
LSCC	CLDN4	CIBERSORT_T_cell_regulatory_(Tregs)	78	-0.06019130808972219	0.6006349683773372	0.686439963859814
LSCC	CLDN4	CIBERSORT_Macrophage_M1	78	-0.3660010875200748	0.0009828778420745584	0.006290418189277174
LSCC	CLDN4	CIBERSORT_Macrophage_M2	78	-0.06465686212521654	0.5738411049995331	0.6808672947946277
LSCC	CLDN4	CIBERSORT_NK_cell_activated	78	0.009205131890681449	0.936247880315877	0.936247880315877
LSCC	CLDN4	CIBERSORT_B_cell_plasma	78	-0.13074267504647252	0.25389036790514646	0.38688056061736603
LSCC	TACSTD2	prot_CD8A	108	-0.10335629293015898	0.28711792033709344	0.47852986722848906
LSCC	TACSTD2	prot_CD4	108	-0.1695104175598045	0.07946115946409697	0.17658035436465994
LSCC	TACSTD2	prot_CD3E	108	-0.11198757704802462	0.24854090730073597	0.45189255872861084
LSCC	TACSTD2	prot_PTPRC	108	0.002962835938914135	0.9757221482054169	0.9777512655284717
LSCC	TACSTD2	prot_CD274	108	0.028980536740118322	0.7659072626215266	0.8951424406092394
LSCC	TACSTD2	prot_GZMB	103	0.12419276896718358	0.21134276166743526	0.4226855233348705
LSCC	TACSTD2	prot_PRF1	108	0.054931549915687786	0.5723123101795962	0.7630830802394616
LSCC	TACSTD2	prot_CD68	108	-0.0027151390436994482	0.9777512655284717	0.9777512655284717
LSCC	TACSTD2	prot_MS4A1	108	-0.04634789981613269	0.6338514704288463	0.7923143380360578
LSCC	TACSTD2	prot_NCAM1	108	-0.08282603103832632	0.3941014099738146	0.5630020142483066
LSCC	CLDN4	prot_CD8A	78	-0.4441002035938745	4.64372740784413e-05	0.0002321863703922065
LSCC	CLDN4	prot_CD4	78	-0.4955930145803563	3.961522998717781e-06	3.128291515379131e-05
