n	n_high	n_low	U	p	median_high	median_low	cohort	gene	immune_score
108	54	54	1367.0	0.5781606149312934	8000.262500000001	8394.199499999999	LSCC	TACSTD2	ESTIMATE_ImmuneScore
108	54	54	1285.0	0.2891814106862073	0.1163159304	0.14994245	LSCC	TACSTD2	xCell_immune_score
108	54	54	1501.0	0.7939844630760023	0.1542586405	0.143603975	LSCC	TACSTD2	CIBERSORT_T_cell_CD8+
78	39	39	512.0	0.013198840408122619	7693.499	8672.287	LSCC	CLDN4	ESTIMATE_ImmuneScore
78	39	39	542.0	0.029364579834691845	0.08624878	0.1454767	LSCC	CLDN4	xCell_immune_score
78	39	39	610.0	0.13387175476147398	0.12717188	0.147718176	LSCC	CLDN4	CIBERSORT_T_cell_CD8+
110	55	55	1113.0	0.017066133378099743	7861.555	8711.774	LUAD	TACSTD2	ESTIMATE_ImmuneScore
110	55	55	985.0	0.0016300107096104822	0.06076322	0.1047151	LUAD	TACSTD2	xCell_immune_score
110	55	55	1293.0	0.1904619547030454	0.12200685	0.145297079	LUAD	TACSTD2	CIBERSORT_T_cell_CD8+
79	39	40	585.0	0.056490886080451795	7885.714	8680.8305	LUAD	CLDN4	ESTIMATE_ImmuneScore
79	39	40	566.0	0.03630100019623057	0.07752763	0.1111651	LUAD	CLDN4	xCell_immune_score
79	39	40	740.0	0.6985123873504537	0.1348872	0.149637307	LUAD	CLDN4	CIBERSORT_T_cell_CD8+
