cell_type	x	y	n	spearman_rho_cpm	p	normalization	fdr_bh
CD45	TACSTD2	CD8A	175	0.8468350265459221	2.6052011647274702e-49	count_per_million_aligned	6.877731074880521e-49
CD45	TACSTD2	CD4	175	0.7614408947998865	2.1306634798997866e-34	count_per_million_aligned	3.5155947418346477e-34
CD45	TACSTD2	CD3E	175	0.8496260133470688	6.029895521223785e-50	count_per_million_aligned	1.6582212683365408e-49
CD45	TACSTD2	PTPRC	175	0.7615976540397619	2.028041782198937e-34	count_per_million_aligned	3.4320707083366623e-34
CD45	TACSTD2	CD68	175	0.7170759027281579	6.355518415545238e-29	count_per_million_aligned	1.0230834522585017e-28
CD45	TACSTD2	CD274	175	0.8956120623576345	9.292668447713486e-63	count_per_million_aligned	8.761658822129858e-62
CD45	TACSTD2	GZMB	175	0.7943927073870488	2.6455131249689752e-39	count_per_million_aligned	5.1354078308221286e-39
CD45	TACSTD2	PRF1	175	0.8450854993376729	6.4238018533522556e-49	count_per_million_aligned	1.630657393543265e-48
CD45	TACSTD2	MS4A1	175	0.826393291554289	5.1804514978253775e-45	count_per_million_aligned	1.139699329521583e-44
CD45	TACSTD2	FOXP3	175	0.8449800583511237	6.780459716946437e-49	count_per_million_aligned	1.6574457085869067e-48
CD45	TACSTD2	NCAM1	175	0.8381221111965924	2.0943086193638735e-47	count_per_million_aligned	4.936584602786273e-47
CD45	CLDN4	CD8A	175	0.8377201578742611	2.547969643459653e-47	count_per_million_aligned	5.798827464425417e-47
CD45	CLDN4	CD4	175	0.8108905170946679	4.124961993776307e-42	count_per_million_aligned	8.782177148039879e-42
CD45	CLDN4	CD3E	175	0.8035408778077677	7.922702660368743e-41	count_per_million_aligned	1.6340574237010533e-40
CD45	CLDN4	PTPRC	175	0.783686361148456	1.289462669820216e-37	count_per_million_aligned	2.364014894670396e-37
CD45	CLDN4	CD68	175	0.7165150332526016	7.338525254234544e-29	count_per_million_aligned	1.1531968256654282e-28
CD45	CLDN4	CD274	175	0.8889607934072857	1.444573001208223e-60	count_per_million_aligned	9.534181807974271e-60
CD45	CLDN4	GZMB	175	0.780777569892095	3.5684156286587412e-37	count_per_million_aligned	6.365281932202079e-37
CD45	CLDN4	PRF1	175	0.8583543079279491	5.086851403011335e-52	count_per_million_aligned	1.5987247266607053e-51
CD45	CLDN4	MS4A1	175	0.7950579052664385	2.0622500280025403e-39	count_per_million_aligned	4.124500056005081e-39
CD45	CLDN4	FOXP3	175	0.8635629752608868	2.520893168602563e-53	count_per_million_aligned	8.318947456388458e-53
CD45	CLDN4	NCAM1	175	0.8527322032897359	1.1420061951595133e-50	count_per_million_aligned	3.277061255675125e-50
CD68	TACSTD2	CD8A	192	0.9115655254885345	2.90248458514589e-75	count_per_million_aligned	9.578199130981438e-74
CD68	TACSTD2	CD4	192	0.751721644420581	3.4086832038825096e-36	count_per_million_aligned	5.9203445120064634e-36
CD68	TACSTD2	CD3E	192	0.8777704919346475	1.246533979459379e-62	count_per_million_aligned	1.0283905330539876e-61
CD68	TACSTD2	PTPRC	192	0.8530904402169133	1.4128256763692412e-55	count_per_million_aligned	5.48508792002176e-55
CD68	TACSTD2	CD68	192	0.5611767917309829	2.5325685776824263e-17	count_per_million_aligned	3.2144139639815414e-17
CD68	TACSTD2	CD274	192	0.9059141881721116	7.925423447892932e-73	count_per_million_aligned	1.7435931585364451e-71
CD68	TACSTD2	GZMB	192	0.858263821643589	6.073436758799432e-57	count_per_million_aligned	2.863191614862589e-56
CD68	TACSTD2	PRF1	192	0.9033711829903484	8.820267733569662e-72	count_per_million_aligned	1.4553441760389942e-70
CD68	TACSTD2	MS4A1	192	0.8839849648770041	1.191595418830379e-64	count_per_million_aligned	1.3107549607134168e-63
CD68	TACSTD2	FOXP3	192	0.9182318812287086	2.3426380900519205e-78	count_per_million_aligned	1.5461411394342673e-76
CD68	TACSTD2	NCAM1	192	0.891946835801357	2.055811074506777e-67	count_per_million_aligned	2.7136706183489456e-66
CD68	CLDN4	CD8A	192	0.8644514439362992	1.190849791576116e-58	count_per_million_aligned	6.0458527880018195e-58
CD68	CLDN4	CD4	192	0.7638716339050533	5.5056620201729e-38	count_per_million_aligned	1.0382105523754612e-37
CD68	CLDN4	CD3E	192	0.8542667453292837	6.982287171736085e-56	count_per_million_aligned	2.880193458341135e-55
CD68	CLDN4	PTPRC	192	0.8340134307105259	5.888478451637103e-51	count_per_million_aligned	1.766543535491131e-50
CD68	CLDN4	CD68	192	0.5820020328787774	8.491255180649388e-19	count_per_million_aligned	1.21831052591926e-18
CD68	CLDN4	CD274	192	0.8571042242326706	1.2428918873943245e-56	count_per_million_aligned	5.468724304535028e-56
CD68	CLDN4	GZMB	192	0.8442577888534616	2.3241618076307103e-53	count_per_million_aligned	8.073404173875098e-53
