cohort	variable	n_CLDN4_NA	n_CLDN4_obs	median_NA	median_obs	mannwhitney_p
LSCC	ESTIMATE_ImmuneScore	30	78	8096.198	7985.4305	0.4526072517496359
LSCC	xCell_immune_score	30	78	0.14069890000000002	0.12474425	0.1890062240226703
LSCC	CIBERSORT_T_cell_CD8+	30	78	0.1807080406	0.13809649200000002	0.07232005650153697
LSCC	Age	30	78	65.5	67.0	0.5969844837899285
LUAD	ESTIMATE_ImmuneScore	31	79	8115.207	8236.775	0.3030888131071292
LUAD	xCell_immune_score	31	79	0.08406495	0.08586806	0.5543040434852957
LUAD	CIBERSORT_T_cell_CD8+	31	79	0.126343394	0.139896493	0.1861110227487789
LUAD	Age	31	79	62.0	62.0	0.9284635773469119
