set	n_list	n_present	genes
epithelial	6	6	EPCAM,KRT8,KRT18,KRT19,CDH1,KRT7
Ayers_IFNG6	6	6	IFNG,STAT1,CXCL9,CXCL10,IDO1,HLA-DRA
ISG_type1	10	10	ISG15,MX1,OAS1,OAS2,IFIT1,IFIT3,STAT1,IRF7,IFI27,IFI44L
Immune141	141	141	
Stromal141	141	141	
