gene	accession	tumor_mean_rpkm
CD274	NM_014143	5.934137931034481
CD8A	NM_001768	7.526436781609194
CDH1	NM_004360	77.74988505747127
CLDN4	NM_001305	137.1242528735632
CXCL10	NM_001565	24.800229885057476
CXCL9	NM_002416	36.95241379310345
EPCAM	NM_002354	204.98218390804595
HLA-DRA	NM_019111	1245.404942528735
IDO1	NM_002164	18.023448275862066
IFI27	NM_005532	223.03597701149425
IFI44L	NM_006820	12.413103448275862
IFIT1	NM_001548	20.30977011494252
IFIT3	NM_001031683	21.79310344827586
IFNG	NM_000619	0.7555172413793104
IRF7	NM_001572	20.557931034482763
ISG15	NM_005101	66.6089655172414
KRT18	NM_000224	337.2245977011494
KRT19	NM_002276	285.0851724137931
KRT7	NM_005556	198.64517241379315
KRT8	NM_002273	409.70712643678166
MX1	NM_001178046	47.072643678160915
OAS1	NM_016816	27.46816091954023
OAS2	NM_016817	17.614137931034485
STAT1	NM_007315	92.48390804597702
TACSTD2	NM_002353	105.70080459770114
