gene	n_control	n_tolerant	mean_control	mean_tolerant	sd_control	sd_tolerant	log2FC_P_minus_C	welch_t	welch_p	mwu_p	C1	C2	C3	P1	P2	P3
CCL2	3	3	8.4967	11.0533	0.1893	0.1677	2.5567	17.5089	6.922668020058366e-05	0.1	8.28	8.63	8.58	11.16	11.14	10.86
IFI27	3	3	11.8433	13.9133	0.0874	0.1007	2.07	26.8985	1.3492901712766218e-05	0.1	11.82	11.77	11.94	13.9	14.02	13.82
GBP2	3	3	9.7433	11.5333	0.2312	0.0666	1.79	12.8884	0.003228245078623862	0.1	9.77	9.5	9.96	11.49	11.5	11.61
MX2	3	3	6.6433	8.19	0.0231	0.0819	1.5467	31.4984	0.00042158016110043693	0.07652250047505922	6.63	6.67	6.63	8.12	8.28	8.17
IFNGR1	3	3	10.3433	11.8833	0.2369	0.0503	1.54	11.0125	0.005962531478442753	0.1	10.47	10.07	10.49	11.83	11.93	11.89
STAT2	3	3	8.7267	9.9067	0.2627	0.2136	1.18	6.0356	0.004328084256108686	0.1	8.43	8.93	8.82	10.15	9.82	9.75
GBP1	3	3	10.3033	11.3633	0.0416	0.0651	1.06	23.7684	6.663128236118479e-05	0.1	10.35	10.29	10.27	11.36	11.43	11.3
HLA-B	3	3	13.0033	14.0267	0.1537	0.1172	1.0233	9.1693	0.0010738767933114743	0.1	12.9	13.18	12.93	14.16	13.98	13.94
IFI6	3	3	12.74	13.6667	0.0954	0.1242	0.9267	10.2472	0.0007065703385829458	0.1	12.65	12.84	12.73	13.6	13.81	13.59
HLA-C	3	3	11.1833	12.0633	0.3592	0.2663	0.88	3.4085	0.030708976427157732	0.1	10.88	11.58	11.09	12.37	11.89	11.93
IFITM1	3	3	14.11	14.98	0.2352	0.1308	0.87	5.6003	0.010042739894745844	0.1	13.87	14.34	14.12	15.07	15.04	14.83
MX1	3	3	9.2567	10.0233	0.0306	0.2479	0.7667	5.3173	0.03149400125791541	0.1	9.23	9.29	9.25	9.98	10.29	9.8
OAS2	3	3	6.4033	7.0967	0.3786	0.2732	0.6933	2.5722	0.06788543613752109	0.1	6.67	6.57	5.97	6.87	7.4	7.02
IRF9	3	3	9.7933	10.43	0.1739	0.14	0.6367	4.9398	0.008762603936321745	0.1	9.73	9.99	9.66	10.43	10.29	10.57
XAF1	3	3	10.3233	10.9233	0.3721	0.1365	0.6	2.6222	0.09414555708322539	0.1	10.73	10.24	10.0	10.83	10.86	11.08
IFNAR2	3	3	11.1	11.69	0.07	0.0529	0.59	11.6457	0.00046015640269075686	0.1	11.18	11.05	11.07	11.75	11.67	11.65
HLA-A	3	3	14.5167	15.0867	0.0896	0.0306	0.57	10.4261	0.004279318634614653	0.1	14.46	14.62	14.47	15.08	15.12	15.06
HLA-E	3	3	10.9233	11.4933	0.1721	0.0416	0.57	5.5744	0.023859110322814157	0.1	10.85	11.12	10.8	11.48	11.54	11.46
HLA-DPA1	3	3	6.3733	6.9367	0.095	0.2608	0.5633	3.5147	0.051183792605710286	0.1	6.37	6.28	6.47	6.64	7.04	7.13
