x	y	n	spearman_rho	spearman_p	note
TACSTD2	CLDN4	6	-0.7714	0.07239650145772594	n=6; treatment-driven; one-or-two-point fragile
TACSTD2	z_CORE6	6	0.9429	0.004804664723032055	n=6; treatment-driven; one-or-two-point fragile
TACSTD2	z_IFN_ISG	6	0.8286	0.04156268221574335	n=6; treatment-driven; one-or-two-point fragile
TACSTD2	z_MHC_I	6	0.7714	0.07239650145772594	n=6; treatment-driven; one-or-two-point fragile
TACSTD2	z_MHC_APM	6	0.8286	0.04156268221574335	n=6; treatment-driven; one-or-two-point fragile
TACSTD2	z_IFN_MHC	6	1.0	0.0	n=6; treatment-driven; one-or-two-point fragile
CLDN4	z_CORE6	6	-0.7143	0.11078717201166179	n=6; treatment-driven; one-or-two-point fragile
CLDN4	z_IFN_ISG	6	-0.7714	0.07239650145772594	n=6; treatment-driven; one-or-two-point fragile
CLDN4	z_MHC_I	6	-0.8286	0.04156268221574335	n=6; treatment-driven; one-or-two-point fragile
CLDN4	z_MHC_APM	6	-0.9429	0.004804664723032055	n=6; treatment-driven; one-or-two-point fragile
CLDN4	z_IFN_MHC	6	-0.7714	0.07239650145772594	n=6; treatment-driven; one-or-two-point fragile
