set	n_requested	n_present	n_missing	missing	n_control	n_tolerant	mean_z_control	mean_z_tolerant	delta_z_P_minus_C	raw_mean_log2_control	raw_mean_log2_tolerant	raw_log2FC	welch_t	welch_p	mwu_p	z_C1	z_C2	z_C3	z_P1	z_P2	z_P3	genes
CORE6	6	6	0		3	3	-0.3224	0.3224	0.6449	10.3278	10.875	0.5472	2.2517	0.09013104827425804	0.1	-0.1397	-0.1427	-0.6849	0.0236	0.7557	0.188	IFI27;OAS2;IFIT1;MX1;ISG15;HLA-A
IFN_ISG	54	54	0		3	3	-0.0667	0.0667	0.1334	9.1702	9.2498	0.0797	1.773	0.20910306494708514	0.1	-0.0653	-0.0925	-0.0422	0.0028	0.2138	-0.0166	ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;IFIT1;IFIT2;IFIT3;IFIT5;IFITM1;IFITM2;IFITM3;IFI6;IFI27;IFI35;IFI44;IFI44L;IFI16;DDX58;IFIH1;DDX60;XAF1;HERC5;USP18;CMPK2;BST2;GBP1;GBP2;GBP4;GBP5;EIF2AK2;ZBP1;STAT1;STAT2;IRF1;IRF7;IRF9;JAK2;SOCS1;SOCS3;CXCL9;CXCL10;CXCL11;CCL5;CCL2;IFNB1;IFNG;IFNAR1;IFNAR2;IFNGR1;IFNGR2
MHC_I	7	7	0		3	3	-0.8584	0.8584	1.7168	12.5552	13.2024	0.6471	7.8842	0.0014013641500058116	0.1	-1.0029	-0.5478	-1.0244	1.1633	0.6967	0.7152	HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;HLA-G;B2M
MHC_II	8	8	0		3	3	0.0284	-0.0284	-0.0567	6.7146	6.5771	-0.1375	-0.228	0.8375704021762995	1.0	0.4224	0.0585	-0.3958	-0.1748	0.0067	0.083	CIITA;CD74;HLA-DRA;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DPA1;HLA-DPB1
APM	12	12	0		3	3	-0.0208	0.0208	0.0415	11.6579	11.6113	-0.0467	0.5704	0.6187107278979158	0.7	0.1147	-0.0579	-0.1191	-0.0139	0.0556	0.0206	NLRC5;TAP1;TAP2;TAPBP;PSMB8;PSMB9;PSMB10;ERAP1;ERAP2;CALR;CANX;PDIA3
MHC_APM	27	27	0		3	3	-0.2234	0.2234	0.4467	10.4259	10.5322	0.1063	4.1188	0.0524323962050814	0.1	-0.0839	-0.1505	-0.4358	0.2436	0.2073	0.2192	HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;HLA-G;B2M;CIITA;CD74;HLA-DRA;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DPA1;HLA-DPB1;NLRC5;TAP1;TAP2;TAPBP;PSMB8;PSMB9;PSMB10;ERAP1;ERAP2;CALR;CANX;PDIA3
IFN_MHC	81	81	0		3	3	-0.1189	0.1189	0.2378	9.5887	9.6773	0.0885	4.2948	0.01814196776784971	0.1	-0.0715	-0.1118	-0.1734	0.083	0.2117	0.062	ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;IFIT1;IFIT2;IFIT3;IFIT5;IFITM1;IFITM2;IFITM3;IFI6;IFI27;IFI35;IFI44;IFI44L;IFI16;DDX58;IFIH1;DDX60;XAF1;HERC5;USP18;CMPK2;BST2;GBP1;GBP2;GBP4;GBP5;EIF2AK2;ZBP1;STAT1;STAT2;IRF1;IRF7;IRF9;JAK2;SOCS1;SOCS3;CXCL9;CXCL10;CXCL11;CCL5;CCL2;IFNB1;IFNG;IFNAR1;IFNAR2;IFNGR1;IFNGR2;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;HLA-G;B2M;CIITA;CD74;HLA-DRA;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DPA1;HLA-DPB1;NLRC5;TAP1;TAP2;TAPBP;PSMB8;PSMB9;PSMB10;ERAP1;ERAP2;CALR;CANX;PDIA3
