analysis	n_benefit	n_no_benefit	median_FPKM_benefit	median_FPKM_no_benefit	median_log2_benefit	median_log2_no_benefit	mann_whitney_U	exact_two_sided_p	auc_higher_predicts_benefit	auc_bootstrap_95ci_low	auc_bootstrap_95ci_high	rank_biserial	detected_benefit	detected_no_benefit	dropped_study_id
loo_without_NR1867	4	4	12.056284999999999	0.505835	3.4759559636790236	0.5708916345107583	14.0	0.11428571428571428	0.875	0.5	1.0	0.75	4	4	NR1867
loo_without_CR6126	3	5	5.22527	0.258847	2.638136410548381	0.33210294885947617	13.0	0.14285714285714285	0.8666666666666667	0.4666666666666667	1.0	0.7333333333333334	3	5	CR6126
loo_without_SD2051	4	4	12.056284999999999	0.505835	3.4759559636790236	0.5708916345107583	14.0	0.11428571428571428	0.875	0.5	1.0	0.75	4	4	SD2051
loo_without_SD2056	3	5	18.8873	0.258847	4.313775516809667	0.33210294885947617	13.0	0.14285714285714285	0.8666666666666667	0.4666666666666667	1.0	0.7333333333333334	3	5	SD2056
loo_without_NR5784	4	4	12.056284999999999	0.446302	3.4759559636790236	0.4992184843086202	14.0	0.11428571428571428	0.875	0.5	1.0	0.75	4	4	NR5784
loo_without_LSD0167	3	5	5.22527	0.258847	2.638136410548381	0.33210294885947617	13.0	0.14285714285714285	0.8666666666666667	0.4666666666666667	1.0	0.7333333333333334	3	5	LSD0167
loo_without_SD1494	3	5	18.8873	0.258847	4.313775516809667	0.33210294885947617	15.0	0.03571428571428571	1.0	1.0	1.0	1.0	3	5	SD1494
loo_without_NR3549	4	4	12.056284999999999	0.199314	3.4759559636790236	0.260429798657338	15.0	0.05714285714285714	0.9375	0.75	1.0	0.875	4	4	NR3549
loo_without_NR8727	4	4	12.056284999999999	0.199314	3.4759559636790236	0.260429798657338	15.0	0.05714285714285714	0.9375	0.75	1.0	0.875	4	4	NR8727
