analysis	n_benefit	n_no_benefit	median_FPKM_benefit	median_FPKM_no_benefit	mann_whitney_U	exact_two_sided_p	auc_higher_predicts_benefit	rank_biserial
pretreatment_primary	4	5	6.0281424999999995	0.1294235	18.0	0.06349206349206349	0.9	0.8
posttreatment_descriptive	4	11	0.14852900000000002	0.064615	33.0	0.1772893772893773	0.75	0.5
