dataset	accession	model_family	setting	symbol	contrast	family	test_group	ref_group	n_test	n_ref	mean_test	mean_ref	sd_test	sd_ref	delta_log2	hedges_g	test_name	statistic	p_value	note	contrast_note	fdr_bh_within_family
GSE182228_KL_aPD1	GSE182228	KL	in_vivo_tumor	Tacstd2	aPD1_vs_vehicle	ici	aPD1	vehicle	3	3	0.201977	0.24265	0.183673	0.163896	-0.0406733	-0.186933	welch_t	-0.286182	0.789122			0.789122
GSE182228_KL_aPD1	GSE182228	KL	in_vivo_tumor	Cldn4	aPD1_vs_vehicle	ici	aPD1	vehicle	3	3	0.0136333	0.03766	0.0236136	0.065229	-0.0240267	-0.391847	welch_t	-0.59989	0.598246			0.789122
GSE182228_KL_aPD1	GSE182228	KL	in_vivo_tumor	Tacstd2	aPD1_palbociclib_vs_palbociclib	ici	aPD1_palbociclib	palbociclib	3	3	0.20168	0.852267	0.143845	1.47617	-0.650587	-0.496274	welch_t	-0.759762	0.525454			0.789122
GSE182228_KL_aPD1	GSE182228	KL	in_vivo_tumor	Cldn4	aPD1_palbociclib_vs_palbociclib	ici	aPD1_palbociclib	palbociclib	3	3	0.1661	0.4692	0.287694	0.65371	-0.3031	-0.480133	welch_t	-0.73505	0.520015			0.789122
GSE182228_KL_aPD1	GSE182228	KL	in_vivo_tumor	Tacstd2	palbociclib_vs_vehicle	mechanism	palbociclib	vehicle	3	3	0.852267	0.24265	1.47617	0.163896	0.609617	0.464371	welch_t	0.71092	0.549312			0.720973
GSE182228_KL_aPD1	GSE182228	KL	in_vivo_tumor	Cldn4	palbociclib_vs_vehicle	mechanism	palbociclib	vehicle	3	3	0.4692	0.03766	0.65371	0.065229	0.43154	0.743173	welch_t	1.13775	0.371202			0.720973
GSE182228_KL_aPD1	GSE182228	KL	in_vivo_tumor	Tacstd2	aPD1_palbociclib_vs_vehicle	mechanism	aPD1_palbociclib	vehicle	3	3	0.20168	0.24265	0.143845	0.163896	-0.04097	-0.21256	welch_t	-0.325414	0.761439			0.860757
GSE182228_KL_aPD1	GSE182228	KL	in_vivo_tumor	Cldn4	aPD1_palbociclib_vs_vehicle	mechanism	aPD1_palbociclib	vehicle	3	3	0.1661	0.03766	0.287694	0.065229	0.12844	0.492595	welch_t	0.754128	0.523032			0.720973
GSE114601_KP_aPD1	GSE114601	KP	in_vivo_tumor	Tacstd2	aPD1_vs_vehicle	ici	aPD1	vehicle	2	2	3.08069	4.19085	0.753818	1.24252	-1.11017	-0.617316	welch_t	-1.0803	0.412799	n<3 per arm, underpowered		0.789122
GSE114601_KP_aPD1	GSE114601	KP	in_vivo_tumor	Cldn4	aPD1_vs_vehicle	ici	aPD1	vehicle	2	2	2.08249	3.21868	0.756413	0.049745	-1.13619	-1.21124	welch_t	-2.11968	0.278942	n<3 per arm, underpowered		0.789122
GSE114601_KP_aPD1	GSE114601	KP	in_vivo_tumor	Tacstd2	aPD1_JQ1_vs_JQ1	ici	aPD1_JQ1	JQ1	2	2	2.16838	2.42624	0.0807869	0.844088	-0.257865	-0.245755	welch_t	-0.430071	0.740411	n<3 per arm, underpowered		0.789122
GSE114601_KP_aPD1	GSE114601	KP	in_vivo_tumor	Cldn4	aPD1_JQ1_vs_JQ1	ici	aPD1_JQ1	JQ1	2	2	3.85243	3.25299	0.311707	1.55303	0.59944	0.30582	welch_t	0.535185	0.681735	n<3 per arm, underpowered		0.789122
GSE169194_KPM_total_aPD1	GSE169194	KP	in_vivo_tumor	Tacstd2	A2V_aPD1_vs_A2V	ici	A2V_aPD1	A2V	3	3	4.28719	4.08549	0.33712	1.03625	0.201693	0.209405	welch_t	0.320584	0.77416		anti-PD-1 added on top of anti-VEGFA/ANGPT2	0.789122
GSE169194_KPM_total_aPD1	GSE169194	KP	in_vivo_tumor	Cldn4	A2V_aPD1_vs_A2V	ici	A2V_aPD1	A2V	3	3	3.85886	4.62503	0.511251	0.507847	-0.76617	-1.20289	welch_t	-1.84155	0.139352		anti-PD-1 added on top of anti-VEGFA/ANGPT2	0.789122
GSE169194_KPM_total_aPD1	GSE169194	KP	in_vivo_tumor	Tacstd2	A2V_vs_IgG	mechanism	A2V	IgG	3	3	4.08549	4.16075	1.03625	0.894457	-0.07526	-0.0622014	welch_t	-0.095226	0.928808			0.928808
