key	accession	file	n_genes	n_samples	value_type	gene_id_type	groups	dropped_columns	column_sources	median_expr	expr_file	design_file
GSE182228_KL_aPD1	GSE182228	GSE182228_RAW.tar	34678	12	fpkm	symbol	aPD1=3; aPD1_palbociclib=3; palbociclib=3; vehicle=3		supplementary_file	0.033	GSE182228_KL_aPD1.expr.tsv.gz	GSE182228_KL_aPD1.design.tsv
GSE114601_KP_aPD1	GSE114601	GSE114601_counts.raw.csv.gz	52459	8	counts	symbol	JQ1=2; aPD1=2; aPD1_JQ1=2; vehicle=2		title_match	0.000	GSE114601_KP_aPD1.expr.tsv.gz	GSE114601_KP_aPD1.design.tsv
GSE169194_KPM_total_aPD1	GSE169194	GSE169194_annotated_raw_count.txt.gz	54532	9	counts	ensembl	A2V=3; A2V_aPD1=3; IgG=3		key_regex	0.000	GSE169194_KPM_total_aPD1.expr.tsv.gz	GSE169194_KPM_total_aPD1.design.tsv
GSE246922_KP_ICBrelapse	GSE246922	GSE246922_KP_RNA_counts_vst.csv.gz	36040	15	vst	ensembl	chronic_IFNg=3; parental=3; relapsed_1st=3; relapsed_2nd=3; relapsed_late=3		column_labels_only	8.377	GSE246922_KP_ICBrelapse.expr.tsv.gz	GSE246922_KP_ICBrelapse.design.tsv
GSE260596_344SQ_aLAIR1	GSE260596	GSE260596_AllSamples_Genes_ReadCounts.txt.gz	24421	7	counts	symbol	aLAIR1_aPD1=4; control_ab_aPD1=3		key_regex	1.563	GSE260596_344SQ_aLAIR1.expr.tsv.gz	GSE260596_344SQ_aLAIR1.design.tsv
GSE197260_EGFR_TKI_aPD1	GSE197260	GSE197260_RNAseqTPM_MM_EGFR-TKI-CD8.txt.gz	21892	7	tpm	symbol	gefitinib_d14=1; gefitinib_d3=1; gefitinib_then_aPD1=1; gefitinib_then_aPD1_aVEGFR2=1; gefitinib_then_aVEGFR2=1; gefitinib_then_vehicle=1; vehicle=1		title_match	2.700	GSE197260_EGFR_TKI_aPD1.expr.tsv.gz	GSE197260_EGFR_TKI_aPD1.design.tsv
GSE274351_K_KP_KL_adenoma	GSE274351	GSE274351_expredata_TPM_gene.txt.gz	55471	18	tpm	ensembl	KL_adenoma=5; KP_adenoma=5; K_adenoma=4; normal_lung=4		column_labels_only	0.000	GSE274351_K_KP_KL_adenoma.expr.tsv.gz	GSE274351_K_KP_KL_adenoma.design.tsv
GSE137396_KL_vs_KP_nodules	GSE137396	GSE137396_Raw_genetable_GEMMnodule.txt.gz	47478	10	counts	symbol	KL_nodule=5; KP_nodule=5		title_match	0.026	GSE137396_KL_vs_KP_nodules.expr.tsv.gz	GSE137396_KL_vs_KP_nodules.design.tsv
GSE175479_K_KL_AMPK	GSE175479	GSE175479_Raw_gene_count_matrix.txt.gz	41113	12	counts	symbol	KAA_tumor=4; KL_tumor=4; K_tumor=4		column_labels_only	0.065	GSE175479_K_KL_AMPK.expr.tsv.gz	GSE175479_K_KL_AMPK.design.tsv
GSE274352_KP_KL_IFNB	GSE274352	GSE274352_normalizedcounts_genes_IFNB_vs_empty.tsv.gz	18252	12	counts	ensembl	IFNbeta=6; empty_vector=6		column_labels_only	2.725	GSE274352_KP_KL_IFNB.expr.tsv.gz	GSE274352_KP_KL_IFNB.design.tsv
GSE274352_KP_KL_STING	GSE274352	GSE274352_normalizedcounts_genes_STING_vs_emtpy.tsv.gz	16580	8	counts	ensembl	STING_V154M=4; empty_vector=4		column_labels_only	3.187	GSE274352_KP_KL_STING.expr.tsv.gz	GSE274352_KP_KL_STING.design.tsv
GSE295685_KL_TNG260	GSE295685	GSE295685_TPM.txt.gz	55487	4	tpm	ensembl	DMSO=2; TNG260=2		column_labels_only	0.000	GSE295685_KL_TNG260.expr.tsv.gz	GSE295685_KL_TNG260.design.tsv
GSE236258_CMT167_trametinib	GSE236258	GSE236258_RAW.tar	56923	15	counts	ensembl	CMT167_control=3; CMT167_trametinib=3; CMT167_trametinib_resistant=3; KLA_control=3; KLA_trametinib=3		supplementary_file	0.000	GSE236258_CMT167_trametinib.expr.tsv.gz	GSE236258_CMT167_trametinib.design.tsv
GSE241978_CMT167_AhR	GSE241978	GSE241978_2020-07-21_Sherr_analysis_CMT_KO_vs_Cas9Ctrl.xlsx	55062	6	log2norm	symbol	AhR_KO=3; cas9_control=3		column_labels_only	4.556	GSE241978_CMT167_AhR.expr.tsv.gz	GSE241978_CMT167_AhR.design.tsv
GSE217405_EGFR_osimertinib	GSE217405	GSE217405_mEGFR_del19.1_del19.2_L860R.1_CPM.xlsx	55415	24	cpm	symbol	DMSO=12; osimertinib=12		title_match	0.000	GSE217405_EGFR_osimertinib.expr.tsv.gz	GSE217405_EGFR_osimertinib.design.tsv
GSE330658_EGFR_invivo	GSE330658	GSE330658_RAW.tar	36333	8	tpm	symbol	PTX=2; PTX_aVEGF=2; aVEGF=2; control=2		supplementary_file	0.125	GSE330658_EGFR_invivo.expr.tsv.gz	GSE330658_EGFR_invivo.design.tsv
