# Ensembl REST lookup/symbol/mus_musculus, release 116
symbol	ensembl_gene_id	display_name	biotype	assembly	chrom	resolved
Tacstd2	ENSMUSG00000051397	Tacstd2	protein_coding	GRCm39	6	yes
Cldn4	ENSMUSG00000047501	Cldn4	protein_coding	GRCm39	5	yes
Cldn1	ENSMUSG00000022512	Cldn1	protein_coding	GRCm39	16	yes
Cldn3	ENSMUSG00000070473	Cldn3	protein_coding	GRCm39	5	yes
Cldn5	ENSMUSG00000041378	Cldn5	protein_coding	GRCm39	16	yes
Cldn6	ENSMUSG00000023906	Cldn6	protein_coding	GRCm39	17	yes
Cldn7	ENSMUSG00000018569	Cldn7	protein_coding	GRCm39	11	yes
Cldn18	ENSMUSG00000032473	Cldn18	protein_coding	GRCm39	9	yes
Epcam	ENSMUSG00000045394	Epcam	protein_coding	GRCm39	17	yes
Cdh1	ENSMUSG00000000303	Cdh1	protein_coding	GRCm39	8	yes
Krt8	ENSMUSG00000049382	Krt8	protein_coding	GRCm39	15	yes
Krt18	ENSMUSG00000023043	Krt18	protein_coding	GRCm39	15	yes
Krt5	ENSMUSG00000061527	Krt5	protein_coding	GRCm39	15	yes
Muc1	ENSMUSG00000042784	Muc1	protein_coding	GRCm39	3	yes
Sox2	ENSMUSG00000074637	Sox2	protein_coding	GRCm39	3	yes
Nkx2-1	ENSMUSG00000001496	Nkx2-1	protein_coding	GRCm39	12	yes
Vim	ENSMUSG00000026728	Vim	protein_coding	GRCm39	2	yes
Zeb1	ENSMUSG00000024238	Zeb1	protein_coding	GRCm39	18	yes
Snai1	ENSMUSG00000042821	Snai1	protein_coding	GRCm39	2	yes
Ifng	ENSMUSG00000055170	Ifng	protein_coding	GRCm39	10	yes
Ifngr1	ENSMUSG00000020009	Ifngr1	protein_coding	GRCm39	10	yes
Ifngr2	ENSMUSG00000022965	Ifngr2	protein_coding	GRCm39	16	yes
Ifnb1	ENSMUSG00000048806	Ifnb1	protein_coding	GRCm39	4	yes
Tmem173						no
Sting1	ENSMUSG00000024349	Sting1	protein_coding	GRCm39	18	yes
Ahr	ENSMUSG00000019256	Ahr	protein_coding	GRCm39	12	yes
Id1	ENSMUSG00000042745	Id1	protein_coding	GRCm39	2	yes
Lair1	ENSMUSG00000055541	Lair1	protein_coding	GRCm39	7	yes
Hdac1	ENSMUSG00000028800	Hdac1	protein_coding	GRCm39	4	yes
Kdm1a	ENSMUSG00000036940	Kdm1a	protein_coding	GRCm39	4	yes
Met	ENSMUSG00000009376	Met	protein_coding	GRCm39	6	yes
Egfr	ENSMUSG00000020122	Egfr	protein_coding	GRCm39	11	yes
Kras	ENSMUSG00000030265	Kras	protein_coding	GRCm39	6	yes
Trp53	ENSMUSG00000059552	Trp53	protein_coding	GRCm39	11	yes
Rb1	ENSMUSG00000022105	Rb1	protein_coding	GRCm39	14	yes
Stk11	ENSMUSG00000003068	Stk11	protein_coding	GRCm39	10	yes
Actb	ENSMUSG00000029580	Actb	protein_coding	GRCm39	5	yes
Gapdh	ENSMUSG00000057666	Gapdh	protein_coding	GRCm39	6	yes
Cd8a	ENSMUSG00000053977	Cd8a	protein_coding	GRCm39	6	yes
Cd8b1	ENSMUSG00000053044	Cd8b1	protein_coding	GRCm39	6	yes
Cd3d	ENSMUSG00000032094	Cd3d	protein_coding	GRCm39	9	yes
Cd3e	ENSMUSG00000032093	Cd3e	protein_coding	GRCm39	9	yes
Cd2	ENSMUSG00000027863	Cd2	protein_coding	GRCm39	3	yes
Gzmk	ENSMUSG00000042385	Gzmk	protein_coding	GRCm39	13	yes
Prf1	ENSMUSG00000037202	Prf1	protein_coding	GRCm39	10	yes
Gzmb	ENSMUSG00000015437	Gzmb	protein_coding	GRCm39	14	yes
Stat1	ENSMUSG00000026104	Stat1	protein_coding	GRCm39	1	yes
Cxcl9	ENSMUSG00000029417	Cxcl9	protein_coding	GRCm39	5	yes
