accession	file	url	bytes	md5	retrieved_utc
GSE114601	GSE114601_counts.raw.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114601/suppl/GSE114601_counts.raw.csv.gz	403883	31e810ae0553d2820d058bd4cd7585b4	2026-08-16T19:41:28Z
GSE137396	GSE137396_Normalized_logtransformed_medcentred_genetable_GEMMnodule.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137396/suppl/GSE137396_Normalized_logtransformed_medcentred_genetable_GEMMnodule.txt.gz	1190781	8b292e2938efae57f71d3cd43005ee86	2026-08-16T20:04:00Z
GSE137396	GSE137396_Raw_genetable_GEMMnodule.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137396/suppl/GSE137396_Raw_genetable_GEMMnodule.txt.gz	1020675	0dfe6b0825d3d652a6336a6944524780	2026-08-16T20:04:00Z
GSE169194	GSE169194_annotated_log2_norm_count.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169194/suppl/GSE169194_annotated_log2_norm_count.txt.gz	3327835	daed40835d30321fc4e7f98121cdddb3	2026-08-16T20:04:00Z
GSE169194	GSE169194_annotated_raw_count.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169194/suppl/GSE169194_annotated_raw_count.txt.gz	1646754	30333f3268cbf418e6336e56196dc16c	2026-08-16T20:04:00Z
GSE175479	GSE175479_Raw_gene_count_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175479/suppl/GSE175479_Raw_gene_count_matrix.txt.gz	695336	35dc7c55c368a7c95f1cddd484666ae5	2026-08-16T20:04:01Z
GSE182228	GSE182228_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE182nnn/GSE182228/suppl/GSE182228_RAW.tar	3184640	d04fb5b18ba769a94441d6d0bea4ad06	2026-08-16T19:41:29Z
GSE197260	GSE197260_RNAseqTPM_MM_EGFR-TKI-CD8.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197260/suppl/GSE197260_RNAseqTPM_MM_EGFR-TKI-CD8.txt.gz	307346	3012f9101f07387abd5567131829e114	2026-08-16T19:41:29Z
GSE208614	GSE208614_201102_rawCounts.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE208nnn/GSE208614/suppl/GSE208614_201102_rawCounts.txt.gz	566051	8c0685a769bf5f3429647466ab0c5e8a	2026-08-16T19:41:29Z
GSE208614	GSE208614_210513_rawCounts.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE208nnn/GSE208614/suppl/GSE208614_210513_rawCounts.txt.gz	961751	f7d705bff5213600c95cce7d5dec859e	2026-08-16T19:41:29Z
GSE208614	GSE208614_220427_rawCounts.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE208nnn/GSE208614/suppl/GSE208614_220427_rawCounts.txt.gz	681475	46b131b30bf5895142322822be3f1037	2026-08-16T19:41:29Z
GSE217405	GSE217405_mEGFR_del19.1_del19.2_L860R.1_CPM.xlsx	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE217nnn/GSE217405/suppl/GSE217405_mEGFR_del19.1_del19.2_L860R.1_CPM.xlsx	5466985	ad985255c590ba59df683be172cd3e8c	2026-08-16T19:41:30Z
GSE236258	GSE236258_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE236nnn/GSE236258/suppl/GSE236258_RAW.tar	59555840	2dee5f2333b553193da46e6fcbdc0370	2026-08-16T19:41:31Z
GSE241978	GSE241978_2020-07-21_Sherr_analysis_CMT_KO_vs_Cas9Ctrl.xlsx	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241978/suppl/GSE241978_2020-07-21_Sherr_analysis_CMT_KO_vs_Cas9Ctrl.xlsx	15118392	4b99137f3507932e8c2a2804d51ec963	2026-08-16T19:41:31Z
GSE246922	GSE246922_KP_RNA_counts_vst.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE246nnn/GSE246922/suppl/GSE246922_KP_RNA_counts_vst.csv.gz	3588834	99f5e410a50e5b542400c5ddc554447c	2026-08-16T19:41:32Z
GSE246922	GSE246922_LLC1_RNA_counts_vst.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE246nnn/GSE246922/suppl/GSE246922_LLC1_RNA_counts_vst.csv.gz	1941616	0f369b01044dc6c2168f76fe2f550a7f	2026-08-16T19:41:32Z
GSE260596	GSE260596_AllSamples_Genes_ReadCounts.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260596/suppl/GSE260596_AllSamples_Genes_ReadCounts.txt.gz	313467	2025271bd9c6c049394094c429d77059	2026-08-16T19:41:32Z
GSE262975	GSE262975_CountsTable.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE262nnn/GSE262975/suppl/GSE262975_CountsTable.txt.gz	4876763	0c1aeb1faa183816d253f0d73bb6c8eb	2026-08-16T19:41:32Z
GSE274351	GSE274351_expredata_TPM_gene.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274351/suppl/GSE274351_expredata_TPM_gene.txt.gz	667638	723e1fc28c1a382be3774644ae502385	2026-08-16T19:41:32Z
GSE274352	GSE274352_normalizedcounts_genes_IFNB_vs_empty.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274352/suppl/GSE274352_normalizedcounts_genes_IFNB_vs_empty.tsv.gz	1026351	42924c223c4e5c5f12624aaeecd4b626	2026-08-16T19:41:33Z
GSE274352	GSE274352_normalizedcounts_genes_STING_vs_emtpy.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274352/suppl/GSE274352_normalizedcounts_genes_STING_vs_emtpy.tsv.gz	674403	23c2070d72426f12697aa3568d6116f6	2026-08-16T19:41:33Z
GSE285606	GSE285606_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285606/suppl/GSE285606_RAW.tar	229672960	c3cd2a9f1172f49022a4a3fb31a49851	2026-08-16T19:41:37Z
GSE295685	GSE295685_TPM.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE295nnn/GSE295685/suppl/GSE295685_TPM.txt.gz	740584	90ae3923cb4dee8fdc0e1438dbce6262	2026-08-16T20:04:00Z
GSE295685	GSE295685_expected_count.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE295nnn/GSE295685/suppl/GSE295685_expected_count.txt.gz	742312	993ab2697b39a490c5fc92bf0a0541d3	2026-08-16T20:04:00Z
GSE297817	GSE297817_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE297nnn/GSE297817/suppl/GSE297817_RAW.tar	84295680	b9da30c351f02b7124d28f5154ecb3b8	2026-08-16T19:41:39Z
GSE297818	GSE297818_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE297nnn/GSE297818/suppl/GSE297818_RAW.tar	33710080	b1a99db5a4c8f54c81289cce408ed7a6	2026-08-16T19:41:41Z
