dataset	accession	symbol	resolved_id	detected	median_log2
GSE182228_KL_aPD1	GSE182228	Tacstd2	Tacstd2	yes	0.1737
GSE182228_KL_aPD1	GSE182228	Cldn4	Cldn4	yes	0.0204
GSE114601_KP_aPD1	GSE114601	Tacstd2	Tacstd2	yes	2.7854
GSE114601_KP_aPD1	GSE114601	Cldn4	Cldn4	yes	3.2187
GSE169194_KPM_total_aPD1	GSE169194	Tacstd2	ENSMUSG00000051397	yes	4.1226
GSE169194_KPM_total_aPD1	GSE169194	Cldn4	ENSMUSG00000047501	yes	4.2529
GSE246922_KP_ICBrelapse	GSE246922	Tacstd2	ENSMUSG00000051397	yes	8.4513
GSE246922_KP_ICBrelapse	GSE246922	Cldn4	ENSMUSG00000047501	yes	9.2109
GSE260596_344SQ_aLAIR1	GSE260596	Tacstd2	Tacstd2	yes	0.0000
GSE260596_344SQ_aLAIR1	GSE260596	Cldn4	Cldn4	yes	0.4612
GSE197260_EGFR_TKI_aPD1	GSE197260	Tacstd2	Tacstd2	yes	4.0090
GSE197260_EGFR_TKI_aPD1	GSE197260	Cldn4	Cldn4	yes	4.8022
GSE274351_K_KP_KL_adenoma	GSE274351	Tacstd2	ENSMUSG00000051397	yes	2.7066
GSE274351_K_KP_KL_adenoma	GSE274351	Cldn4	ENSMUSG00000047501	yes	1.0151
GSE137396_KL_vs_KP_nodules	GSE137396	Tacstd2	Tacstd2	yes	6.2219
GSE137396_KL_vs_KP_nodules	GSE137396	Cldn4	Cldn4	yes	6.8712
GSE175479_K_KL_AMPK	GSE175479	Tacstd2	Tacstd2	yes	6.6697
GSE175479_K_KL_AMPK	GSE175479	Cldn4	Cldn4	yes	6.2993
GSE274352_KP_KL_IFNB	GSE274352	Tacstd2	ENSMUSG00000051397	yes	3.9609
GSE274352_KP_KL_IFNB	GSE274352	Cldn4	ENSMUSG00000047501	yes	6.9313
GSE274352_KP_KL_STING	GSE274352	Tacstd2	ENSMUSG00000051397	yes	3.5949
GSE274352_KP_KL_STING	GSE274352	Cldn4	ENSMUSG00000047501	yes	6.6892
GSE295685_KL_TNG260	GSE295685	Tacstd2	ENSMUSG00000051397	yes	4.4970
GSE295685_KL_TNG260	GSE295685	Cldn4	ENSMUSG00000047501	yes	10.6075
GSE236258_CMT167_trametinib	GSE236258	Tacstd2	ENSMUSG00000051397	yes	0.0000
GSE236258_CMT167_trametinib	GSE236258	Cldn4	ENSMUSG00000047501	yes	0.4055
GSE241978_CMT167_AhR	GSE241978	Tacstd2	Tacstd2	yes	4.5560
GSE241978_CMT167_AhR	GSE241978	Cldn4	Cldn4	yes	4.5560
GSE217405_EGFR_osimertinib	GSE217405	Tacstd2	TACSTD2	yes	0.0000
GSE217405_EGFR_osimertinib	GSE217405	Cldn4	CLDN4	yes	6.8133
GSE330658_EGFR_invivo	GSE330658	Tacstd2	Tacstd2	yes	3.0550
GSE330658_EGFR_invivo	GSE330658	Cldn4	Cldn4	yes	4.9044
