dataset	accession	model_family	symbol	signature	n	spearman_rho	p_value	fdr_bh
GSE182228_KL_aPD1	GSE182228	KL	Tacstd2	CD8_T_cell	12	-0.13381	0.678447	0.886859
GSE182228_KL_aPD1	GSE182228	KL	Tacstd2	IFNg_response	12	-0.12676	0.69463	0.902117
GSE182228_KL_aPD1	GSE182228	KL	Tacstd2	IFN_I_response	12	-0.44367	0.148525	0.582451
GSE182228_KL_aPD1	GSE182228	KL	Tacstd2	MHC_I_antigen_presentation	12	-0.16198	0.615006	0.876887
GSE182228_KL_aPD1	GSE182228	KL	Tacstd2	MHC_II	12	-0.09859	0.760484	0.927245
GSE182228_KL_aPD1	GSE182228	KL	Tacstd2	T_cell_inhibitory	12	-0.06338	0.844854	0.945174
GSE182228_KL_aPD1	GSE182228	KL	Tacstd2	Myeloid_suppressive	12	0.21832	0.49545	0.837909
GSE182228_KL_aPD1	GSE182228	KL	Tacstd2	Leukocyte_general	12	0.00000	1	1
GSE182228_KL_aPD1	GSE182228	KL	Tacstd2	Neuroendocrine	12	-0.24648	0.439943	0.837909
GSE182228_KL_aPD1	GSE182228	KL	Tacstd2	Non_NE_SCLC	12	0.47889	0.115234	0.501017
GSE182228_KL_aPD1	GSE182228	KL	Cldn4	CD8_T_cell	12	0.51506	0.086593	0.46807
GSE182228_KL_aPD1	GSE182228	KL	Cldn4	IFNg_response	12	0.48894	0.106726	0.478636
GSE182228_KL_aPD1	GSE182228	KL	Cldn4	IFN_I_response	12	0.35084	0.263506	0.667104
GSE182228_KL_aPD1	GSE182228	KL	Cldn4	MHC_I_antigen_presentation	12	0.69421	0.0122517	0.210728
GSE182228_KL_aPD1	GSE182228	KL	Cldn4	MHC_II	12	0.40309	0.193852	0.639003
GSE182228_KL_aPD1	GSE182228	KL	Cldn4	T_cell_inhibitory	12	0.40682	0.189365	0.639003
GSE182228_KL_aPD1	GSE182228	KL	Cldn4	Myeloid_suppressive	12	0.38443	0.217261	0.639003
GSE182228_KL_aPD1	GSE182228	KL	Cldn4	Leukocyte_general	12	0.60091	0.0387904	0.323253
GSE182228_KL_aPD1	GSE182228	KL	Cldn4	Neuroendocrine	12	-0.38070	0.222138	0.643878
GSE182228_KL_aPD1	GSE182228	KL	Cldn4	Non_NE_SCLC	12	0.06718	0.83566	0.944249
GSE114601_KP_aPD1	GSE114601	KP	Tacstd2	CD8_T_cell	8	0.35929	0.382065	0.810781
GSE114601_KP_aPD1	GSE114601	KP	Tacstd2	IFNg_response	8	0.11905	0.778886	0.927245
GSE114601_KP_aPD1	GSE114601	KP	Tacstd2	IFN_I_response	8	-0.59524	0.11953	0.508638
GSE114601_KP_aPD1	GSE114601	KP	Tacstd2	MHC_I_antigen_presentation	8	0.30952	0.455645	0.837909
GSE114601_KP_aPD1	GSE114601	KP	Tacstd2	MHC_II	8	0.73810	0.0365528	0.31785
GSE114601_KP_aPD1	GSE114601	KP	Tacstd2	T_cell_inhibitory	8	-0.33333	0.419753	0.837909
GSE114601_KP_aPD1	GSE114601	KP	Tacstd2	Myeloid_suppressive	8	0.33333	0.419753	0.837909
GSE114601_KP_aPD1	GSE114601	KP	Tacstd2	Leukocyte_general	8	0.54762	0.160026	0.603872
GSE114601_KP_aPD1	GSE114601	KP	Tacstd2	Neuroendocrine	8	0.11905	0.778886	0.927245
GSE114601_KP_aPD1	GSE114601	KP	Tacstd2	Non_NE_SCLC	8	0.02381	0.955374	0.974863
GSE114601_KP_aPD1	GSE114601	KP	Cldn4	CD8_T_cell	8	-0.28743	0.490015	0.837909
GSE114601_KP_aPD1	GSE114601	KP	Cldn4	IFNg_response	8	-0.33333	0.419753	0.837909
GSE114601_KP_aPD1	GSE114601	KP	Cldn4	IFN_I_response	8	0.28571	0.492726	0.837909
GSE114601_KP_aPD1	GSE114601	KP	Cldn4	MHC_I_antigen_presentation	8	-0.61905	0.101733	0.478636
GSE114601_KP_aPD1	GSE114601	KP	Cldn4	MHC_II	8	-0.73810	0.0365528	0.31785
GSE114601_KP_aPD1	GSE114601	KP	Cldn4	T_cell_inhibitory	8	-0.04762	0.910849	0.97417
GSE114601_KP_aPD1	GSE114601	KP	Cldn4	Myeloid_suppressive	8	-0.66667	0.0709877	0.407678
GSE114601_KP_aPD1	GSE114601	KP	Cldn4	Leukocyte_general	8	-0.85714	0.00653002	0.210728
GSE114601_KP_aPD1	GSE114601	KP	Cldn4	Neuroendocrine	8	-0.64286	0.0855589	0.46807
GSE114601_KP_aPD1	GSE114601	KP	Cldn4	Non_NE_SCLC	8	-0.02381	0.955374	0.974863
GSE169194_KPM_total_aPD1	GSE169194	KP	Tacstd2	CD8_T_cell	9	-0.40000	0.286105	0.705861
GSE169194_KPM_total_aPD1	GSE169194	KP	Tacstd2	IFNg_response	9	0.18333	0.63682	0.876887
GSE169194_KPM_total_aPD1	GSE169194	KP	Tacstd2	IFN_I_response	9	0.06667	0.86469	0.956434
GSE169194_KPM_total_aPD1	GSE169194	KP	Tacstd2	MHC_I_antigen_presentation	9	-0.08333	0.831214	0.944249
GSE169194_KPM_total_aPD1	GSE169194	KP	Tacstd2	MHC_II	9	0.26667	0.487922	0.837909
GSE169194_KPM_total_aPD1	GSE169194	KP	Tacstd2	T_cell_inhibitory	9	0.11667	0.765008	0.927245
GSE169194_KPM_total_aPD1	GSE169194	KP	Tacstd2	Myeloid_suppressive	9	-0.10000	0.797972	0.933301
GSE169194_KPM_total_aPD1	GSE169194	KP	Tacstd2	Leukocyte_general	9	-0.05000	0.898353	0.965971
GSE169194_KPM_total_aPD1	GSE169194	KP	Tacstd2	Neuroendocrine	9	-0.16667	0.668231	0.886859
GSE169194_KPM_total_aPD1	GSE169194	KP	Tacstd2	Non_NE_SCLC	9	-0.16667	0.668231	0.886859
GSE169194_KPM_total_aPD1	GSE169194	KP	Cldn4	CD8_T_cell	9	-0.68333	0.0424423	0.326479
GSE169194_KPM_total_aPD1	GSE169194	KP	Cldn4	IFNg_response	9	-0.63333	0.0670858	0.407678
GSE169194_KPM_total_aPD1	GSE169194	KP	Cldn4	IFN_I_response	9	-0.68333	0.0424423	0.326479
GSE169194_KPM_total_aPD1	GSE169194	KP	Cldn4	MHC_I_antigen_presentation	9	-0.80000	0.00962792	0.210728
GSE169194_KPM_total_aPD1	GSE169194	KP	Cldn4	MHC_II	9	-0.43333	0.243952	0.667104
GSE169194_KPM_total_aPD1	GSE169194	KP	Cldn4	T_cell_inhibitory	9	-0.46667	0.205386	0.639003
GSE169194_KPM_total_aPD1	GSE169194	KP	Cldn4	Myeloid_suppressive	9	-0.28333	0.46003	0.837909
GSE169194_KPM_total_aPD1	GSE169194	KP	Cldn4	Leukocyte_general	9	-0.83333	0.00526569	0.210728
GSE169194_KPM_total_aPD1	GSE169194	KP	Cldn4	Neuroendocrine	9	0.05000	0.898353	0.965971
GSE169194_KPM_total_aPD1	GSE169194	KP	Cldn4	Non_NE_SCLC	9	0.11667	0.765008	0.927245
