dataset	accession	column	gsm	group	model_family	setting	Tacstd2	Cldn4	CD8_T_cell	IFNg_response	IFN_I_response	MHC_I_antigen_presentation	MHC_II	T_cell_inhibitory	Myeloid_suppressive	Leukocyte_general	Neuroendocrine	Non_NE_SCLC
GSE182228_KL_aPD1	GSE182228	GSM5525443_S357_FPKM.txt.gz	GSM5525443	aPD1_palbociclib	KL	in_vivo_tumor	0.36499	0.49830	1.37273	1.14999	-0.79252	0.84486	1.45508	0.76027	0.42650	1.01936	-0.27625	-0.40693
GSE182228_KL_aPD1	GSE182228	GSM5525444_S359_FPKM.txt.gz	GSM5525444	aPD1_palbociclib	KL	in_vivo_tumor	0.09378	0.00000	-0.50313	-0.38149	-0.00418	-0.61887	-0.42382	-0.83020	-0.47625	-0.95341	-0.16381	0.10287
GSE182228_KL_aPD1	GSE182228	GSM5525445_S360_FPKM.txt.gz	GSM5525445	aPD1_palbociclib	KL	in_vivo_tumor	0.14627	0.00000	1.09182	1.15097	0.04119	0.92737	1.16345	0.77064	0.35444	1.21325	-0.23301	-0.15315
GSE182228_KL_aPD1	GSE182228	GSM5525446_S361_FPKM.txt.gz	GSM5525446	aPD1	KL	in_vivo_tumor	0.00000	0.04090	-0.36664	-0.43972	0.11039	-0.59035	-0.46587	-0.14719	0.28017	-0.11637	-0.51012	-1.07586
GSE182228_KL_aPD1	GSE182228	GSM5525447_S362_FPKM.txt.gz	GSM5525447	aPD1	KL	in_vivo_tumor	0.35900	0.00000	-0.66064	-0.82027	-0.12211	-1.25531	-1.14754	-0.58246	-0.51631	-1.20257	0.29281	0.76729
GSE182228_KL_aPD1	GSE182228	GSM5525448_S364_FPKM.txt.gz	GSM5525448	aPD1	KL	in_vivo_tumor	0.24693	0.00000	-0.38003	-0.89870	-0.57658	-0.75381	-1.14242	-0.26771	-0.29273	-1.04294	-0.00515	0.03254
GSE182228_KL_aPD1	GSE182228	GSM5525449_S366_FPKM.txt.gz	GSM5525449	palbociclib	KL	in_vivo_tumor	0.00000	0.04818	0.28302	0.56675	1.50028	0.96889	0.13666	0.17002	0.28017	0.31790	0.47995	0.05771
GSE182228_KL_aPD1	GSE182228	GSM5525450_S367_FPKM.txt.gz	GSM5525450	palbociclib	KL	in_vivo_tumor	2.55680	1.22229	0.30570	0.94547	0.22989	1.05862	1.02868	0.48268	0.53245	1.30118	-0.27566	0.72581
GSE182228_KL_aPD1	GSE182228	GSM5525451_S368_FPKM.txt.gz	GSM5525451	palbociclib	KL	in_vivo_tumor	0.00000	0.13713	0.91262	1.13772	2.12585	1.37341	0.93718	0.53621	-0.36649	0.78519	0.16236	-0.08723
GSE182228_KL_aPD1	GSE182228	GSM5525452_S388_FPKM.txt.gz	GSM5525452	vehicle	KL	in_vivo_tumor	0.10357	0.00000	-0.61535	-0.35639	-1.03884	-0.42724	0.52140	-0.07873	0.30046	0.12934	0.43063	-0.66610
GSE182228_KL_aPD1	GSE182228	GSM5525453_S389_FPKM.txt.gz	GSM5525453	vehicle	KL	in_vivo_tumor	0.20104	0.00000	-0.76646	-1.32664	-0.73807	-1.05694	-0.87137	-0.10762	-0.17754	-0.55485	0.25736	0.04711
GSE182228_KL_aPD1	GSE182228	GSM5525454_S390_FPKM.txt.gz	GSM5525454	vehicle	KL	in_vivo_tumor	0.42334	0.11298	-0.67364	-0.72769	-0.73530	-0.47063	-1.19143	-0.70590	-0.34487	-0.89607	-0.15909	0.65594
GSE114601_KP_aPD1	GSE114601	s1795	GSM3145765	aPD1	KP	in_vivo_tumor	2.54766	1.54762	0.05803	-0.21981	-0.46239	0.03078	0.59758	0.90725	0.38890	1.08508	0.23798	0.32817
GSE114601_KP_aPD1	GSE114601	s2467	GSM3145766	aPD1_JQ1	KP	in_vivo_tumor	2.22550	3.63202	-0.64772	-0.31689	0.79880	-0.24951	-1.47688	-0.14902	-1.07663	-0.29204	-0.06244	-0.62974
GSE114601_KP_aPD1	GSE114601	s2503	GSM3145767	JQ1	KP	in_vivo_tumor	3.02310	2.15483	0.13752	0.91902	0.86768	0.64538	0.18896	-0.22901	0.35322	0.16742	0.35734	0.06515
GSE114601_KP_aPD1	GSE114601	s2521	GSM3145768	aPD1	KP	in_vivo_tumor	3.61372	2.61735	0.46919	-0.20238	-0.74889	0.53082	0.93568	-0.08619	0.42649	-0.23297	0.26115	-0.34793
GSE114601_KP_aPD1	GSE114601	s2596	GSM3145769	vehicle	KP	in_vivo_tumor	5.06945	3.18350	-0.05311	-0.47181	-0.46926	-0.16519	0.42833	-0.39040	0.21122	-0.26250	-0.14904	0.30945
GSE114601_KP_aPD1	GSE114601	s2617	GSM3145770	vehicle	KP	in_vivo_tumor	3.31226	3.25385	0.27120	0.02616	-0.28075	-0.29666	0.41605	-0.01475	0.13430	0.74754	-0.43027	0.45204
GSE114601_KP_aPD1	GSE114601	s2625	GSM3145771	JQ1	KP	in_vivo_tumor	1.82938	4.35115	-0.64772	-0.62425	-0.13843	-0.93944	-0.83115	-0.12963	0.24203	-0.80761	-0.34891	0.68889
GSE114601_KP_aPD1	GSE114601	s2669	GSM3145772	aPD1_JQ1	KP	in_vivo_tumor	2.11125	4.07284	0.41259	0.88997	0.43324	0.44383	-0.25856	0.09176	-0.67953	-0.40493	0.13420	-0.86603
GSE169194_KPM_total_aPD1	GSE169194	X1740R_159_04	GSM5182757	IgG	KP	in_vivo_tumor	5.04588	5.79145	-1.27622	-0.73624	-0.65878	-1.34944	-0.23103	-0.95641	-0.29116	-1.83321	-0.16814	-0.25030
GSE169194_KPM_total_aPD1	GSE169194	X1740R_159_08	GSM5182761	IgG	KP	in_vivo_tumor	4.17913	4.30634	1.13312	0.58487	0.49181	0.75103	0.95769	1.05046	-0.15615	0.47469	0.16178	0.07672
GSE169194_KPM_total_aPD1	GSE169194	X1740R_159_12	GSM5182765	IgG	KP	in_vivo_tumor	3.25725	3.52701	0.78261	1.08516	0.76771	0.94974	0.87514	0.54433	-0.14689	0.34635	0.13932	0.10700
GSE169194_KPM_total_aPD1	GSE169194	X1740R_159_16	GSM5182768	A2V	KP	in_vivo_tumor	5.28088	5.19600	-0.51204	-0.27250	-0.56262	-0.51173	-0.22465	-0.10336	0.06282	-0.41971	0.09563	0.42878
GSE169194_KPM_total_aPD1	GSE169194	X1740R_159_20	GSM5182772	A2V	KP	in_vivo_tumor	3.44197	4.45530	-0.45726	-0.99165	-0.88810	-0.95997	-0.33113	-0.37048	-0.25471	-0.84092	0.15715	0.13638
GSE169194_KPM_total_aPD1	GSE169194	X1740R_159_24	GSM5182776	A2V	KP	in_vivo_tumor	3.53363	4.22378	-0.01837	-0.97319	-1.36184	-0.73916	-0.96188	-0.63278	0.22389	0.17993	-0.17597	0.08512
GSE169194_KPM_total_aPD1	GSE169194	X1740R_159_32	GSM5182783	A2V_aPD1	KP	in_vivo_tumor	4.67499	3.28115	0.71953	1.55247	1.33711	1.49110	1.46890	0.92919	0.07326	1.24855	0.12065	-0.11671
GSE169194_KPM_total_aPD1	GSE169194	X1740R_159_36	GSM5182787	A2V_aPD1	KP	in_vivo_tumor	4.12255	4.04250	-0.28948	0.14301	0.67267	0.47813	0.05647	-0.10936	-0.41315	0.63421	-0.34390	-0.12697
