n	rho	p	endpoint	definition
515	-0.06462425880926838	0.14305044325865524	ImmuneScore	ESTIMATE Immune_score (MDACC RNAseqV2)
515	-0.11828312656028608	0.007205637863577844	CD8A	CD8A HiSeqV2 log2(norm_count+1)
515	-0.11525826367888618	0.008844665590404302	CD8_score	mean(CD8A, CD8B) — B3-style CD8
515	0.04462782588244787	0.31210771788354064	CD274	CD274 / PD-L1 HiSeqV2 log2(norm_count+1)
