sample	CD274	CLDN4	CD8A	CD8B	ImmuneScore	CD8_score	quartile	tacstd2_gate	tj7_used
TCGA-05-4244-01	8.034	13.9765	7.15	5.63	933.74	6.390000000000001	Q4	none	no
TCGA-05-4249-01	6.1004	13.9391	6.9276	5.3773	1033.35	6.15245	Q4	none	no
TCGA-05-4250-01	8.6625	14.8158	9.9113	7.5674	1184.84	8.73935	Q4	none	no
TCGA-05-4382-01	6.8858	13.8596	7.411	5.2694	1641.81	6.340199999999999	Q4	none	no
TCGA-05-4384-01	5.0608	12.5602	6.856	4.4032	767.77	5.6296	Q2	none	no
TCGA-05-4389-01	6.71	13.0411	10.2236	8.4345	1456.58	9.329049999999999	Q2	none	no
TCGA-05-4390-01	5.8054	13.6111	6.3023	6.653	76.91	6.47765	Q3	none	no
TCGA-05-4395-01	5.9211	13.7728	7.649	5.3855	854.14	6.517250000000001	Q4	none	no
TCGA-05-4396-01	4.6149	12.9442	6.1447	3.7958	-204.96	4.97025	Q2	none	no
TCGA-05-4397-01	5.1835	11.8123	6.9364	5.2351	463.66	6.08575	Q1	none	no
TCGA-05-4398-01	9.35	14.5304	8.3339	5.8949	1514.83	7.1144	Q4	none	no
TCGA-05-4402-01	5.5497	13.6874	6.9463	4.8812	848.38	5.91375	Q4	none	no
TCGA-05-4403-01	5.5928	13.6806	7.1322	5.3291	1327.2	6.230650000000001	Q4	none	no
TCGA-05-4405-01	6.3312	14.0004	7.9969	5.2267	845.61	6.611800000000001	Q4	none	no
TCGA-05-4410-01	6.7553	13.7489	9.3879	7.422	1449.18	8.40495	Q4	none	no
TCGA-05-4415-01	6.0025	7.7377	8.7567	5.9824	52.89	7.36955	Q1	none	no
TCGA-05-4417-01	6.3295	12.169	8.8367	6.858	1580.98	7.8473500000000005	Q1	none	no
TCGA-05-4418-01	7.0293	12.4972	8.9393	7.0798	1233.33	8.009549999999999	Q1	none	no
TCGA-05-4420-01	4.3912	13.5723	6.6382	6.2716	-179.48	6.4549	Q3	none	no
TCGA-05-4422-01	5.7942	13.3203	10.1199	8.2226	1425.83	9.17125	Q3	none	no
