endpoint	n_analysis	n_q4	n_q1	median_q4	median_q1	delta_median	rank_biserial	mwu_p	spearman_rho	spearman_p
ImmuneScore	515	129	129	893.75	1137.51	-243.76	-0.1247	0.08357	-0.0646	0.1431
CD8A	515	129	129	7.9095	8.094	-0.1845	-0.1982	0.005932	-0.1183	0.007206
CD8_score	515	129	129	6.8192	7.1832	-0.364	-0.2107	0.003444	-0.1153	0.008845
CD274	515	129	129	6.0466	6.0025	0.0441	0.0321	0.6559	0.0446	0.3121
