stratum	module	gene	in_module	kME
CLDN4pos	ME1	TMSB4X	1	0.3974240781715638
CLDN4pos	ME1	FTL	1	-0.06627377041823995
CLDN4pos	ME1	WFDC2	1	0.09179562481396969
CLDN4pos	ME1	FTH1	1	0.09631619742132105
CLDN4pos	ME1	SCGB3A1	1	-0.13865474279116763
CLDN4pos	ME1	ACTG1	1	0.5025557394209736
CLDN4pos	ME1	ACTB	1	0.5680910112182478
CLDN4pos	ME1	GSTP1	1	0.35149503922965025
CLDN4pos	ME1	PTMA	1	0.5878487870285992
CLDN4pos	ME1	UBB	1	0.4913806149671981
CLDN4pos	ME1	H3F3A	1	0.7400919649104521
CLDN4pos	ME1	PPIA	1	0.5861036471067801
CLDN4pos	ME1	CHCHD2	1	0.6172028338960411
CLDN4pos	ME1	H3F3B	1	0.45011275954144203
CLDN4pos	ME1	MYL6	1	0.61531071329035
CLDN4pos	ME1	AGR2	1	0.15484213743010536
CLDN4pos	ME1	HSP90AB1	1	0.37222319143740334
CLDN4pos	ME1	HINT1	1	0.292436276278682
CLDN4pos	ME1	HSPA8	1	0.13730041404227644
CLDN4pos	ME1	ENO1	1	0.43467374904054196
CLDN4pos	ME1	SPINT2	1	0.5184318266939015
CLDN4pos	ME1	CLDN4	1	0.24261089764298344
CLDN4pos	ME1	GPX4	1	0.3354153676236049
CLDN4pos	ME1	PRDX1	1	0.5564493168334683
CLDN4pos	ME1	RAC1	1	0.4452501598386466
CLDN4pos	ME1	CFL1	1	0.6569780400728341
CLDN4pos	ME1	MDK	1	0.4093190637817267
CLDN4pos	ME1	CALM2	1	0.6740321744382936
CLDN4pos	ME1	DSTN	1	0.41698422691388404
CLDN4pos	ME1	PRDX5	1	0.32368001364876914
CLDN4pos	ME1	SLC25A5	1	0.38475719318700413
CLDN4pos	ME1	CALM1	1	0.5590489837574326
CLDN4pos	ME1	DYNLL1	1	0.6193231947367452
CLDN4pos	ME1	COX4I1	1	0.21670052598632525
CLDN4pos	ME1	HSPE1	1	0.4142599229517406
CLDN4pos	ME1	SRP14	1	0.6695446670754143
CLDN4pos	ME1	SUMO2	1	0.7148873674933045
CLDN4pos	ME1	LDHB	1	0.12845817229372974
CLDN4pos	ME1	TUBA1B	1	0.6660741902703294
CLDN4pos	ME1	H2AFZ	1	0.6647342966575549
CLDN4pos	ME1	PPIB	1	0.3676031592149997
CLDN4pos	ME1	EPCAM	1	0.561064221689284
CLDN4pos	ME1	COX6A1	1	0.49502159130312906
CLDN4pos	ME1	RPL36AL	1	0.1745042814463511
CLDN4pos	ME1	CD24	1	0.4104981728115376
CLDN4pos	ME1	COX6B1	1	0.5266874829176736
CLDN4pos	ME1	HMGN2	1	0.6801720185187561
CLDN4pos	ME1	SUB1	1	0.7143445350042582
CLDN4pos	ME1	TMEM59	1	0.4349496143650981
CLDN4pos	ME1	PSMA7	1	0.6379536583945296
CLDN4pos	ME1	CCNI	1	0.2971538416054768
CLDN4pos	ME1	CALR	1	0.45238933892998545
CLDN4pos	ME1	DBI	1	0.30740540740511624
CLDN4pos	ME1	EMP2	1	0.18760625036002174
CLDN4pos	ME1	PEBP1	1	0.29515444173583644
CLDN4pos	ME1	NDUFS5	1	0.5627926328423231
CLDN4pos	ME1	MZT2B	1	0.4460327797508265
CLDN4pos	ME1	HMGN1	1	0.5522081224065291
CLDN4pos	ME1	SOD1	1	0.4290107558237453
CLDN4pos	ME1	SKP1	1	0.5654503256171216
CLDN4pos	ME1	NUCKS1	1	0.6185286193814894
CLDN4pos	ME1	ARPC3	1	0.5595138062540589
