stratum_network	module	family	locked_score	rho	p	N
CLDN4pos	ME4	TJ	locked_tj_score	0.42792867155254516	0.0008696509713832856	65
CLDN4pos	ME3	IFN	locked_ifn_score	0.6007842300817151	4.3013158609166176e-07	65
CLDN4neg	ME3	TJ	locked_tj_score	0.3523523336301352	0.007362105702552003	65
CLDN4neg	ME7	IFN	locked_ifn_score	0.3727172815016182	0.004362180470296674	65
