stratum_network	module	dataset	unit_id	n_cells_scored	n_genes	score	frac_tnk	mal_CLDN4_pct	locked_ifn_score	locked_tj_score
CLDN4pos	ME1	GSE123902	LX255B	228	1053	8.99817930674977	0.407359752959341	35.0877192982456	3.80232618752314	3.13074210054713
CLDN4pos	ME1	GSE123902	LX653	145	1053	8.857368863134642	0.125	71.7241379310345	4.19058257970432	4.12731788826093
CLDN4pos	ME1	GSE123902	LX661	117	1053	8.86583234913311	0.816031537450723	58.974358974359	4.37926445275215	3.76599166931212
CLDN4pos	ME1	GSE123902	LX666	786	1053	9.04851942990801	0.134498480243161	67.175572519084	3.69177140088097	2.84643811135261
CLDN4pos	ME1	GSE123902	LX675	618	1053	8.818676686861448	0.388937409024745	31.3915857605178	4.72803377054024	4.17170794753075
CLDN4pos	ME1	GSE123902	LX676	147	1053	8.629926973520968	0.649227703039362	42.1768707482993	4.52243871913172	3.77934300252489
CLDN4pos	ME1	GSE123902	LX679	497	1053	8.941312966565803	0.309866137828458	43.2595573440644	4.10866442052731	3.77894972433892
CLDN4pos	ME1	GSE123902	LX680	258	1053	9.03036038866279	0.365568544102019	73.2558139534884	3.94410189804447	3.87353492322282
CLDN4pos	ME1	GSE123902	LX681	1207	1053	8.84043879040064	0.052760736196319	63.2974316487158	3.54260645192572	3.52674757339171
CLDN4pos	ME1	GSE123902	LX682	421	1053	9.025889272618063	0.625122189638319	18.7648456057007	5.54683579639357	4.03060113968979
CLDN4pos	ME1	GSE123902	LX684	173	1053	8.925042913473673	0.243386243386243	72.8323699421965	4.49264859361721	4.22705743693152
CLDN4pos	ME1	GSE123902	LX699	46	1053	9.140164637017426	0.847248221639835	15.2173913043478	4.74661340931235	4.04587315875025
CLDN4pos	ME1	GSE123902	LX701	90	1053	5.537411743270313	0.408629441624365	11.1111111111111	1.79378702935851	1.2881826669792
CLDN4pos	ME1	GSE131907	BRONCHO_11	203	1053	8.885249759589907	0.254562617998741	80.7881773399015	4.3895269460006	3.80091436030115
CLDN4pos	ME1	GSE131907	BRONCHO_58	460	1053	8.82950146526837	0.549591183789549	72.1739130434783	4.20857120490724	3.31772622423494
CLDN4pos	ME1	GSE131907	EBUS_06	1186	1053	8.99114843727608	0.26530612244898	71.1635750421585	3.22019978480028	4.11454705396714
CLDN4pos	ME1	GSE131907	EBUS_10	367	1053	8.917526357370472	0.297433903576983	84.4686648501362	3.95505926651064	3.27702392282469
CLDN4pos	ME1	GSE131907	EBUS_12	257	1053	9.02857151860124	0.10529695024077	88.3268482490272	4.88010454177949	3.7509248019398
CLDN4pos	ME1	GSE131907	EBUS_13	376	1053	9.038892278989588	0.323943661971831	0.265957446808511	3.8936943212106	3.74425357182411
CLDN4pos	ME1	GSE131907	EBUS_15	256	1053	9.010410333304476	0.433484162895928	47.265625	4.20150891922362	3.72056286365153
CLDN4pos	ME1	GSE131907	EBUS_19	217	1053	8.910688375406824	0.675662878787879	94.0092165898618	4.53889854954125	4.02997709367261
CLDN4pos	ME1	GSE131907	EBUS_28	4640	1053	8.990573415490482	0.0447703589347742	96.3362068965517	3.70776260674061	3.34625939365506
CLDN4pos	ME1	GSE131907	EBUS_49	114	1053	9.101734082862388	0.634366197183099	49.1228070175439	3.02064886382461	3.70470569258273
CLDN4pos	ME1	GSE131907	EBUS_51	1285	1053	8.59845278143312	0.349007633587786	85.3696498054475	4.19246025631456	3.56755551379343
CLDN4pos	ME1	GSE131907	NS_02	181	1053	8.791459472817628	0.422395157803718	58.5635359116022	3.61872671393463	3.19011678038467
CLDN4pos	ME1	GSE131907	NS_03	2713	1053	9.001840161854988	0.048494983277592	93.1441208993734	3.51068985617224	3.39065229947677
CLDN4pos	ME1	GSE131907	NS_04	1229	1053	9.010586609634032	0.0688025210084034	89.3409275834011	3.83907948931277	3.58204510644082
CLDN4pos	ME1	GSE131907	NS_06	83	1053	8.942449673210819	0.357943925233645	60.2409638554217	3.94837406277152	3.08118895403446
CLDN4pos	ME1	GSE131907	NS_07	5108	1053	8.697130335243216	0.0289703315881326	90.407204385278	3.04178034543544	3.46529885524548
