stratum_network	module	family	dataset	n_patients	median_pos_minus_neg	n_pos_higher	wilcoxon_p
CLDN4pos	ME4	TJ	GSE123902	11	0.06528133676222758	7	0.1748046875
CLDN4pos	ME4	TJ	GSE131907	18	0.1504578762409592	16	0.00032806396484375
CLDN4pos	ME4	TJ	GSE205335	21	0.1728197301100316	16	0.0021514892578125
CLDN4pos	ME4	TJ	GSE189357	9	-0.08608207775049515	3	0.12890625
CLDN4pos	ME3	IFN	GSE123902	11	0.11458158911368876	9	0.1474609375
CLDN4pos	ME3	IFN	GSE131907	18	0.3091281468616165	16	5.340576171875e-05
CLDN4pos	ME3	IFN	GSE205335	21	0.1449947599268704	17	0.0006074905395507812
CLDN4pos	ME3	IFN	GSE189357	9	0.3414817326439952	9	0.00390625
CLDN4neg	ME3	TJ-overlap-ns	GSE123902	11	0.2510470600670409	10	0.0048828125
CLDN4neg	ME3	TJ-overlap-ns	GSE131907	18	0.13234180919774108	17	0.00032806396484375
CLDN4neg	ME3	TJ-overlap-ns	GSE205335	21	0.11809356451090913	17	0.0008516311645507812
CLDN4neg	ME3	TJ-overlap-ns	GSE189357	9	0.3748526090683697	9	0.00390625
CLDN4neg	ME7	IFN	GSE123902	11	-0.0423756886996518	5	0.7646484375
CLDN4neg	ME7	IFN	GSE131907	18	0.20943182318492504	16	0.00025177001953125
CLDN4neg	ME7	IFN	GSE205335	21	0.08520633475979267	15	0.27221012115478516
CLDN4neg	ME7	IFN	GSE189357	9	0.23561004358254678	8	0.07421875
