unit_id	dataset	Sample	Sample_Origin	n_cells	mean_CLDN4	mean_slingshot_pt	mean_slingshot_pt_primary	mean_barrier	mean_IFN	mean_AT2	mean_malignant	mean_TACSTD2	mean_SFTPC	mean_palantir_pt
GSE131907:BRONCHO_11	GSE131907	BRONCHO_11	mLN	204	1.4041213231052854	30.519445438933545	15.327384406715622	1.4486476984747907	0.5228087541827685	0.504589708546215	1.5123480042498354	0.7485969184051384	0.0	0.14813563751626946
GSE131907:BRONCHO_58	GSE131907	BRONCHO_58	tL/B	280	1.0221755451568024	35.205027225768404	16.169676935831973	1.8203818206438869	0.46707021731183246	1.199415128060991	0.5451776782295988	1.3672161367013358	0.0	0.11577284495530135
GSE131907:EBUS_06	GSE131907	EBUS_06	tL/B	280	1.2583936344379663	42.821443970017185		1.3514986009921477	0.08593589747107284	0.04324176362767792	0.2591489899637626	1.6688594683859617	0.0	0.0891108858917056
GSE131907:EBUS_10	GSE131907	EBUS_10	mLN	280	1.3104259624057382	33.117478982325885	21.355416164952032	1.5361869420916938	0.4350532855364906	0.39235200971050604	0.14402029836059152	1.165292857988365	0.014397889637133773	0.1570842832844185
GSE131907:EBUS_12	GSE131907	EBUS_12	mLN	262	1.364688210901927	38.234542565446695	25.36419406859551	2.0180607249997853	0.7805442311246802	0.319556515211726	1.3967224251193815	2.3323800331266726	0.0	0.10747858946743175
GSE131907:EBUS_13	GSE131907	EBUS_13	mLN	280	0.0009374192515230027	70.29574225983662		0.018359540634886606	0.24788121428157908	0.02273575899846465	0.07137723237031797	0.0	0.0007665940234564173	0.06458981057002364
GSE131907:EBUS_15	GSE131907	EBUS_15	mLN	263	0.8012336440046735	29.81692100778714		1.5411648112131968	0.4168969449371605	0.3195387099332939	0.16298556801385108	1.1040864359006615	0.0008147938862342746	0.0987296698386725
GSE131907:EBUS_19	GSE131907	EBUS_19	mLN	228	1.7029436624182637	27.426407164072394	25.346889570494266	1.266630775500494	0.37946440142760235	1.1913900509096045	1.1416414363022973	1.6440645818850796	0.2623936903242329	0.12756657290892995
GSE131907:EBUS_28	GSE131907	EBUS_28	tL/B	280	2.2959768145084665	28.174531894749823	24.085173240940428	1.631658958222068	0.15151219132999344	0.5713854262523657	0.540431589075996	1.4799958762663612	0.0	0.12265200919533521
GSE131907:EBUS_49	GSE131907	EBUS_49	tL/B	122	0.7577418677676576	36.52456449684752	4.52164382939795	1.2220887759352212	0.06437181935402073	0.05469431219904562	0.062226803410648415	0.6387940525834304	0.058697622379804415	0.11274225209511567
GSE131907:EBUS_51	GSE131907	EBUS_51	mLN	280	1.2038992531448793	41.96513792874967	18.746524729919464	1.6771574899059025	0.389121157779314	1.1048511404425854	0.9761565182774389	1.210796161810325	0.0009559958857640045	0.09584609639222792
GSE131907:LUNG_N01	GSE131907	LUNG_N01	nLung	199	0.8722552262779636	16.318525098260455	4.007831174157325	0.7180682249375867	0.165322328681227	3.11149896375197	0.06925865716883063	0.853790158486884	5.908786760908116	0.19753048244238686
