bin	pt_lo	pt_hi	pt_mid	n_cells	mean_CLDN4	mean_barrier	mean_IFN	mean_AT2	mean_malignant
0	0.0	0.08333333333333333	0.041666666666666664	1253	1.0677413787155074	0.789721043288776	0.11688358406864875	3.889657338001164	0.0796394449518811
1	0.08333333333333333	0.16666666666666666	0.125	1161	0.9162469034584431	0.6368600176022892	0.09075720955544701	3.8323064338838306	0.07411243709587846
2	0.16666666666666666	0.25	0.20833333333333331	687	1.0065971361177528	0.7029527957769591	0.1168006805713259	2.2578425592011353	0.2936042635745168
3	0.25	0.3333333333333333	0.29166666666666663	703	1.6385885382814864	1.1580772563053452	0.23208090626106803	1.8165732071838214	0.6007071377778456
4	0.3333333333333333	0.41666666666666663	0.375	596	2.002671402459916	1.3733563366970838	0.3728176354176436	1.2706550895364228	0.7674692194057896
5	0.41666666666666663	0.5	0.4583333333333333	469	1.994164740006452	1.6965778111792624	0.2652619434779132	0.6414291030496493	0.698694052188301
6	0.5	0.5833333333333333	0.5416666666666666	289	2.292135046426446	2.0825229151039966	0.2586694844777862	0.3560712220079062	0.6780504689359919
7	0.5833333333333333	0.6666666666666666	0.625	61	2.6192572276360417	2.071953981024617	0.37676591809143095	0.4678892474789901	1.0234847662427864
8	0.6666666666666666	0.75	0.7083333333333333	11	1.794942749432844	1.6979395975423925	0.5988002190397416	0.38183783037672375	1.2248868111707745
9	0.75	0.8333333333333333	0.7916666666666666	23	1.8280661723180578	1.9858584754108497	0.27658617211981634	0.060707605887854885	0.36208247464056836
10	0.8333333333333333	0.9166666666666666	0.875	30	2.547711312569992	2.157477077817352	0.2823120138408893	0.06985446469192401	0.5880631972933094
11	0.9166666666666666	1.0	0.9583333333333333	80	2.8037354808823016	2.3779776531457726	0.32750474254927553	0.0297401673362375	0.7393083596480456
