contrast	n	rho	p
GSE131907-only CLDN4 vs primary PT	36	0.7423423423423423	2.1880252564093453e-07
GSE205335-only CLDN4 vs primary PT	13	0.4450549450549451	0.12752383613843685
GSE131907-only CLDN4 vs barrier	43	0.44488070069465413	0.0027978857180275094
GSE205335-only CLDN4 vs barrier	22	0.30321852060982496	0.17013992452174784
GSE131907-only CLDN4 vs IFN	43	0.15856236786469344	0.30983553862393304
GSE205335-only CLDN4 vs IFN	22	-0.0536420101637493	0.8125892965812409
tLung-only CLDN4 vs primary PT	11	0.790909090909091	0.003746082953397407
nLung-only CLDN4 vs primary PT	11	0.6545454545454547	0.028864598957001903
tumor-only (drop nLung) CLDN4 vs primary PT	38	0.38789801947696684	0.016112789886741658
