contrast	n	rho	p	q
CLDN4 vs Slingshot PT (shared)	65	-0.13024475524475523	0.30108707800944773	0.4014494373459303
CLDN4 vs Slingshot PT (primary lineage)	49	0.5060204081632653	0.00020785711631032347	0.00041571423262064695
CLDN4 vs AT2 score	65	0.08583916083916084	0.4965767773359889	0.550638801122367
CLDN4 vs barrier/keratin (no CLDN4)	65	0.40515734265734266	0.0008142289056073031	0.0013958209810410911
CLDN4 vs IFN (no CLDN4)	65	0.045279720279720284	0.7202256155234221	0.7202256155234221
CLDN4 vs malignant-like score	65	0.6294580419580419	1.94830624524574e-08	7.79322498098296e-08
barrier vs Slingshot PT (primary)	49	0.5860204081632653	9.69023575833039e-06	2.907070727499117e-05
IFN vs Slingshot PT (primary)	49	0.4498979591836734	0.0011814711670351094	0.001772206750552664
CLDN4 vs TACSTD2 (comparator)	65	0.49195804195804194	3.1541050325747376e-05	7.569852078179371e-05
SFTPC vs Slingshot PT (control)	65	-0.658566578281437	2.4793460361598995e-09	1.4876076216959398e-08
AT2 score vs Slingshot PT (control)	65	-0.8419580419580419	1.549512709495853e-18	1.8594152513950236e-17
CLDN4 vs Palantir PT (companion)	65	0.08422202797202798	0.5047522343621698	0.550638801122367
