id	lane	verdict	citation	doi	pmid	pmcid	assay	organ_or_model	trop2_cldn4_or_adc	public_file	note
nakatsukasa2010_pla	coloc	FOUND	Nakatsukasa et al. Am J Pathol 2010;177:1344-55	10.2353/ajpath.2010.100149	20651236	PMC2928970	in situ PLA (Duolink) TACSTD2 x CLDN4	normal human cornea	TACSTD2 proximity to CLDN4 (also CLDN1/7/TJP1); not Co-IP	AJP Fig 2B-C; SI Fig S1-S3	Authors: CLDN4 resides close to TACSTD2 but does not bind
vanitallie2015_bioid	coloc	FOUND	Van Itallie et al. PLOS ONE 2015;10:e0117074	10.1371/journal.pone.0117074	25789658	PMC4366163	BioID-MS of BL-Cldn4	MDCK II	TROP-2 listed among Cldn4-neighborhood signaling proteins (Table 2)	PLOS supporting MS tables	Proximity biotinylation, not dual-IF
okajima2021_dato	ic50	FOUND	Okajima et al. Mol Cancer Ther 2021;20:2329-40	10.1158/1535-7163.mct-21-0206	34413126	PMC9398094	GI50 vs surface TROP2 (QIFI flow)	FaDu, BxPC-3, Caov-3, NCI-N87, CFPAC-1, HCC1806, COR-L23 vs LK-2, Calu-6	Dato-DXd GI50 0.48-7.8 nM (TROP2-high) vs >100 nM (TROP2-low)	Table 1; SI Fig S4	Payload DXd GI50 0.38-2.1 nM in all lines
cheng2022_skb264	ic50	FOUND	Cheng et al. Front Oncol 2022;12:951589	10.3389/fonc.2022.951589	36620535	PMC9817100	CellTiter-Glo IC50 vs TROP2 status	HCC1806, NCI-N87, BxPC-3, Calu-3, NCI-H23 TROP2+ vs parental TROP2-	SKB264 IC50 1.281-18.83 nM; TROP2+ H23 more sensitive than parental	Fig 2D, Fig 3	Compared with IMMU-132 in vivo
cardillo2011_sg	ic50	FOUND	Cardillo et al. Clin Cancer Res 2011;17:3157-69	10.1158/1078-0432.ccr-10-2939	21372224		in vitro cytotoxicity Trop-2+ epithelial lines	PC-3, Calu-3, COLO 205, Capan-1, SK-MES-1, BxPC-3 (as later cited)	hRS7-SN-38 / IMMU-132	article tables	IC50 range ~2-23 nM is a later citation of this work
goldenberg2015_sg	ic50	FOUND	Goldenberg et al. Oncotarget 2015;6:22496-512	10.18632/oncotarget.4318	26101915	PMC4673178	Trop-2 binding + xenograft efficacy	gastric, pancreatic, TNBC, colon, prostate, lung	SG / IMMU-132	article	Companion characterization paper
lopez2020_sg	ic50	FOUND	Lopez et al. Front Oncol 2020;10:118	10.3389/fonc.2020.00118	32117765	PMC7028697	flow viability IC50 vs Trop-2	primary EOC Trop-2+ vs OVA14 Trop-2-	SG vs control ADC	Fig 4	Trop-2- line not more sensitive than control ADC
zeybek2020_sg	ic50	FOUND	Zeybek et al. Sci Rep 2020;10:973	10.1038/s41598-020-58009-3	31969666	PMC6976591	viability IC50 vs Trop-2	CVX-8, ADX-3 Trop-2+ vs ADX-2 Trop-2-	SG IC50 0.18-0.26 nM on Trop-2+	Fig 3; SI Table 1	naked hRS7 IC50 55-68-fold higher
hoff2022_sg	ic50	FOUND	Hoff et al. Cancers 2022;14:4789	10.3390/cancers14194789	36230712	PMC9562858	CellTiter-Glo IC50 vs TROP2 IHC/mRNA	Eso26 high vs FLO-1 negative EAC	SG ~6.5 nM vs ~100 nM	Fig 1	SN-38 IC50 similar on both lines
cardillo2019_sg	ic50	FOUND	Cardillo et al. Oncotarget 2019;10:6306-19	10.18632/oncotarget.27766	33196706	PMC7597411	Trop-2 transfection clones	MDA-MB-231 parental / C13 / C39	SG efficacy scales with Trop-2	Fig 2-3	in vitro + xenograft
liu2023_sg	ic50	FOUND	Liu et al. npj Breast Cancer 2023;9:66	10.1038/s41523-023-00573-8	37567892		SG IC50 after TROP2 overexpression	BCX-010CL / BCX-011CL	TROP2 OE lowers SG IC50	Fig 4N-O	epigenetic TROP2/SLFN11 paper
bellone2025_dato	ic50	FOUND	Bellone et al. Cancer Res Commun 2025	10.1158/2767-9764.crc-25-0057	40299780	PMC12062949	IC50 vs TROP2 0/1+/3+	primary USC ARK lines	Dato-DXd 0.11 ug/mL on TROP2 3+	Fig 1	TROP2 0/1+ not selective vs control ADC
