family	stratum	cohort	predictor	outcome	keratin	purity	method	k_cov	rho	p	n	thesis_aligned
module	NHEJ	LUAD	TACSTD2	NHEJ	none	none	spearman	0	0.11738825299928855	0.007600586590607207	516	False
module	NHEJ	LUAD	TACSTD2	NHEJ	none	none	pearson	0	0.05434900808828442	0.21776641893237925	516	False
module	NHEJ	LUAD	TACSTD2	NHEJ	simple_KRT8_18_19	none	spearman	3	0.10054728989565871	0.02275249169072859	516	False
module	NHEJ	LUAD	TACSTD2	NHEJ	simple_KRT8_18_19	none	pearson	3	0.0425074587645617	0.3366232717697185	516	False
module	NHEJ	LUAD	TACSTD2	NHEJ	squamous_KRT5_6	none	spearman	4	0.11032810207135393	0.01249073982890711	516	False
module	NHEJ	LUAD	TACSTD2	NHEJ	squamous_KRT5_6	none	pearson	4	0.0373207973690798	0.3993946653354705	516	False
module	NHEJ	LUAD	TACSTD2	NHEJ	simple_KRT8_18_19	ESTIMATE	spearman	4	0.09663238843687182	0.02894981964628598	515	False
module	NHEJ	LUAD	TACSTD2	NHEJ	simple_KRT8_18_19	ABSOLUTE	spearman	4	0.09536340283898465	0.07520684166440383	353	False
module	NHEJ	LUAD	TACSTD2	NHEJ	squamous_KRT5_6	ESTIMATE	spearman	5	0.0954860414554245	0.031082449805956647	515	False
module	NHEJ	LUAD	CLDN4	NHEJ	none	none	spearman	0	0.14753883866358222	0.0007745719990791695	516	False
module	NHEJ	LUAD	CLDN4	NHEJ	none	none	pearson	0	0.1129283999933727	0.010251287176317053	516	False
module	NHEJ	LUAD	CLDN4	NHEJ	simple_KRT8_18_19	none	spearman	3	0.10610304601963129	0.016211949780253917	516	False
module	NHEJ	LUAD	CLDN4	NHEJ	simple_KRT8_18_19	none	pearson	3	0.08052579882065052	0.06839725881566486	516	False
module	NHEJ	LUAD	CLDN4	NHEJ	squamous_KRT5_6	none	spearman	4	0.16186671714455234	0.00023511072124946436	516	False
module	NHEJ	LUAD	CLDN4	NHEJ	squamous_KRT5_6	none	pearson	4	0.12843591206431434	0.0036011790054080355	516	False
module	NHEJ	LUAD	CLDN4	NHEJ	simple_KRT8_18_19	ESTIMATE	spearman	4	0.09365322515759437	0.03429982294631892	515	False
module	NHEJ	LUAD	CLDN4	NHEJ	simple_KRT8_18_19	ABSOLUTE	spearman	4	0.07163847498642151	0.18180044389808972	353	False
module	NHEJ	LUAD	CLDN4	NHEJ	squamous_KRT5_6	ESTIMATE	spearman	5	0.13651781287284953	0.0020021069768332285	515	False
module	NHEJ	LUAD	CLDN7	NHEJ	none	none	spearman	0	0.08000976507483427	0.06937390456824857	516	False
module	NHEJ	LUAD	CLDN7	NHEJ	none	none	pearson	0	0.041166291586211275	0.3506928678360408	516	False
module	NHEJ	LUAD	CLDN7	NHEJ	simple_KRT8_18_19	none	spearman	3	0.03607055269259342	0.414927793986285	516	False
module	NHEJ	LUAD	CLDN7	NHEJ	simple_KRT8_18_19	none	pearson	3	-0.008730078984636333	0.8436292694618669	516	False
module	NHEJ	LUAD	CLDN7	NHEJ	squamous_KRT5_6	none	spearman	4	0.06622218380143977	0.13454488724028052	516	False
module	NHEJ	LUAD	CLDN7	NHEJ	squamous_KRT5_6	none	pearson	4	0.03564319658009114	0.420936269076159	516	False
