family	stratum	cohort	predictor	outcome	keratin	purity	method	k_cov	rho	p	n	thesis_aligned
histology	BRCA_ductal	BRCA	TACSTD2	CD8_AB	none	none	spearman	0	-0.08714535343838532	0.01471739993851457	783	True
histology	BRCA_ductal	BRCA	CLDN4	CD8_AB	none	none	spearman	0	0.01683874449329957	0.6380230836600017	783	False
histology	BRCA_ductal	BRCA	CLDN7	CD8_AB	none	none	spearman	0	-0.1756330968169377	7.605510489520426e-07	783	True
histology	BRCA_ductal	BRCA	TACSTD2	CD8_AB	none	none	pearson	0	-0.08819946542682272	0.013553683206797817	783	True
histology	BRCA_ductal	BRCA	CLDN4	CD8_AB	none	none	pearson	0	-0.023968022147150967	0.5030482748588324	783	True
histology	BRCA_ductal	BRCA	CLDN7	CD8_AB	none	none	pearson	0	-0.16475575200571443	3.5769835382075904e-06	783	True
histology	BRCA_ductal	BRCA	TACSTD2	CD8_AB	none	ESTIMATE	spearman	1	-0.0475600951864557	0.18425908728238427	782	True
histology	BRCA_ductal	BRCA	CLDN4	CD8_AB	none	ESTIMATE	spearman	1	0.1658922949069839	3.1468324653940084e-06	782	False
histology	BRCA_ductal	BRCA	CLDN7	CD8_AB	none	ESTIMATE	spearman	1	0.0005955015689501175	0.9867433930236412	782	False
histology	BRCA_ductal	BRCA	TACSTD2	CD8_AB	none	ESTIMATE	pearson	1	-0.04868363527593557	0.17409650752279113	782	True
histology	BRCA_ductal	BRCA	CLDN4	CD8_AB	none	ESTIMATE	pearson	1	0.17095691118526182	1.544479558374518e-06	782	False
histology	BRCA_ductal	BRCA	CLDN7	CD8_AB	none	ESTIMATE	pearson	1	0.010144696787481425	0.7771302951903357	782	False
histology	BRCA_ductal	BRCA	TACSTD2	CD8_AB	simple_KRT8_18_19	none	spearman	3	-0.08164180492987967	0.0225909491070106	783	True
histology	BRCA_ductal	BRCA	CLDN4	CD8_AB	simple_KRT8_18_19	none	spearman	3	0.03279182676082373	0.36040003056556436	783	False
histology	BRCA_ductal	BRCA	CLDN7	CD8_AB	simple_KRT8_18_19	none	spearman	3	-0.11054556854610248	0.0019888033193124956	783	True
histology	BRCA_ductal	BRCA	TACSTD2	CD8_AB	simple_KRT8_18_19	none	pearson	3	-0.08635173599483671	0.01585169910450439	783	True
histology	BRCA_ductal	BRCA	CLDN4	CD8_AB	simple_KRT8_18_19	none	pearson	3	-0.026604651076145243	0.4581072248303709	783	True
histology	BRCA_ductal	BRCA	CLDN7	CD8_AB	simple_KRT8_18_19	none	pearson	3	-0.10498753022357285	0.0033295054306659365	783	True
histology	BRCA_ductal	BRCA	TACSTD2	CD8_AB	simple_KRT8_18_19	ESTIMATE	spearman	4	-0.047105760685625116	0.18934453205702967	782	True
histology	BRCA_ductal	BRCA	CLDN4	CD8_AB	simple_KRT8_18_19	ESTIMATE	spearman	4	0.18066791063985954	3.91578117256905e-07	782	False
