cohort	tier	in_immune_set	in_keratin_funnel	family	role	x	y	covariates	n	n_marginal	rho_marginal	p_marginal	rho_partial	p_partial	ci_low	ci_high	q_partial	q_cytotoxic_family	q_comparator
LUAD	lung	True	True	immune	primary	TACSTD2	CD8_score	KRT8+KRT18+KRT19	516	516	-0.1131415809201967	0.010107976294768367	-0.10350423702045569	0.019032084534348143	-0.1883876016391284	-0.01708592232087837	0.05075222542492838		
LUAD	lung	True	True	immune	secondary	TACSTD2	cytotoxic_score	KRT8+KRT18+KRT19	516	516	-0.1310696643757754	0.002854490708400887	-0.1485315684204198	0.0007389704685068761	-0.2321182685314564	-0.06276725341424409		0.0023674217902013993	
LUAD	lung	True	True	immune	secondary	TACSTD2	T_score	KRT8+KRT18+KRT19	516	516	-0.06693985002137745	0.12886394341538446	-0.06516364839445489	0.14051100386465584	-0.15088387903404915	0.021529217823205653			
LUAD	lung	True	True	immune	primary	CLDN4	CD8_score	KRT8+KRT18+KRT19	516	516	-0.09906327777227023	0.024425750981059775	-0.08477570060084809	0.054997098832158246	-0.17009873335060585	0.0018089890899424632	0.10999419766431649		
LUAD	lung	True	True	immune	secondary	CLDN4	cytotoxic_score	KRT8+KRT18+KRT19	516	516	-0.15531482540124802	0.0003985699271518627	-0.17403681793940595	7.416554542922223e-05	-0.256740028460178	-0.08880337074029346		0.00044499327257533337	
LUAD	lung	True	True	immune	secondary	CLDN4	T_score	KRT8+KRT18+KRT19	516	516	-0.09549754060738241	0.03008379326170366	-0.08955359440385215	0.042614191771629915	-0.17477005365704024	-0.003005482003800728			
LUAD	lung	True	True	immune	primary	CLDN7	CD8_score	KRT8+KRT18+KRT19	516	516	-0.28719146228501874	2.9613664538233794e-11	-0.26675923839198534	8.314126545787839e-10	-0.3453551158187487	-0.18444740260435855	1.9953903709890812e-08		
LUAD	lung	True	True	immune	secondary	CLDN7	cytotoxic_score	KRT8+KRT18+KRT19	516	516	-0.297269491172346	5.473882583323104e-12	-0.2971930791995608	6.388905095460533e-12	-0.37413849820108747	-0.21618373288530715		1.533337222910528e-10	
LUAD	lung	True	True	immune	secondary	CLDN7	T_score	KRT8+KRT18+KRT19	516	516	-0.32719044909299655	2.4367740666930494e-14	-0.2975462132737425	6.016807967339374e-12	-0.37447161364949677	-0.21655298761176353			
LUAD	lung	True	True	immune	secondary	EPCAM	CD8_score	KRT8+KRT18+KRT19	516	516	-0.23937054572181854	3.702408246078234e-08	-0.2167072650784242	7.220239261547473e-07	-0.29769374884391353	-0.1326239641639846			2.8880957046189892e-06
LUAD	lung	True	True	immune	secondary	EPCAM	cytotoxic_score	KRT8+KRT18+KRT19	516	516	-0.2896756169662497	1.9653965968828723e-11	-0.29612671582305955	7.654282306026015e-12	-0.373132464794243	-0.21506883040421765			
LUAD	lung	True	True	immune	secondary	EPCAM	T_score	KRT8+KRT18+KRT19	516	516	-0.29763196935268815	5.144971599243828e-12	-0.26696230930324655	8.064059311530936e-10	-0.34554766527117564	-0.18465859710642596			
