cohort	tier	in_immune_set	in_keratin_funnel	family	role	x	y	covariates	n	n_marginal	rho_marginal	p_marginal	rho_partial	p_partial	ci_low	ci_high
BLCA	keratin_funnel	True	True	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	406	406	0.49305005856730016	2.9396011115135626e-26	0.10631097411930525	0.032658184066004785	0.008838061068409734	0.20178263023714615
BRCA	keratin_funnel	True	True	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	1095	1095	0.22163730610485574	1.187004289414251e-13	0.20228093469454217	1.480891150845127e-11	0.1447208248280888	0.25847660750748896
CESC	keratin_funnel	True	True	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	304	304	0.24708138630946785	1.3124409778356526e-05	0.10003513080992951	0.08263955032137074	-0.012976081941745876	0.21052294219127443
CHOL	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	35	35	0.1952380952380953	0.2610324576861601	0.005606928950613688	0.9752953784104362	-0.3383533677825197	0.34824558507315745
COAD	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	458	458	0.3072286383840928	1.8144664943897402e-11	0.20206402704996582	1.3738809220112068e-05	0.11232042128217988	0.2885379035297429
ESCA	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	184	184	0.6382905357246056	1.919743602048406e-22	0.2363788610604921	0.0013153711420767862	0.09416080833365423	0.369142329543393
HNSC	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	520	520	0.27776269086111205	1.1484699560229989e-10	-0.04062371809091921	0.35614926141992326	-0.12633380340239472	0.045688414701236725
KICH	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	66	66	0.43408829975994156	0.00027109234258946245	0.16908649459846545	0.18165663532370158	-0.08004990442658468	0.3983395772865586
KIRC	keratin_funnel	True	True	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	533	533	0.3868257559175043	1.8092560105620338e-20	0.40959732261081827	6.730668608868009e-23	0.3362254714513219	0.4780270034191088
KIRP	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	290	290	0.6291843234020985	2.2558440363120774e-33	0.40998346578386025	4.2133233023414367e-13	0.3090485089238116	0.5017854567114968
LIHC	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	371	371	0.39054582797735554	5.747724594582309e-15	0.15525265948394779	0.002786674945413927	0.054016799430501916	0.2533294029926445
LUAD	lung	True	True	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	516	516	0.3319916691159419	9.647221745190154e-15	0.08131577078622	0.06545771826237522	-0.005207942827264338	0.16663098176723093
LUSC	lung	True	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	501	501	0.37106567741012	8.433520135156992e-18	0.012028890633586078	0.7886678560949882	-0.07582966281129527	0.09970210398006238
OV	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	421	421	0.2053514136795874	2.17359486054268e-05	0.05174020675960945	0.2906761267498038	-0.04427971525833219	0.14681293324767566
PAAD	keratin_funnel	True	True	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	178	178	0.6042658541230244	4.2562038582615695e-19	0.04205559577595477	0.5794418257137144	-0.10652716190468864	0.18880115541475695
PRAD	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	497	497	0.24969609729891198	1.6789326572923166e-08	0.17643663930148917	7.928675652535587e-05	0.08969869588360799	0.2605183633319565
READ	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	166	166	0.28905562369237425	0.00015870953441688817	0.22665525442387235	0.0035174056099069578	0.07604684488570743	0.3671521524071046
STAD	keratin_funnel	True	True	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	412	412	0.5095868231179186	1.306942566831469e-28	0.1257559498084329	0.010812051384380303	0.029265070287238085	0.2199247612153992
THCA	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	505	505	0.5151724799809173	1.4062001831574424e-35	0.1429934758861254	0.0013018592085601766	0.056268460567477065	0.22757684511335227
UCEC	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	545	545	0.3644451676224477	1.4597419812876394e-18	0.3128682676484367	8.527845958632468e-14	0.23490847717329696	0.3868286111825501
UCS	extended_epithelial	False	False	krt8_concordance	locked_model	CLDN4	KRT8	KRT18+KRT19	57	57	0.7451387088410683	2.987570582253932e-11	0.26171927993177285	0.05358563475313577	-0.003844859777294025	0.49279970562131614
