cohort	tier	in_immune_set	in_keratin_funnel	family	role	x	y	covariates	n	n_marginal	rho_marginal	p_marginal	rho_partial	p_partial	ci_low	ci_high	q_partial
BLCA	keratin_funnel	True	True	coexpression	primary	TACSTD2	CLDN4	KRT8+KRT18+KRT19	406	406	0.565621689759621	1.0466745939683379e-35	0.5067525150810724	1.1198257969855722e-27	0.4303712683824494	0.5759283281971946	2.3516341736697016e-26
BLCA	keratin_funnel	True	True	coexpression	primary	TACSTD2	CLDN7	KRT8+KRT18+KRT19	406	406	0.42674730260937177	2.1264294243504072e-19	0.3444294047729285	1.1465695297180657e-12	0.25533466330094784	0.42772396630531134	3.704301557550674e-12
BLCA	keratin_funnel	True	True	coexpression	barrier_internal	CLDN4	CLDN7	KRT8+KRT18+KRT19	406	406	0.5328998501412295	3.6625506885409553e-31	0.371483703238115	1.2383972192073382e-14	0.28410790661995045	0.45274006797575606	
BLCA	keratin_funnel	True	True	coexpression	context	TACSTD2	CLDN1	KRT8+KRT18+KRT19	406	406	0.2868836592974525	3.934628143957705e-09	0.24357591828918748	7.448033257043823e-07	0.14944613551010957	0.33333038125405423	
BLCA	keratin_funnel	True	True	coexpression	context	TACSTD2	CLDN3	KRT8+KRT18+KRT19	406	406	0.17246066746592098	0.0004821893536962266	0.1449170834321124	0.0035505183637048517	0.04790962128449734	0.23921634546490678	
BLCA	keratin_funnel	True	True	coexpression	context	TACSTD2	F11R	KRT8+KRT18+KRT19	406	406	0.36162369265817557	5.475475410714784e-14	0.27224579140959304	2.7990368361277458e-08	0.1793292807045826	0.36034819161513143	
BLCA	keratin_funnel	True	True	coexpression	epithelial_comparator	TACSTD2	EPCAM	KRT8+KRT18+KRT19	406	406	0.08425702908461528	0.0899780023267394	0.02333882632306582	0.640405449573324	-0.0745167484268281	0.12074922019222813	0.6560250946848686
BLCA	keratin_funnel	True	True	coexpression	epithelial_comparator	TACSTD2	MUC1	KRT8+KRT18+KRT19	406	406	0.38312141070761774	1.2113055394119464e-15	0.2735441203356783	2.389980823851812e-08	0.18068662366158764	0.3615682175128474	1.2547399325222013e-07
BLCA	keratin_funnel	True	True	coexpression	primary_mean	TACSTD2	barrier_CLDN4_CLDN7	KRT8+KRT18+KRT19	406	406	0.5680567266774167	4.5829570674993165e-36	0.5129732970303162	1.9839670562109828e-28	0.4371955444126155	0.5815189808071864	
BRCA	keratin_funnel	True	True	coexpression	primary	TACSTD2	CLDN4	KRT8+KRT18+KRT19	1095	1095	0.32978851184760066	3.412459883505218e-29	0.3128466187982595	3.199547250078211e-26	0.25831763454954887	0.36538847169529326	4.479366150109495e-25
BRCA	keratin_funnel	True	True	coexpression	primary	TACSTD2	CLDN7	KRT8+KRT18+KRT19	1095	1095	0.2233974916571357	7.508064888359492e-14	0.20151155629032366	1.8114702548760248e-11	0.14390877370881008	0.2577534068567705	5.4344107646280745e-11
BRCA	keratin_funnel	True	True	coexpression	barrier_internal	CLDN4	CLDN7	KRT8+KRT18+KRT19	1095	1095	0.4011320988559281	1.3785695644824356e-43	0.36131224310269683	5.150994328699966e-35	0.308603798013986	0.4118085797688396	
BRCA	keratin_funnel	True	True	coexpression	context	TACSTD2	CLDN1	KRT8+KRT18+KRT19	1095	1095	0.25828101037373874	3.796370448823815e-18	0.2772125626633096	1.022986189058175e-20	0.2215325805053792	0.3310908469271997	
BRCA	keratin_funnel	True	True	coexpression	context	TACSTD2	CLDN3	KRT8+KRT18+KRT19	1095	1095	0.26344440113448536	7.6723759302048185e-19	0.23857648729209066	1.3440339370708476e-15	0.18182678977101083	0.2937422344199739	
BRCA	keratin_funnel	True	True	coexpression	context	TACSTD2	F11R	KRT8+KRT18+KRT19	1095	1095	0.2992216781503333	4.368421494280215e-24	0.30514910996472366	5.761398624268105e-25	0.25035808052391245	0.3579917129563471	
BRCA	keratin_funnel	True	True	coexpression	epithelial_comparator	TACSTD2	EPCAM	KRT8+KRT18+KRT19	1095	1095	0.13529176363737433	7.040282110081213e-06	0.15431784439790389	2.9851351749125316e-07	0.09587240922437852	0.21170289611927773	1.044797311219386e-06
BRCA	keratin_funnel	True	True	coexpression	epithelial_comparator	TACSTD2	MUC1	KRT8+KRT18+KRT19	1095	1095	0.3089766853044511	1.1884343451026943e-25	0.3094662937663603	1.1508107201832116e-25	0.2548213216513602	0.362141036570568	4.8334050247694885e-24
BRCA	keratin_funnel	True	True	coexpression	primary_mean	TACSTD2	barrier_CLDN4_CLDN7	KRT8+KRT18+KRT19	1095	1095	0.3262521378717982	1.4279082088639242e-28	0.30733389275861495	2.558489933500107e-25	0.252616487028235	0.36009180817975395	
CESC	keratin_funnel	True	True	coexpression	primary	TACSTD2	CLDN4	KRT8+KRT18+KRT19	304	304	0.2837539189639412	4.883922860498183e-07	0.2772372722562129	1.0291488758423935e-06	0.1694974091337692	0.3784287442159081	2.1612126392690265e-06
CESC	keratin_funnel	True	True	coexpression	primary	TACSTD2	CLDN7	KRT8+KRT18+KRT19	304	304	0.14996241211696668	0.008825588711649715	0.24416679439363564	1.8396110805198074e-05	0.1348364648870041	0.34762343356684405	2.9716794377627657e-05
