outcome	keratin	purity	method	k_cov	rho_TACSTD2	p_TACSTD2	I2_TACSTD2	neg_TACSTD2	cohorts_TACSTD2	rho_CLDN4	p_CLDN4	I2_CLDN4	neg_CLDN4	cohorts_CLDN4	rho_CLDN7	p_CLDN7	I2_CLDN7	neg_CLDN7	cohorts_CLDN7	all_three_negative	worst_p	mean_rho	q_worst
T_CD3	squamous_KRT5_6	none	pearson	4	-0.08045822568061238	9.23309540936862e-05	0.35209413567067205	6	8	-0.1267072891237046	3.384444999546949e-09	0.4039357957072775	8	8	-0.15965000123206968	3.279236884307316e-05	0.816755862746156	7	8	True	9.23309540936862e-05	-0.12227183867879556	0.012205033525669599
CD8A	squamous_KRT5_6	none	pearson	4	-0.1002736317782433	0.00014361979493908208	0.6021383108717677	7	8	-0.12876512079457725	2.165580277884686e-05	0.7010397931403022	8	8	-0.14930880206894778	8.262186269286188e-05	0.8112498909110752	7	8	True	0.00014361979493908208	-0.1261158515472561	0.012205033525669599
CD8_AB	squamous_KRT5_6	none	spearman	4	-0.1168710846169451	0.0001883294633978533	0.7191694078757181	7	8	-0.11249396369030251	8.510074882069639e-05	0.6632803811447875	8	8	-0.1421011551424124	0.00022737569284523597	0.8171104054671671	8	8	True	0.00022737569284523597	-0.12382206781655335	0.012205033525669599
T_CD3	squamous_KRT5_6	none	spearman	4	-0.10164084738221024	0.0002542715317847833	0.6418142378846127	7	8	-0.1307052624690188	1.517189644002738e-08	0.4845698856857721	8	8	-0.16477140791577138	0.00013124073388128405	0.8549469728764352	8	8	True	0.0002542715317847833	-0.1323725059223335	0.012205033525669599
CD8_AB	squamous_KRT5_6	none	pearson	4	-0.1076026429045304	0.00034506811758465807	0.6948828623536643	7	8	-0.12828732128443016	6.0637299061435476e-05	0.7318926614606899	8	8	-0.1448124629682936	0.00014380641204416212	0.81274644376845	7	8	True	0.00034506811758465807	-0.12690080905241805	0.01325061571525087
T_broad	squamous_KRT5_6	none	spearman	4	-0.09734923867721806	0.0004205999062549407	0.6367769306526831	7	8	-0.12294864457867509	6.908799315113368e-08	0.47058955367294125	8	8	-0.15799267990673918	0.00020881219585141848	0.8513725437856683	8	8	True	0.0004205999062549407	-0.12609685438754412	0.013459197000158102
cytotoxic_8	squamous_KRT5_6	none	spearman	4	-0.10699154419167628	0.00010639399804787995	0.6373763402683846	7	8	-0.1355132428513733	2.0320033494889674e-05	0.7290021767377141	8	8	-0.1421466311863714	0.0004923660243973311	0.8370281551015656	7	8	True	0.0004923660243973311	-0.128217139409807	0.013504896669183938
cytotoxic_8	squamous_KRT5_6	none	pearson	4	-0.10045168612780946	2.2070674047984585e-06	0.3901982264863819	8	8	-0.13512183729893007	4.208877011899357e-06	0.6814904034078266	8	8	-0.13785365968369453	0.0005723103497661773	0.8304569676698372	6	8	True	0.0005723103497661773	-0.12447572770347803	0.013735448394388255
T_broad	squamous_KRT5_6	none	pearson	4	-0.07768271260616236	0.0007832678011912859	0.482330321110529	6	8	-0.11795686907790047	1.637193136596249e-08	0.3732174463388401	8	8	-0.15320208407004063	6.226587392155963e-05	0.8147452122974822	7	8	True	0.0007832678011912859	-0.11628055525136782	0.014623603265972757
CD8A	squamous_KRT5_6	none	spearman	4	-0.11155501938259481	0.0008303276325331036	0.7533807569799253	7	8	-0.11689600310410472	2.5280036052638416e-05	0.6417067740912654	8	8	-0.14707532417695945	0.00021547753330304658	0.8283791372243692	8	8	True	0.0008303276325331036	-0.12517544888788631	0.014623603265972757
