family	stratum	cohort	predictor	outcome	keratin	purity	method	k_cov	rho	p	n	thesis_aligned
continuous	all	LUAD	TACSTD2	CD8A	none	none	spearman	0	-0.09545657620579676	0.030154828304697897	516	True
continuous	all	LUAD	CLDN4	CD8A	none	none	spearman	0	-0.0946644522015745	0.031556948990161246	516	True
continuous	all	LUAD	CLDN7	CD8A	none	none	spearman	0	-0.2962644221551904	6.497104331579152e-12	516	True
continuous	all	LUAD	TACSTD2	CD8A	none	none	pearson	0	-0.08240919869275293	0.061397762463365	516	True
continuous	all	LUAD	CLDN4	CD8A	none	none	pearson	0	-0.11971334536694005	0.006477696581867334	516	True
continuous	all	LUAD	CLDN7	CD8A	none	none	pearson	0	-0.26431209931828914	1.0724542263517784e-09	516	True
continuous	all	LUAD	TACSTD2	CD8A	none	ESTIMATE	spearman	1	-0.08846673697403933	0.04499206668838371	515	True
continuous	all	LUAD	CLDN4	CD8A	none	ESTIMATE	spearman	1	-0.016593483317427805	0.7074297673228844	515	True
continuous	all	LUAD	CLDN7	CD8A	none	ESTIMATE	spearman	1	-0.0151235819137525	0.7323056596522505	515	True
continuous	all	LUAD	TACSTD2	CD8A	none	ESTIMATE	pearson	1	-0.08236638937070281	0.062041299021548695	515	True
continuous	all	LUAD	CLDN4	CD8A	none	ESTIMATE	pearson	1	-0.03132639491933059	0.47853343642094864	515	True
continuous	all	LUAD	CLDN7	CD8A	none	ESTIMATE	pearson	1	0.004253771199147396	0.9233575187441581	515	False
continuous	all	LUAD	TACSTD2	CD8A	none	ABSOLUTE	spearman	1	-0.10427391475569839	0.05061552904204367	353	True
continuous	all	LUAD	CLDN4	CD8A	none	ABSOLUTE	spearman	1	-0.04535998589581302	0.3961938156181366	353	True
continuous	all	LUAD	CLDN7	CD8A	none	ABSOLUTE	spearman	1	-0.10862645828944938	0.04167063666776808	353	True
continuous	all	LUAD	TACSTD2	CD8A	none	ABSOLUTE	pearson	1	-0.08799012043597383	0.09931837465350535	353	True
continuous	all	LUAD	CLDN4	CD8A	none	ABSOLUTE	pearson	1	-0.08081407376878899	0.13020615182727882	353	True
continuous	all	LUAD	CLDN7	CD8A	none	ABSOLUTE	pearson	1	-0.10163538407192164	0.056779826196737944	353	True
continuous	all	LUAD	TACSTD2	CD8A	simple_KRT8_18_19	none	spearman	3	-0.08729848824472906	0.048130057422371864	516	True
continuous	all	LUAD	CLDN4	CD8A	simple_KRT8_18_19	none	spearman	3	-0.08388103726898925	0.057620197926561374	516	True
continuous	all	LUAD	CLDN7	CD8A	simple_KRT8_18_19	none	spearman	3	-0.2763156791046989	1.9209598477936972e-10	516	True
continuous	all	LUAD	TACSTD2	CD8A	simple_KRT8_18_19	none	pearson	3	-0.07947690441766388	0.07208717658612172	516	True
